county,any_alcohol,binge_alcohol,heavy_alcohol
"Autauga, Alabama",41.42857142857142,13.128571428571428,5.985714285714286
"Baldwin, Alabama",54.75714285714286,17.2,8.985714285714286
"Barbour, Alabama",36.81428571428571,11.985714285714284,5.871428571428572
"Bibb, Alabama",34.21428571428571,11.414285714285715,5.185714285714285
"Blount, Alabama",33.8,10.485714285714284,4.757142857142857
"Bullock, Alabama",36.34285714285714,13.257142857142856,6.242857142857143
"Butler, Alabama",35.25714285714286,11.7,5.685714285714286
"Calhoun, Alabama",38.27142857142858,11.971428571428573,4.942857142857143
"Chambers, Alabama",37.471428571428575,13.0,6.142857142857143
"Cherokee, Alabama",31.028571428571432,10.114285714285716,4.542857142857144
"Chilton, Alabama",31.61428571428571,10.62857142857143,4.7
"Choctaw, Alabama",31.928571428571427,10.657142857142858,4.928571428571429
"Clarke, Alabama",33.628571428571426,11.371428571428572,4.8999999999999995
"Clay, Alabama",29.914285714285715,9.685714285714287,4.142857142857143
"Cleburne, Alabama",30.642857142857142,10.557142857142855,4.957142857142857
"Coffee, Alabama",40.528571428571425,12.628571428571428,6.014285714285714
"Colbert, Alabama",35.6,11.771428571428572,4.985714285714287
"Conecuh, Alabama",36.385714285714286,13.014285714285714,6.228571428571428
"Coosa, Alabama",34.21428571428571,11.842857142857143,5.542857142857144
"Covington, Alabama",36.24285714285715,12.442857142857145,5.971428571428571
"Crenshaw, Alabama",31.928571428571427,10.528571428571428,5.114285714285714
"Cullman, Alabama",32.371428571428574,9.757142857142856,3.885714285714286
"Dale, Alabama",40.2,12.971428571428572,5.828571428571429
"Dallas, Alabama",38.699999999999996,13.014285714285716,5.0
"DeKalb, Alabama",30.2,9.685714285714285,4.2
"Elmore, Alabama",42.98571428571429,13.271428571428572,6.514285714285713
"Escambia, Alabama",36.51428571428571,12.114285714285714,5.728571428571429
"Etowah, Alabama",38.08571428571429,12.571428571428571,4.971428571428571
"Fayette, Alabama",29.185714285714283,10.042857142857143,4.199999999999999
"Franklin, Alabama",29.157142857142855,9.314285714285715,3.8999999999999995
"Geneva, Alabama",33.214285714285715,11.671428571428573,5.8
"Greene, Alabama",35.72857142857143,12.200000000000001,6.314285714285715
"Hale, Alabama",35.81428571428571,12.157142857142857,5.957142857142857
"Henry, Alabama",35.3,11.87142857142857,5.857142857142857
"Houston, Alabama",42.65714285714286,13.9,5.814285714285715
"Jackson, Alabama",31.071428571428573,10.142857142857142,4.442857142857143
"Jefferson, Alabama",49.51428571428572,15.142857142857144,6.828571428571428
"Lamar, Alabama",27.8,9.0,3.6999999999999997
"Lauderdale, Alabama",35.74285714285714,11.028571428571428,4.928571428571429
"Lawrence, Alabama",28.75714285714286,8.785714285714286,3.6428571428571423
"Lee, Alabama",48.785714285714285,15.485714285714286,7.528571428571429
"Limestone, Alabama",36.44285714285714,10.62857142857143,4.628571428571429
"Lowndes, Alabama",36.82857142857142,12.842857142857143,6.1571428571428575
"Macon, Alabama",41.75714285714286,13.414285714285715,6.885714285714286
"Madison, Alabama",48.528571428571425,13.614285714285712,6.399999999999999
"Marengo, Alabama",37.699999999999996,12.171428571428573,5.371428571428572
"Marion, Alabama",27.37142857142857,9.428571428571429,3.914285714285714
"Marshall, Alabama",36.84285714285715,12.285714285714286,5.371428571428571
"Mobile, Alabama",47.67142857142857,16.5,7.542857142857144
"Monroe, Alabama",33.84285714285715,10.685714285714285,4.8
"Montgomery, Alabama",48.84285714285715,15.714285714285712,7.671428571428573
"Morgan, Alabama",38.98571428571428,11.842857142857142,5.299999999999999
"Perry, Alabama",35.614285714285714,13.214285714285714,5.928571428571429
"Pickens, Alabama",30.671428571428574,9.7,4.314285714285714
"Pike, Alabama",39.114285714285714,13.22857142857143,6.942857142857142
"Randolph, Alabama",35.18571428571429,11.657142857142857,5.785714285714286
"Russell, Alabama",38.800000000000004,12.014285714285716,5.014285714285713
"Shelby, Alabama",51.01428571428571,13.62857142857143,7.000000000000001
"St. Clair, Alabama",38.65714285714286,11.914285714285715,5.314285714285715
"Sumter, Alabama",36.628571428571426,13.257142857142856,6.114285714285714
"Talladega, Alabama",37.07142857142857,11.728571428571428,5.442857142857143
"Tallapoosa, Alabama",37.885714285714286,12.457142857142856,5.814285714285714
"Tuscaloosa, Alabama",44.6,14.185714285714285,6.7
"Walker, Alabama",31.17142857142857,10.685714285714287,4.114285714285715
"Washington, Alabama",31.471428571428568,9.685714285714285,4.514285714285713
"Wilcox, Alabama",34.114285714285714,13.728571428571428,6.028571428571428
"Winston, Alabama",29.442857142857143,10.757142857142858,4.371428571428572
"Apache, Arizona",34.92857142857143,16.542857142857144,6.485714285714286
"Cochise, Arizona",53.24285714285715,17.585714285714285,7.8999999999999995
"Coconino, Arizona",57.11428571428571,17.814285714285717,8.785714285714285
"Gila, Arizona",52.042857142857144,19.3,8.885714285714286
"Graham, Arizona",35.41428571428571,14.700000000000001,5.514285714285714
"Greenlee, Arizona",45.44285714285714,18.285714285714285,8.357142857142858
"La Paz, Arizona",54.01428571428571,22.785714285714285,11.000000000000002
"Maricopa, Arizona",58.885714285714286,18.51428571428571,8.371428571428572
"Mohave, Arizona",59.971428571428575,21.2,10.985714285714284
"Navajo, Arizona",40.628571428571426,14.671428571428573,6.171428571428571
"Pima, Arizona",58.971428571428575,17.971428571428568,8.6
"Pinal, Arizona",56.771428571428565,19.157142857142855,9.342857142857143
"Santa Cruz, Arizona",54.44285714285714,21.37142857142857,8.485714285714284
"Yavapai, Arizona",59.52857142857142,17.457142857142856,9.628571428571428
"Yuma, Arizona",55.614285714285714,19.7,9.542857142857143
"Arkansas, Arkansas",42.885714285714286,13.857142857142858,5.542857142857143
"Ashley, Arkansas",35.285714285714285,11.514285714285714,5.071428571428571
"Baxter, Arkansas",49.82857142857143,17.085714285714285,8.4
"Benton, Arkansas",50.814285714285724,14.02857142857143,6.442857142857143
"Boone, Arkansas",38.92857142857143,12.62857142857143,5.985714285714286
"Bradley, Arkansas",33.65714285714286,11.457142857142857,4.442857142857143
"Calhoun, Arkansas",38.9,15.37142857142857,7.6000000000000005
"Carroll, Arkansas",45.58571428571429,16.142857142857146,7.642857142857143
"Chicot, Arkansas",35.77142857142857,12.257142857142856,5.685714285714285
"Clark, Arkansas",38.45714285714286,12.085714285714285,5.200000000000001
"Clay, Arkansas",37.542857142857144,13.099999999999998,5.6000000000000005
"Cleburne, Arkansas",43.9,14.27142857142857,6.271428571428572
"Cleveland, Arkansas",39.3,14.028571428571428,6.314285714285714
"Columbia, Arkansas",39.91428571428571,12.442857142857141,5.485714285714287
"Conway, Arkansas",45.5,18.1,9.542857142857143
"Craighead, Arkansas",39.18571428571429,12.285714285714288,5.742857142857143
"Crawford, Arkansas",40.12857142857143,12.885714285714286,5.928571428571429
"Crittenden, Arkansas",41.01428571428572,12.27142857142857,5.942857142857143
"Cross, Arkansas",37.82857142857143,12.685714285714285,5.728571428571429
"Dallas, Arkansas",41.699999999999996,15.057142857142855,7.414285714285714
