Incidence, US by County, All Races, Kidney & Renal Pelvis (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Douglas, Oregon","17.8","14.7","21.5","142"
"Onslow, North Carolina","17.8","14.7","21.2","124"
"Bingham, Idaho","17.8","12.7","24.3","41"
"Broome, New York","17.7","15.3","20.4","220"
"Monroe, Mississippi","17.7","12.6","24.4","42"
"Cumberland, Pennsylvania","17.7","15.6","20.0","276"
"Fresno, California","17.7","16.5","19.0","807"
"Delaware, Indiana","17.7","14.5","21.4","116"
"Miami, Indiana","17.7","12.5","24.4","40"
"Erie, Ohio","17.7","14.2","21.9","96"
"Antrim, Michigan","17.7","11.8","26.0","34"
"Lorain, Ohio","17.7","15.8","19.8","337"
"Mercer, New Jersey","17.7","15.9","19.6","378"
"Boone, Indiana","17.7","13.5","22.9","61"
"Salem, New Jersey","17.7","13.7","22.5","73"
"Butler, Ohio","17.7","15.9","19.7","369"
"Chemung, New York","17.7","14.3","21.8","100"
"Cascade, Montana","17.7","14.1","22.0","90"
"Marlboro, South Carolina","17.7","12.0","25.5","32"
"Jackson, Oregon","17.7","15.5","20.1","263"
"Madison, Alabama","17.7","15.9","19.7","364"
"Weld, Colorado","17.7","15.5","20.1","250"
"Allen, Kentucky","17.7","11.3","26.7","25"
"Hardin, Texas","17.7","13.4","23.1","59"
"Amherst, Virginia","17.7","12.5","24.6","40"
"Windham, Connecticut","17.7","14.7","21.2","130"
"Franklin, Ohio","17.6","16.5","18.7","1071"
"Bayfield, Wisconsin","17.6","9.8","29.9","19"
"Henry, Georgia","17.6","15.2","20.4","197"
"Carbon, Pennsylvania","17.6","13.9","22.1","83"
"Mercer, Ohio","17.6","12.6","23.9","46"
"Will, Illinois","17.6","16.3","19.1","634"
"Westmoreland, Pennsylvania","17.6","15.9","19.4","456"
"Carter, Tennessee","17.6","13.4","22.9","65"
"Lapeer, Michigan","17.6","14.3","21.6","102"
"Suffolk, Virginia","17.6","14.0","21.9","86"
"Bladen, North Carolina","17.6","12.4","24.5","41"
"Arenac, Michigan","17.6","10.0","29.4","19"
"Sussex, Delaware","17.6","15.4","19.9","304"
"Monongalia, West Virginia","17.6","14.0","21.9","88"
"Campbell, Kentucky","17.5","14.2","21.5","99"
"Kane, Illinois","17.5","15.9","19.2","480"
"Dinwiddie, Virginia","17.5","12.0","24.9","34"
"Sevier, Arkansas","17.5","10.1","28.4","17"
"Newton, Missouri","17.5","13.3","22.6","63"
"Lewis and Clark, Montana","17.5","13.5","22.4","73"
"Williamsburg, South Carolina","17.5","12.1","24.6","38"
"Pima, Arizona","17.5","16.4","18.6","1097"
"Dickinson, Iowa","17.5","10.1","28.5","20"
"Baltimore, Maryland","17.5","16.4","18.8","860"
"Erie, Pennsylvania","17.5","15.5","19.7","296"
"Kent, Michigan","17.5","16.1","19.1","576"
"Kaufman, Texas","17.5","14.2","21.3","104"
"Boone, Arkansas","17.5","12.7","23.7","47"
"Morgan, Alabama","17.5","14.6","20.9","128"
"Hocking, Ohio","17.5","11.9","25.1","33"
"Virginia Beach, Virginia","17.5","15.8","19.3","421"
"Crawford, Illinois","17.5","10.8","27.1","22"
"Scott, Iowa","17.5","15.0","20.4","176"
"Burleigh, North Dakota","17.5","14.0","21.7","89"
"Sampson, North Carolina","17.5","13.6","22.3","72"
"Liberty, Texas","17.5","13.7","21.9","78"
"Delaware, Pennsylvania","17.5","16.1","19.0","579"
"Calloway, Kentucky","17.5","12.2","24.3","39"
"Oceana, Michigan","17.5","11.7","25.6","32"
"Lincoln, Oregon","17.4","12.9","23.2","62"
"Osage, Missouri","17.4","9.8","29.1","16"
"Pender, North Carolina","17.4","13.3","22.4","65"
"Nye, Nevada","17.4","12.8","23.3","64"
"Atlantic, New Jersey","17.4","15.4","19.6","298"
"Kerr, Texas","17.4","13.3","22.5","73"
"Iron, Utah","17.4","12.1","24.3","36"
"Dixie, Florida","17.4","10.8","27.2","24"
"Mendocino, California","17.4","14.0","21.4","104"
"Surry, North Carolina","17.4","13.9","21.7","89"
"Sumter, South Carolina","17.4","14.2","21.1","106"
"Dickinson, Michigan","17.4","11.6","25.4","33"
"Jackson, Georgia","17.4","13.3","22.4","63"
"Cattaraugus, New York","17.4","13.8","21.7","88"
"Colbert, Alabama","17.4","13.2","22.6","62"
"Union, Illinois","17.4","10.9","27.1","23"
"Cabarrus, North Carolina","17.4","14.9","20.1","184"
"Boone, Missouri","17.4","14.5","20.8","133"
"Hillsborough, Florida","17.4","16.4","18.4","1269"
"Dallas, Iowa","17.4","13.4","22.2","68"
"Camden, Missouri","17.4","12.8","23.3","62"
"Sarpy, Nebraska","17.4","14.7","20.5","150"
"Whatcom, Washington","17.4","15.1","20.0","216"
"Madera, California","17.4","14.6","20.6","140"
"Kings, California","17.4","14.2","20.9","112"
"Edgecombe, North Carolina","17.4","13.3","22.5","66"
"Gila, Arizona","17.4","12.8","23.0","68"
"Hawkins, Tennessee","17.3","13.3","22.3","69"
"Cass, North Dakota","17.3","14.4","20.6","132"
"Frederick, Maryland","17.3","15.1","19.7","243"
"Camden, Georgia","17.3","12.3","23.8","41"
"Sandusky, Ohio","17.3","13.3","22.2","69"
"Tuscarawas, Ohio","17.3","14.0","21.2","104"
"Montgomery, Indiana","17.3","12.4","23.5","44"
"Lauderdale, Tennessee","17.3","11.5","25.3","29"
"Hamilton, Ohio","17.3","16.1","18.6","805"
"Bollinger, Missouri","17.3","9.7","29.4","16"
"Rowan, North Carolina","17.3","14.5","20.4","150"
"Baker, Florida","17.3","11.2","25.6","26"
"Huntington, Indiana","17.3","12.3","23.9","40"
"Calvert, Maryland","17.3","13.8","21.5","90"
"Nottoway, Virginia","17.3","10.1","28.2","18"
"Kent, Rhode Island","17.3","14.8","20.1","186"
"Bucks, Pennsylvania","17.3","16.0","18.7","719"
"Red River, Texas","17.3","10.0","28.9","18"
"Wabash, Indiana","17.3","11.9","24.3","38"
"Burnet, Texas","17.3","12.8","23.1","56"
"Lunenburg, Virginia","17.3","9.7","29.4","16"
"Spalding, Georgia","17.3","13.3","22.3","66"
"Ionia, Michigan","17.3","13.2","22.2","64"
"Colquitt, Georgia","17.3","12.5","23.3","44"
"Darlington, South Carolina","17.3","13.5","21.9","76"
"Merced, California","17.3","15.0","19.8","206"
"Cape May, New Jersey","17.3","14.3","20.9","132"
"Dougherty, Georgia","17.3","13.8","21.5","88"
"Greenville, South Carolina","17.2","15.7","18.9","487"
"Wayne, Indiana","17.2","13.5","21.7","79"
"Harrison, Ohio","17.2","10.2","27.8","20"
"Collin, Texas","17.2","15.9","18.5","741"
"Menominee, Michigan","17.2","11.5","25.3","33"
"Chippewa, Wisconsin","17.2","13.3","22.0","69"
"St. Joseph, Indiana","17.2","15.2","19.5","271"
"Johnson, Iowa","17.2","14.1","20.9","108"
"Columbiana, Ohio","17.2","14.2","20.7","127"
"Platte, Missouri","17.2","13.9","21.2","96"
"Cayuga, New York","17.2","13.6","21.6","86"
"Eaton, Michigan","17.2","14.1","20.8","117"
"Washington, Iowa","17.2","11.1","25.7","27"
"Thurston, Washington","17.2","15.2","19.5","277"
"Grady, Oklahoma","17.2","12.8","22.6","55"
"Jackson, Louisiana","17.2","10.1","27.7","19"
"Seward, Nebraska","17.2","10.3","27.6","19"
"Marion, Florida","17.2","15.5","19.1","468"
"Yates, New York","17.2","11.1","25.6","29"
"Comanche, Texas","17.1","9.1","29.6","16"
"Amador, California","17.1","12.4","23.4","52"
"Shelby, Texas","17.1","11.1","25.4","26"
"Ector, Texas","17.1","14.1","20.6","118"
"Guilford, North Carolina","17.1","15.6","18.7","496"
"San Juan, New Mexico","17.1","14.0","20.6","114"
"Marshall, Iowa","17.1","12.1","23.7","40"
"Johnson, Missouri","17.1","12.3","23.1","44"
"Bradley, Tennessee","17.1","13.9","20.8","106"
"McDonough, Illinois","17.1","11.2","25.1","30"
"Warren, Missouri","17.1","11.8","24.0","36"
"Richland, Ohio","17.1","14.1","20.4","130"
"McLean, Illinois","17.1","14.4","20.2","147"
"Montezuma, Colorado","17.1","11.1","25.4","29"
"St. Clair, Alabama","17.1","13.6","21.2","87"
"Gloucester, Virginia","17.1","12.3","23.4","45"
"Warren, Ohio","17.1","14.8","19.6","213"
"Baldwin, Alabama","17.1","14.9","19.5","231"
"Madison, Arkansas","17.1","10.1","27.6","19"
"Adams, Colorado","17.1","15.4","19.0","383"
"Habersham, Georgia","17.1","12.5","23.0","47"
"Clackamas, Oregon","17.1","15.4","18.9","430"
"Etowah, Alabama","17.1","14.1","20.7","115"
"Jessamine, Kentucky","17.0","12.5","22.8","48"
"Coffee, Tennessee","17.0","12.7","22.4","55"
"Cumberland, Tennessee","17.0","13.4","21.6","89"
"Rock Island, Illinois","17.0","14.3","20.1","156"
"Montgomery, Alabama","17.0","14.7","19.5","211"
"Umatilla, Oregon","17.0","13.3","21.5","73"
"Polk, Oregon","17.0","13.3","21.5","76"
"Sacramento, California","17.0","16.1","17.9","1358"
"Christian, Missouri","17.0","13.4","21.2","80"
"Franklin, New York","17.0","12.6","22.4","54"
"Coconino, Arizona","17.0","13.8","20.6","108"
"Price, Wisconsin","17.0","9.6","29.0","19"
"Izard, Arkansas","17.0","9.8","28.5","18"
"Bryan, Oklahoma","17.0","12.3","22.9","47"
"Williams, Ohio","17.0","12.1","23.4","42"
"Lincoln, South Dakota","17.0","12.3","22.9","46"
"Santa Cruz, Arizona","17.0","12.4","22.8","48"
"Horry, South Carolina","17.0","15.3","18.9","398"
"Montrose, Colorado","17.0","11.9","23.6","43"
"Pueblo, Colorado","17.0","14.4","19.9","170"
"De Soto, Louisiana","17.0","11.5","24.6","32"
"Mineral, West Virginia","17.0","11.9","24.1","37"
"Henry, Indiana","17.0","12.7","22.5","53"
"Halifax, North Carolina","17.0","12.9","22.1","62"
"Logan, Illinois","17.0","11.4","24.6","31"
"Monroe, Indiana","17.0","14.0","20.6","114"
"San Joaquin, California","17.0","15.7","18.5","611"
"Lassen, California","16.9","11.2","24.7","29"
"Whitley, Kentucky","16.9","11.7","23.9","35"
"Johnson, Tennessee","16.9","10.2","26.8","21"
"Winnebago, Wisconsin","16.9","14.4","19.8","168"
"Elkhart, Indiana","16.9","14.5","19.6","183"
"Roane, West Virginia","16.9","9.8","27.9","18"
"Douglas, Georgia","16.9","13.9","20.4","121"
"Greene, New York","16.9","12.7","22.2","60"
"Harrison, Kentucky","16.9","10.4","26.4","22"
"Ste. Genevieve, Missouri","16.9","9.9","27.2","19"
"Erath, Texas","16.9","11.5","23.9","33"
"Lackawanna, Pennsylvania","16.9","14.7","19.3","237"
"White, Indiana","16.9","11.4","24.6","31"
"Adams, Nebraska","16.9","11.5","24.0","34"
"Venango, Pennsylvania","16.9","13.1","21.8","70"
"Stephenson, Illinois","16.9","12.6","22.3","56"
"Montgomery, Pennsylvania","16.9","15.7","18.1","867"
"Hernando, Florida","16.9","14.7","19.4","251"
"Winneshiek, Iowa","16.9","10.1","26.7","22"
"Bates, Missouri","16.9","9.8","27.6","18"
"Houston, Georgia","16.9","14.0","20.1","129"
"Seminole, Oklahoma","16.9","10.9","25.1","26"
"Bandera, Texas","16.9","11.5","24.8","35"
"Madison, New York","16.9","13.3","21.2","81"
"Alachua, Florida","16.8","14.5","19.2","218"
"Oconto, Wisconsin","16.8","11.6","23.8","38"
"Prince George, Virginia","16.8","11.6","23.5","36"
"Lexington, South Carolina","16.8","14.8","19.0","278"
"Cassia, Idaho","16.8","10.4","25.9","21"
"Kossuth, Iowa","16.8","10.2","26.9","22"
"Chautauqua, New York","16.8","14.1","20.0","146"
"Rockingham, New Hampshire","16.8","14.9","18.8","329"
"Russell, Virginia","16.8","10.8","24.9","29"
"Green, Wisconsin","16.8","11.9","23.2","41"
"Jones, Mississippi","16.8","13.0","21.4","70"
"Benton, Washington","16.8","14.3","19.6","174"
"Mahaska, Iowa","16.8","10.3","26.0","22"
"Ottawa, Ohio","16.8","12.2","22.9","51"
"Tuolumne, California","16.8","12.9","21.7","74"
"Cleveland, Oklahoma","16.8","14.7","19.2","230"
"Forsyth, Georgia","16.8","14.4","19.6","176"
"Stark, Ohio","16.8","15.1","18.5","411"
"Banks, Georgia","16.8","9.5","27.6","17"
"Defiance, Ohio","16.8","11.8","23.4","39"
"Davidson, Tennessee","16.8","15.4","18.3","567"
"Midland, Michigan","16.8","13.5","20.8","94"
"Outagamie, Wisconsin","16.8","14.4","19.6","177"
"Sumner, Tennessee","16.8","14.3","19.5","175"
"Waukesha, Wisconsin","16.8","15.2","18.5","438"
"Jefferson, West Virginia","16.8","12.7","21.9","60"
"Grimes, Texas","16.8","11.2","24.6","30"
"Mason, Washington","16.8","13.2","21.2","83"
"Buchanan, Iowa","16.7","10.3","25.9","22"
"Morris, Texas","16.7","9.2","28.6","16"
"Monmouth, New Jersey","16.7","15.4","18.1","666"
"Benton, Iowa","16.7","11.1","24.5","29"
"Luzerne, Pennsylvania","16.7","14.9","18.6","355"
"Lycoming, Pennsylvania","16.7","13.8","20.2","123"
"Campbell, Virginia","16.7","12.7","21.6","64"
"Kendall, Illinois","16.7","13.4","20.5","95"
"Clayton, Iowa","16.7","10.4","25.9","24"
"Charleston, South Carolina","16.7","15.0","18.6","379"
"Jasper, Indiana","16.7","11.4","23.7","33"
"Washington, Florida","16.7","10.6","25.3","24"
"Polk, Missouri","16.7","11.1","24.3","30"
"Somerset, Maryland","16.7","10.5","25.2","25"
"Custer, Oklahoma","16.7","10.4","25.3","23"
"Monroe, Wisconsin","16.7","12.0","22.7","44"
"Isabella, Michigan","16.7","12.3","22.3","50"
"Madison, Georgia","16.7","11.1","24.4","30"
"Douglas, Missouri","16.7","9.0","29.0","16"
"Lancaster, South Carolina","16.7","13.5","20.6","98"
"Fauquier, Virginia","16.7","13.0","21.2","73"
"Pasco, Florida","16.7","15.3","18.2","602"
"King George, Virginia","16.7","10.3","25.8","22"
"Lafayette, Wisconsin","16.7","9.8","26.9","19"
"Ogemaw, Michigan","16.7","10.5","25.7","27"
"Iosco, Michigan","16.7","11.9","23.6","43"
"Elmore, Idaho","16.7","10.3","25.7","21"
"Warren, Tennessee","16.7","12.0","22.8","43"
"Skagit, Washington","16.6","13.8","19.8","134"
"Klamath, Oregon","16.6","13.0","21.1","78"
"Carteret, North Carolina","16.6","12.9","21.2","80"
"Bonneville, Idaho","16.6","13.3","20.6","88"
"Burleson, Texas","16.6","9.9","26.4","21"
"Lawrence, Indiana","16.6","12.4","22.0","53"
"New Castle, Delaware","16.6","15.2","18.1","524"
"Calaveras, California","16.6","12.1","22.5","61"
"Allamakee, Iowa","16.6","9.2","28.3","17"
"Jefferson, Alabama","16.6","15.3","18.0","641"
"Allegheny, Pennsylvania","16.6","15.7","17.6","1324"
"Platte, Nebraska","16.6","11.5","23.4","36"
"Hidalgo, Texas","16.6","15.3","18.0","594"
"Placer, California","16.6","15.0","18.3","413"
"Carroll, Arkansas","16.6","10.8","24.5","30"
"San Bernardino, California","16.6","15.8","17.4","1675"
"Clatsop, Oregon","16.6","11.9","22.7","46"
"Lake, Florida","16.6","15.0","18.4","442"
"Harris, Texas","16.6","16.0","17.2","3367"
"Lincoln, Maine","16.6","11.3","23.8","41"
"Barbour, Alabama","16.5","10.9","24.1","30"
"Valencia, New Mexico","16.5","12.8","20.9","74"
"Itawamba, Mississippi","16.5","10.3","25.2","23"
"Allegan, Michigan","16.5","13.5","20.1","110"
"Pope, Arkansas","16.5","12.4","21.6","56"
"Logan, Colorado","16.5","9.9","25.9","20"
"DeKalb, Georgia","16.5","15.2","18.0","600"
"Marion, Oregon","16.5","14.7","18.5","312"
"Jefferson, Texas","16.5","14.4","18.8","235"
"Oneida, New York","16.5","14.4","18.8","248"
"Nez Perce, Idaho","16.5","11.8","22.4","45"
"Greene, North Carolina","16.5","10.2","25.5","22"
"Wakulla, Florida","16.5","11.1","23.8","32"
"Fremont, Wyoming","16.5","11.7","22.7","43"
"Chaves, New Mexico","16.5","12.4","21.5","58"
"Lewis, New York","16.5","10.8","24.2","28"
"Dillon, South Carolina","16.5","11.0","23.9","30"
"Marshall, Alabama","16.5","13.3","20.4","92"
"Clayton, Georgia","16.5","14.1","19.1","196"
"Clarke, Virginia","16.5","9.3","27.9","17"
"Polk, Florida","16.5","15.3","17.8","718"
"Lancaster, Nebraska","16.5","14.4","18.7","252"
"Wyoming, Pennsylvania","16.5","11.1","23.9","32"
"Warren, New Jersey","16.5","13.4","20.0","112"
"Ward, North Dakota","16.4","12.2","21.6","53"
"Wyandot, Ohio","16.4","10.4","24.9","24"
"Marion, Iowa","16.4","11.1","23.6","32"
"Walker, Texas","16.4","12.4","21.3","59"
"Steuben, New York","16.4","13.3","20.2","103"
"Cuyahoga, Ohio","16.4","15.4","17.3","1308"
"Bronx, New York","16.4","15.5","17.4","1173"
"Lucas, Ohio","16.4","14.8","18.1","419"
"Chester, South Carolina","16.4","11.2","23.2","35"
"Montgomery, Tennessee","16.4","13.6","19.6","126"
"New Haven, Connecticut","16.4","15.3","17.6","864"
"Lawrence, Illinois","16.4","9.2","27.1","16"
"Bergen, New Jersey","16.4","15.3","17.5","972"
"Wilson, Tennessee","16.4","13.6","19.6","132"
"Henry, Tennessee","16.4","11.3","23.3","37"
"Lake, Illinois","16.4","15.1","17.7","634"
"Bond, Illinois","16.4","9.7","26.4","19"
"Clay, Indiana","16.4","10.7","24.3","27"
"Towns, Georgia","16.4","9.0","29.7","18"
"Whitley, Indiana","16.4","11.3","23.2","35"
"Lauderdale, Mississippi","16.4","12.9","20.6","78"
"Boyle, Kentucky","16.4","10.9","23.8","30"
"Adams, Pennsylvania","16.4","13.4","20.0","112"
"Tattnall, Georgia","16.3","10.3","24.8","23"
"DuPage, Illinois","16.3","15.2","17.4","875"
"Cumberland, North Carolina","16.3","14.4","18.5","255"
"Ozaukee, Wisconsin","16.3","13.1","20.1","98"
"Stevens, Washington","16.3","11.8","22.1","52"
"Monroe, Illinois","16.3","11.3","22.9","37"
"Lyon, Nevada","16.3","12.3","21.4","61"
"Luna, New Mexico","16.3","10.1","24.8","25"
"Bastrop, Texas","16.3","12.7","20.5","77"
"Baldwin, Georgia","16.3","11.4","22.7","39"
"McHenry, Illinois","16.3","14.4","18.4","283"
"Lowndes, Georgia","16.3","13.0","20.2","87"
"Coffee, Alabama","16.3","12.0","21.7","50"
"Litchfield, Connecticut","16.3","14.1","18.9","216"
"Toombs, Georgia","16.3","10.7","24.1","27"
"Coshocton, Ohio","16.3","11.3","22.7","38"
"Roanoke, Virginia","16.3","13.1","20.1","95"
"Fulton, Georgia","16.3","15.1","17.5","782"
"Providence, Rhode Island","16.3","15.0","17.7","589"
"Alexander, North Carolina","16.3","11.5","22.6","40"
"Nicholas, West Virginia","16.2","10.7","23.9","30"
"Yamhill, Oregon","16.2","13.1","19.8","101"
"Tulare, California","16.2","14.5","18.1","332"
"Hendry, Florida","16.2","11.1","22.9","33"
"Cook, Illinois","16.2","15.7","16.6","4624"
"Newport, Rhode Island","16.2","12.9","20.1","93"
"Pinal, Arizona","16.2","14.6","17.9","410"
"Hartford, Connecticut","16.2","15.1","17.3","886"
"Clarion, Pennsylvania","16.2","11.7","22.1","44"
"Klickitat, Washington","16.2","10.1","25.2","24"
"Colonial Heights, Virginia","16.2","9.4","26.3","18"
"Bledsoe, Tennessee","16.1","9.1","27.2","16"
"Sullivan, New York","16.1","12.6","20.3","80"
"Madison, North Carolina","16.1","10.1","24.7","25"
"Coweta, Georgia","16.1","13.3","19.4","121"
"Trempealeau, Wisconsin","16.1","11.0","23.0","33"
"Grays Harbor, Washington","16.1","12.7","20.3","82"
"Beaver, Pennsylvania","16.1","13.8","18.7","196"
"Washington, Missouri","16.1","10.4","24.0","26"
"Fulton, Ohio","16.1","11.4","22.1","42"
"St. Lawrence, New York","16.1","13.1","19.6","107"
"Butler, Pennsylvania","16.1","13.9","18.6","197"
"Park, Wyoming","16.1","10.6","23.5","31"
"Putnam, Georgia","16.1","10.6","24.1","29"
"Montmorency, Michigan","16.1","9.0","30.1","16"
"Essex, Massachusetts","16.1","15.0","17.4","767"
"York, Pennsylvania","16.1","14.6","17.7","450"
"Fayette, Kentucky","16.1","14.1","18.2","255"
"Montgomery, Texas","16.1","14.6","17.6","460"
"Washington, Oklahoma","16.0","11.9","21.1","56"
"Gilchrist, Florida","16.0","9.2","26.2","18"
"Missaukee, Michigan","16.0","9.1","26.7","17"
"Denton, Texas","16.0","14.7","17.5","560"
"Cheshire, New Hampshire","16.0","12.5","20.2","80"
"Jasper, Mississippi","16.0","9.0","26.6","17"
"Shelby, Alabama","16.0","13.7","18.5","186"
"Staunton, Virginia","16.0","10.3","23.9","27"
"Sharp, Arkansas","16.0","9.5","25.8","22"
"Carroll, Maryland","16.0","13.6","18.7","167"
"Marion, Arkansas","16.0","9.2","26.5","22"
"Berkshire, Massachusetts","16.0","13.4","19.1","152"
"Brown, Texas","16.0","11.1","22.4","38"
"Buncombe, North Carolina","16.0","14.2","18.1","277"
"Montgomery, North Carolina","16.0","10.1","24.1","26"
"Spokane, Washington","16.0","14.6","17.6","464"
"Webster, Missouri","16.0","11.1","22.3","36"
"Clare, Michigan","16.0","11.0","22.8","37"
"York, South Carolina","16.0","13.9","18.3","221"
"Montour, Pennsylvania","16.0","9.1","26.4","18"
"Santa Rosa, Florida","16.0","13.5","18.8","157"
"Deschutes, Oregon","15.9","13.6","18.5","183"
"Cobb, Georgia","15.9","14.6","17.3","580"
"Pike, Pennsylvania","15.9","12.1","20.7","66"
"Shelby, Ohio","15.9","11.5","21.5","45"
"Carter, Oklahoma","15.9","11.6","21.4","47"
"Lee, North Carolina","15.9","12.0","20.8","59"
"Benton, Arkansas","15.9","13.8","18.3","208"
"Chatham, North Carolina","15.9","12.5","20.1","82"
"Pike, Alabama","15.9","10.4","23.3","28"
"Stanly, North Carolina","15.9","12.1","20.7","62"
"Delaware, New York","15.9","11.3","21.9","47"
"Travis, Texas","15.9","14.8","17.1","809"
"Norfolk, Massachusetts","15.9","14.7","17.2","690"
"Mahoning, Ohio","15.9","13.8","18.1","246"
"St. Mary's, Maryland","15.9","12.7","19.6","92"
"Madison, Florida","15.9","9.3","25.8","18"
"Dutchess, New York","15.8","14.1","17.8","307"
"Passaic, New Jersey","15.8","14.4","17.4","438"
"Charles, Maryland","15.8","13.2","18.8","134"
"Pemiscot, Missouri","15.8","8.8","26.3","16"
"Snohomish, Washington","15.8","14.6","17.1","670"
"St. Lucie, Florida","15.8","14.1","17.7","352"
"Texas, Missouri","15.8","10.1","23.6","27"
"Volusia, Florida","15.8","14.5","17.1","631"
"Livingston, Missouri","15.8","9.2","26.1","17"
"Schenectady, New York","15.8","13.3","18.6","154"
"Martin, North Carolina","15.8","9.9","24.3","25"
"Levy, Florida","15.8","11.5","21.4","51"
"Chatham, Georgia","15.8","13.9","18.0","248"
"Aransas, Texas","15.7","10.0","23.8","29"
"Russell, Kentucky","15.7","9.2","25.3","19"
"Santa Barbara, California","15.7","14.2","17.4","377"
"Wilkes, North Carolina","15.7","12.2","19.9","76"
"Osceola, Florida","15.7","13.8","17.8","262"
"Oakland, Michigan","15.7","14.8","16.6","1202"
"Lee, Illinois","15.7","11.2","21.8","41"
"Sevier, Tennessee","15.7","12.7","19.2","102"
"Windham, Vermont","15.7","11.2","21.4","46"
"Barnwell, South Carolina","15.7","9.6","24.3","22"
"Union, North Carolina","15.7","13.4","18.3","176"
"Henderson, North Carolina","15.7","13.0","18.9","136"
"Brazos, Texas","15.7","13.0","18.8","124"
"De Witt, Illinois","15.7","8.7","26.5","16"
"Okaloosa, Florida","15.7","13.5","18.2","185"
"Morris, New Jersey","15.7","14.3","17.2","488"
"Laramie, Wyoming","15.7","12.5","19.6","84"
"Tippecanoe, Indiana","15.7","13.0","18.7","128"
"Middlesex, New Jersey","15.7","14.6","16.9","730"
"Washington, Rhode Island","15.6","12.9","18.8","133"
"Bristol, Massachusetts","15.6","14.3","17.0","536"
"Chilton, Alabama","15.6","11.1","21.3","42"
"Taylor, Kentucky","15.6","9.7","24.0","23"
"Clarke, Georgia","15.6","12.2","19.6","77"
"Champaign, Illinois","15.6","13.2","18.4","149"
"Pitt, North Carolina","15.6","13.0","18.5","137"
"Lancaster, Pennsylvania","15.6","14.2","17.0","502"
"Eau Claire, Wisconsin","15.6","12.5","19.4","88"
"Baxter, Arkansas","15.6","11.4","21.1","58"
"La Crosse, Wisconsin","15.6","12.7","19.0","108"
"James City, Virginia","15.5","12.2","19.6","86"
"Elko, Nevada","15.5","10.9","21.5","39"
"Alpena, Michigan","15.5","10.4","22.6","33"
"Kennebec, Maine","15.5","12.8","18.6","131"
"Shenandoah, Virginia","15.5","11.1","21.2","46"
"Huntingdon, Pennsylvania","15.5","11.3","21.0","49"
"Somerset, Maine","15.5","11.6","20.3","58"
"Morgan, Missouri","15.5","9.6","24.2","25"
"Newton, Texas","15.5","9.0","25.8","17"
"Gogebic, Michigan","15.5","9.4","25.2","21"
"Sutter, California","15.5","12.3","19.3","83"
"O'Brien, Iowa","15.5","9.2","25.5","19"
"Lenawee, Michigan","15.5","12.6","18.9","105"
"Josephine, Oregon","15.5","12.4","19.3","102"
"Mason, Illinois","15.5","9.1","25.7","18"
"Yolo, California","15.5","13.1","18.2","153"
"Portage, Ohio","15.5","13.0","18.4","145"
"Pittsylvania, Virginia","15.4","11.8","20.0","67"
"Tyler, Texas","15.4","9.6","23.7","24"
"Geneva, Alabama","15.4","10.1","22.9","28"
"Hockley, Texas","15.4","9.5","23.9","21"
"Henry, Iowa","15.4","9.2","24.5","20"
"Sussex, New Jersey","15.4","12.9","18.2","154"
"Summit, Ohio","15.4","14.1","16.9","517"
"Tooele, Utah","15.4","10.8","21.1","40"
"Payette, Idaho","15.4","9.5","23.8","22"
"Fremont, Colorado","15.4","11.2","20.8","49"
"Westchester, New York","15.4","14.3","16.4","914"
"York, Maine","15.4","13.3","17.7","215"
"Lafayette, Mississippi","15.4","10.7","21.4","37"
"Hall, Georgia","15.4","13.1","18.0","161"
"Sawyer, Wisconsin","15.4","9.3","24.8","22"
"Washburn, Wisconsin","15.3","9.3","24.9","22"
"Saluda, South Carolina","15.3","9.3","24.1","21"
"Calhoun, South Carolina","15.3","9.0","25.4","18"
"Bristol, Rhode Island","15.3","11.4","20.3","55"
"Cooke, Texas","15.3","10.8","21.3","40"
"Kosciusko, Indiana","15.3","11.8","19.5","68"
"Mitchell, Georgia","15.3","9.4","23.8","21"
"Siskiyou, California","15.3","11.5","20.3","57"
"Mecklenburg, North Carolina","15.3","14.2","16.4","755"
"Carbon, Utah","15.3","9.1","24.3","19"
"Greene, Missouri","15.3","13.5","17.4","253"
"Yavapai, Arizona","15.2","13.3","17.3","303"
"Stutsman, North Dakota","15.2","9.0","24.2","20"
"Fayette, Texas","15.2","9.6","23.1","27"
"Harrisonburg, Virginia","15.2","10.1","21.9","29"
"Jasper, South Carolina","15.2","10.0","22.5","28"
"Hamilton, Indiana","15.2","13.3","17.4","230"
"Wood, Ohio","15.2","12.4","18.5","108"
"Mitchell, North Carolina","15.1","9.0","24.9","19"
"Noble, Indiana","15.1","10.7","20.6","42"
"Baker, Oregon","15.1","8.0","26.4","17"
"Sumter, Florida","15.1","12.2","18.8","219"
"Clark, Washington","15.1","13.6","16.7","400"
"Brevard, Florida","15.1","13.9","16.4","658"
"Maricopa, Arizona","15.1","14.6","15.6","3446"
"Galveston, Texas","15.1","13.3","17.1","271"
"Wexford, Michigan","15.0","10.1","21.6","32"
"Sanilac, Michigan","15.0","10.6","20.8","42"
"McDonald, Missouri","15.0","9.1","23.5","20"
"Mercer, West Virginia","15.0","11.2","19.8","59"
"Jackson, Michigan","15.0","12.6","17.7","150"
