county,binge_alcohol
"Imperial, California",15.285714285714286
"Inyo, California",19.37142857142857
"Kern, California",15.828571428571427
"Kings, California",16.400000000000002
"Lake, California",18.814285714285717
"Lassen, California",18.057142857142857
"Los Angeles, California",16.771428571428572
"Madera, California",16.314285714285713
"Marin, California",20.757142857142856
"Mariposa, California",20.1
"Mendocino, California",19.45714285714286
"Merced, California",16.014285714285716
"Modoc, California",18.17142857142857
"Mono, California",21.214285714285715
"Monterey, California",17.4
"Napa, California",19.642857142857142
"Nevada, California",19.514285714285712
"Orange, California",18.32857142857143
"Placer, California",17.842857142857145
"Plumas, California",20.614285714285717
"Riverside, California",16.9
"Sacramento, California",17.97142857142857
"San Benito, California",17.52857142857143
"San Bernardino, California",16.771428571428576
"San Diego, California",18.785714285714285
"San Francisco, California",24.014285714285712
"San Joaquin, California",16.900000000000002
"San Luis Obispo, California",19.428571428571427
"San Mateo, California",20.642857142857142
"Santa Barbara, California",18.857142857142858
"Santa Clara, California",18.3
"Santa Cruz, California",19.428571428571427
"Shasta, California",17.099999999999998
"Sierra, California",21.099999999999998
"Siskiyou, California",18.07142857142857
"Solano, California",18.114285714285717
"Sonoma, California",20.685714285714287
"Stanislaus, California",16.457142857142856
"Sutter, California",16.3
"Tehama, California",18.014285714285712
"Trinity, California",19.957142857142856
"Tulare, California",15.685714285714283
"Tuolumne, California",18.157142857142855
"Ventura, California",18.114285714285714
"Yolo, California",19.271428571428572
"Yuba, California",17.314285714285713
"Adams County, Boulder County, Broomfield County, Jefferson County, Weld, Colorado",18.185714285714287
"Alamosa, Colorado",16.014285714285716
"Arapahoe, Colorado",18.657142857142862
"Archuleta, Colorado",20.342857142857145
"Baca, Colorado",15.357142857142858
"Bent, Colorado",17.571428571428573
"Chaffee, Colorado",18.985714285714288
"Cheyenne, Colorado",20.185714285714287
"Clear Creek, Colorado",23.814285714285713
"Conejos, Colorado",13.071428571428571
"Costilla, Colorado",16.88571428571429
"Crowley, Colorado",16.485714285714284
"Custer, Colorado",19.099999999999998
"Delta, Colorado",19.5
"Denver, Colorado",22.614285714285717
"Dolores, Colorado",21.314285714285713
"Douglas, Colorado",16.185714285714287
"Eagle, Colorado",23.114285714285717
"El Paso, Colorado",15.171428571428569
"Elbert, Colorado",16.3
"Fremont, Colorado",16.857142857142858
"Garfield, Colorado",22.82857142857143
"Gilpin, Colorado",22.61428571428571
"Grand, Colorado",24.042857142857144
"Gunnison, Colorado",24.957142857142856
"Hinsdale, Colorado",28.62857142857143
"Huerfano, Colorado",21.17142857142857
"Jackson, Colorado",24.842857142857138
"Kiowa, Colorado",9.214285714285714
"Kit Carson, Colorado",16.0
"La Plata, Colorado",22.014285714285716
"Lake, Colorado",24.3
"Larimer, Colorado",18.928571428571427
"Las Animas, Colorado",18.557142857142857
"Lincoln, Colorado",15.557142857142859
"Logan, Colorado",17.914285714285715
"Mesa, Colorado",18.485714285714288
"Mineral, Colorado",17.857142857142858
"Moffat, Colorado",21.5
"Montezuma, Colorado",18.557142857142857
"Montrose, Colorado",19.542857142857144
"Morgan, Colorado",16.9
"Otero, Colorado",18.014285714285712
"Ouray, Colorado",23.185714285714283
"Park, Colorado",20.900000000000002
"Phillips, Colorado",14.885714285714286
"Pitkin, Colorado",25.185714285714283
"Prowers, Colorado",16.928571428571427
"Pueblo, Colorado",17.65714285714286
"Rio Blanco, Colorado",20.657142857142855
"Rio Grande, Colorado",18.842857142857145
"Routt, Colorado",23.67142857142857
"Saguache, Colorado",17.92857142857143
"San Juan, Colorado",28.557142857142853
"San Miguel, Colorado",27.085714285714285
"Sedgwick, Colorado",16.485714285714288
"Summit, Colorado",26.428571428571423
"Teller, Colorado",19.37142857142857
"Washington, Colorado",17.214285714285715
"Yuma, Colorado",18.357142857142858
"Fairfield, Connecticut",18.61428571428571
"Hartford, Connecticut",17.357142857142858
"Litchfield, Connecticut",20.12857142857143
"Middlesex, Connecticut",19.87142857142857
"New Haven, Connecticut",17.314285714285713
