,county,pH
155,"Bradford, Pennsylvania",7.439999999999999
156,"Bradley, Tennessee",7.122727272727274
157,"Brazoria county, Texas",6.8
158,"Brazoria, Texas",7.601619433198376
159,"Brazos, Texas",7.985294117647059
160,"Breathitt, Kentucky",7.3358333333333325
161,"Breckinridge, Kentucky",7.618333333333333
162,"Bremer, Iowa",7.1
163,"Brevard, Florida",8.141
164,"Brewster, Texas",7.578787878787878
165,"Briscoe, Texas",7.863846153846153
166,"Bristol, Rhode Island",7.282500000000001
167,"Bristol, Virginia",1.917868852459016
168,"Brooke, West Virginia",7.566666666666666
169,"Brooks, Texas",7.606428571428572
170,"Broome, New York",7.123261802575111
171,"Broward county, Florida",8.21
172,"Broward, Florida",8.42063829787234
173,"Brown, Illinois",7.133333333333333
174,"Brown, Kansas",7.55
175,"Brown, Minnesota",7.441197604790413
176,"Brown, Texas",7.312
177,"Brown, Wisconsin",7.725062500000003
178,"Brunswick, North Carolina",7.2505000000000015
179,"Brunswick, Virginia",3.254578313253013
180,"Bryan, Oklahoma",7.036363636363635
181,"Buchanan, Virginia",2.1963551401869172
182,"Buckingham, Virginia",3.79867924528302
183,"Bucks, Pennsylvania",7.573875000000001
184,"Buena vista, Iowa",7.4
185,"Buena vista, Virginia",6.5325
186,"Buffalo, Wisconsin",7.335499999999999
187,"Bullock, Alabama",8.137619047619047
188,"Buncombe, North Carolina",7.4843663230240605
189,"Bureau, Illinois",7.827300000000005
190,"Burke, North Carolina",6.895185185185186
191,"Burke, North Dakota",7.575999999999999
192,"Burleigh, North Dakota",8.301666666666668
193,"Burleson, Texas",7.963461538461539
194,"Burlington, New Jersey",7.439445843828708
195,"Burnet, Texas",7.169444444444442
196,"Burnett, Wisconsin",7.9575000000000005
197,"Butler, Alabama",8.399677419354838
198,"Butler, Iowa",7.4750000000000005
199,"Butler, Kansas",7.449999999999999
200,"Butler, Kentucky",7.509166666666668
201,"Butler, Missouri",7.543611111111113
202,"Butte, California",7.533062248995979
203,"Cabarrus, North Carolina",7.006052631578947
204,"Cache, Utah",7.366666666666667
205,"Caddo parish, Louisiana",8.131666666666666
206,"Caddo, Louisiana",7.889425287356325
207,"Calaveras, California",7.301292134831459
208,"Calcasieu, Louisiana",7.68196078431373
209,"Caldwell, Kentucky",7.16
210,"Caldwell, Louisiana",7.4515
211,"Caldwell, Missouri",7.92315789473684
212,"Caldwell, North Carolina",6.720789473684211
213,"Caldwell, Texas",7.503125
214,"Caledonia, Vermont",7.3825
215,"Calhoun, Alabama",7.926371681415927
216,"Calhoun, Florida",8.06
217,"Calhoun, Illinois",7.45
218,"Calhoun, Michigan",7.996666666666667
219,"Calhoun, Texas",7.995200000000002
220,"Calhoun, West Virginia",3.5533333333333332
221,"Callahan, Texas",7.506666666666667
222,"Callaway, Missouri",7.455254237288136
223,"Calloway, Kentucky",6.582999999999999
224,"Calumet, Wisconsin",7.642857142857144
225,"Cambria, Pennsylvania",7.356894117647061
226,"Camden, Missouri",7.452344497607656
227,"Camden, New Jersey",7.164507246376809
228,"Camden, North Carolina",7.075
229,"Cameron, Louisiana",8.072272727272727
230,"Cameron, Texas",7.562626262626261
231,"Camp, Texas",8.401818181818182
232,"Campbell, Kentucky",7.263333333333333
233,"Campbell, Tennessee",7.102857142857141
234,"Campbell, Virginia",3.514709302325579
235,"Campbell, Wyoming",7.9
236,"Canadian, Oklahoma",6.573333333333333
237,"Cannon, Tennessee",7.212222222222222
238,"Canyon, Idaho",7.105
239,"Cape girardeau, Missouri",7.453658536585369
240,"Cape may, New Jersey",7.1708235294117655
241,"Carbon, Montana",7.166666666666668
242,"Carbon, Wyoming",7.131333333333333
243,"Carlisle, Kentucky",6.609130434782607
244,"Carlton, Minnesota",7.966717557251908
245,"Caroline, Virginia",3.9114835164835133
246,"Carroll, Illinois",7.5225
247,"Carroll, Iowa",7.5
248,"Carroll, Kentucky",7.494
249,"Carroll, Missouri",8.12
250,"Carroll, Tennessee",7.179333333333332
251,"Carroll, Virginia",3.5869298245614023
252,"Carson city, Nevada",7.87409090909091
253,"Carson, Texas",7.755909090909091
254,"Carter, Kentucky",7.1894117647058815
255,"Carter, Missouri",7.636363636363638
256,"Carter, Montana",8.628333333333332
257,"Carter, Tennessee",7.38
258,"Carteret, North Carolina",7.528202247191023
259,"Carver, Minnesota",7.677860465116273
260,"Cascade, Montana",7.452857142857143
261,"Casey, Kentucky",6.394
262,"Cass, Illinois",7.15
263,"Cass, Indiana",6.632499999999999
264,"Cass, Minnesota",7.294736842105261
265,"Cass, Missouri",7.389375000000001
266,"Cass, North Dakota",7.556923076923079
267,"Cass, Texas",8.14030303030303
268,"Castro, Texas",7.589166666666667
269,"Caswell, North Carolina",6.909166666666668
270,"Catahoula, Louisiana",7.487272727272728
271,"Catawba, North Carolina",7.091883561643832
272,"Catron, New Mexico",8.823333333333332
273,"Cavalier, North Dakota",9.06
274,"Cedar, Iowa",7.5
275,"Cedar, Missouri",7.619047619047619
276,"Cerro gordo, Iowa",7.275
277,"Chambers, Alabama",6.545333333333334
278,"Chambers, Texas",7.854716981132071
279,"Champaign, Illinois",8.279024390243904
280,"Chariton, Missouri",7.808571428571429
281,"Charles city, Virginia",5.032708333333334
282,"Charleston, South Carolina",7.690147058823529
283,"Charlotte, Florida",7.882307692307692
284,"Charlotte, Virginia",4.058235294117647
285,"Chase, Kansas",7.541176470588234
286,"Chatham, North Carolina",7.215818181818178
