,county,trichloroethyl
456,"Chester, South Carolina",0.0
457,"Chester, Tennessee",0.0
458,"Chesterfield, South Carolina",0.0
459,"Chesterfield, Virginia",0.0
460,"Cheyenne, Kansas",0.0
461,"Cheyenne, Nebraska",0.0
462,"Chickasaw, Iowa",0.0
463,"Chicot, Arkansas",0.0
464,"Chilton, Alabama",0.0
465,"Chippewa, Michigan",0.0
466,"Chippewa, Minnesota",0.0
467,"Chippewa, Wisconsin",0.0
468,"Chisago, Minnesota",0.0
469,"Chittenden, Vermont",0.0
470,"Choctaw, Alabama",0.0
471,"Choctaw, Oklahoma",0.0
472,"Chouteau, Montana",0.0
473,"Chowan, North Carolina",0.0
474,"Christian, Illinois",0.0
475,"Christian, Kentucky",0.0
476,"Christian, Missouri",0.01111764705882353
477,"Churchill, Nevada",0.0
478,"Cibola, New Mexico",0.0
479,"Cimarron, Oklahoma",0.0
480,"Citrus county, Florida",0.0
481,"Citrus, Florida",0.0
482,"Clackamas, Oregon",0.0
483,"Claiborne, Louisiana",0.0
484,"Claiborne, Tennessee",0.0
485,"Clallam, Washington",0.0
486,"Clare, Michigan",0.0
487,"Clarendon, South Carolina",0.0
488,"Clarion, Pennsylvania",0.0
489,"Clark county, Nevada",0.0
490,"Clark, Arkansas",0.0
491,"Clark, Idaho",0.0
492,"Clark, Illinois",0.0
493,"Clark, Indiana",0.17
494,"Clark, Kansas",0.0
495,"Clark, Kentucky",0.0
496,"Clark, Missouri",0.0
497,"Clark, Nevada",0.003209169054441261
498,"Clark, Ohio",0.11359307359307359
499,"Clark, South Dakota",0.0
500,"Clark, Washington",0.05008695652173913
501,"Clark, Wisconsin",0.0
502,"Clarke, Alabama",0.0
503,"Clarke, Iowa",0.0
504,"Clarke, Virginia",0.0
505,"Clatsop, Oregon",0.0
506,"Clay, Alabama",0.0
507,"Clay, Arkansas",0.0
508,"Clay, Florida",0.0
509,"Clay, Illinois",0.0
510,"Clay, Indiana",0.0
511,"Clay, Iowa",0.0
512,"Clay, Kansas",0.0
513,"Clay, Kentucky",0.0
514,"Clay, Minnesota",0.07352941176470588
515,"Clay, Missouri",0.0
516,"Clay, Nebraska",0.0
517,"Clay, North Carolina",0.0
518,"Clay, South Dakota",0.0
519,"Clay, Tennessee",0.0
520,"Clay, Texas",0.0
521,"Clay, West Virginia",0.0
522,"Clayton, Iowa",0.0
523,"Clearfield county, Pennsylvania",0.0
524,"Clearfield, Pennsylvania",0.0
525,"Clearwater, Idaho",0.0
526,"Clearwater, Minnesota",0.0
527,"Cleburne, Alabama",0.0
528,"Cleburne, Arkansas",0.0
529,"Clermont, Ohio",0.16588888888888892
530,"Cleveland, Arkansas",0.0
531,"Cleveland, North Carolina",0.0
532,"Cleveland, Oklahoma",0.12677852348993288
533,"Clinton, Illinois",0.0
534,"Clinton, Indiana",0.0
535,"Clinton, Iowa",0.0
536,"Clinton, Kentucky",0.0
537,"Clinton, Michigan",0.0
538,"Clinton, Missouri",0.0
539,"Clinton, New York",0.0
540,"Clinton, Ohio",0.0
541,"Clinton, Pennsylvania",0.0
542,"Cloud, Kansas",0.0
543,"Coal, Oklahoma",0.0
544,"Cochise, Arizona",0.0022163588390501318
545,"Cochran, Texas",0.0
546,"Cocke, Tennessee",0.0
547,"Coconino, Arizona",0.1
548,"Codington, South Dakota",0.0
549,"Coffee, Alabama",0.0
550,"Coffee, Tennessee",0.03736842105263158
551,"Coffey, Kansas",0.0
552,"Coke, Texas",0.0
553,"Colbert, Alabama",0.0
554,"Cole, Missouri",0.0
555,"Coleman, Texas",0.0
556,"Coles, Illinois",0.0
557,"Colfax, Nebraska",0.0
558,"Colfax, New Mexico",0.0
559,"Colleton, South Carolina",0.0
560,"Collier, Florida",0.0
561,"Collin, Texas",0.0
562,"Collingsworth, Texas",0.0
563,"Colorado, Texas",0.0
564,"Columbia county, Pennsylvania",0.0
565,"Columbia, Arkansas",0.0
566,"Columbia, Florida",0.0
567,"Columbia, New York",0.0
568,"Columbia, Oregon",0.0
569,"Columbia, Pennsylvania",0.006578947368421052
570,"Columbia, Washington",0.0
571,"Columbia, Wisconsin",0.001056910569105691
572,"Columbiana, Ohio",0.0
573,"Columbus county, North Carolina",0.0
574,"Columbus, North Carolina",0.0
575,"Colusa, California",0.0
576,"Comal, Texas",0.0
577,"Comanche, Kansas",0.0
578,"Comanche, Oklahoma",0.0
579,"Comanche, Texas",0.0
580,"Concho, Texas",0.0
581,"Concordia, Louisiana",0.0
582,"Conecuh, Alabama",0.0
583,"Contra costa, California",0.0
584,"Converse, Wyoming",0.0
585,"Conway, Arkansas",0.0
586,"Cook, Illinois",0.0
587,"Cook, Minnesota",0.0
588,"Cooke, Texas",0.0
589,"Cooper, Missouri",0.0
590,"Coos, New Hampshire",0.0
591,"Coos, Oregon",0.0
592,"Coosa, Alabama",0.0
593,"Corson, South Dakota",0.0
594,"Cortland, New York",0.012259887005649717
595,"Coryell, Texas",0.0
596,"Coshocton, Ohio",0.0
597,"Cottle, Texas",0.0
598,"Cotton, Oklahoma",0.0
599,"Cottonwood county, Minnesota",0.0
600,"Cottonwood, Minnesota",0.0
601,"Covington, Alabama",0.002966101694915254
602,"Covington, Virginia",0.0
603,"Cowley, Kansas",0.02870967741935484
604,"Cowlitz, Washington",0.05042016806722689
605,"Craig, Oklahoma",0.0
606,"Craig, Virginia",0.0
607,"Craighead, Arkansas",0.032840909090909094
608,"Crane, Texas",0.0
609,"Craven, North Carolina",0.0
610,"Crawford county, Pennsylvania",0.0
611,"Crawford, Arkansas",0.0
612,"Crawford, Illinois",0.0
613,"Crawford, Indiana",0.0
614,"Crawford, Iowa",0.0
615,"Crawford, Kansas",0.0
616,"Crawford, Michigan",0.0
617,"Crawford, Missouri",0.0
618,"Crawford, Ohio",0.0
619,"Crawford, Pennsylvania",0.020833333333333332
620,"Crawford, Wisconsin",0.09146875
621,"Creek, Oklahoma",0.0
622,"Crenshaw, Alabama",0.0
623,"Crittenden, Arkansas",0.0
624,"Crittenden, Kentucky",0.0
625,"Crockett, Tennessee",0.0
626,"Crockett, Texas",0.0
627,"Crook, Oregon",0.0
628,"Crook, Wyoming",0.0
629,"Crosby, Texas",0.0
630,"Cross, Arkansas",0.0
631,"Crow wing, Minnesota",0.0031446540880503146
632,"Culberson, Texas",0.0
633,"Cullman, Alabama",0.0
634,"Culpeper, Virginia",0.3572992700729927
635,"Cumberland county, Pennsylvania",0.0
636,"Cumberland, Illinois",0.0
637,"Cumberland, Kentucky",0.0
638,"Cumberland, Maine",0.0
639,"Cumberland, New Jersey",0.05867557715674362
640,"Cumberland, North Carolina",0.001851851851851852
641,"Cumberland, Pennsylvania",0.008730964467005078
642,"Cumberland, Tennessee",0.0
643,"Cumberland, Virginia",0.0
644,"Cuming, Nebraska",0.060263157894736845
645,"Currituck, North Carolina",0.0
646,"Curry, New Mexico",0.0
647,"Curry, Oregon",0.0
648,"Custer, Idaho",0.005769230769230769
649,"Custer, Montana",0.0
650,"Custer, Nebraska",0.2775641025641026
651,"Custer, Oklahoma",0.0
652,"Custer, South Dakota",0.0
653,"Cuyahoga, Ohio",0.035333333333333335
654,"Dade, Florida",0.0
655,"Dade, Missouri",0.0
656,"Daggett, Utah",0.0
657,"Dakota, Minnesota",0.008272251308900525
658,"Dakota, Nebraska",0.0
659,"Dale, Alabama",0.0
660,"Dallam, Texas",0.0
661,"Dallas, Alabama",0.0
662,"Dallas, Arkansas",0.0
663,"Dallas, Iowa",0.0
664,"Dallas, Missouri",0.0
665,"Dallas, Texas",0.0
666,"Dane, Wisconsin",0.08890688259109311
667,"Daniels, Montana",0.0
668,"Danville, Virginia",0.0
669,"Dare, North Carolina",0.0
670,"Darke, Ohio",0.0
671,"Darlington, South Carolina",0.0
672,"Dauphin county, Pennsylvania",0.0
673,"Dauphin, Pennsylvania",0.05010582010582011
674,"Davidson, North Carolina",0.0
675,"Davidson, Tennessee",0.0
676,"Davie, North Carolina",0.0
677,"Daviess, Indiana",0.0
678,"Daviess, Kentucky",0.0
679,"Daviess, Missouri",0.0
680,"Davis, Iowa",0.0
681,"Davis, Utah",0.12698412698412703
682,"Dawes, Nebraska",0.0
683,"Dawson, Montana",0.0
684,"Dawson, Nebraska",0.0
685,"Dawson, Texas",0.0
686,"Day, South Dakota",0.0
687,"De baca, New Mexico",0.0
688,"De kalb, Indiana",0.0
689,"De kalb, Missouri",0.0
690,"De soto, Florida",0.0
691,"De soto, Louisiana",0.054
692,"De witt, Illinois",0.0
693,"Deaf smith, Texas",0.0
694,"Dearborn, Indiana",0.0
695,"Decatur, Indiana",0.0
696,"Decatur, Iowa",0.0
697,"Decatur, Kansas",0.0
698,"Decatur, Tennessee",0.0
699,"Deer lodge, Montana",0.0
700,"Defiance, Ohio",0.0
701,"Dekalb, Alabama",0.0
702,"Dekalb, Illinois",0.08639072847682121
703,"Dekalb, Indiana",0.0
704,"Dekalb, Missouri",0.0
705,"Dekalb, Tennessee",0.0
706,"Del norte county, California",0.0
707,"Del norte, California",0.0
708,"Delaware, Indiana",0.0
709,"Delaware, Iowa",0.0
710,"Delaware, New York",0.8679532163742691
711,"Delaware, Ohio",0.0
712,"Delaware, Oklahoma",0.0
713,"Delaware, Pennsylvania",0.0
714,"Delta, Michigan",0.0
715,"Delta, Texas",0.0
716,"Denali, Alaska",0.0
717,"Dent, Missouri",0.0
718,"Denton, Texas",0.0
719,"Des moines, Iowa",0.0
720,"Deschutes, Oregon",0.0
721,"Desha, Arkansas",0.0
722,"Desoto, Florida",0.0
723,"Deuel, Nebraska",0.0
724,"Dewey, Oklahoma",0.0
725,"Dewey, South Dakota",0.0
726,"Dewitt, Texas",0.0
727,"Dickens, Texas",0.0
728,"Dickenson, Virginia",0.0
729,"Dickey, North Dakota",0.0
730,"Dickinson, Iowa",0.0
731,"Dickinson, Kansas",0.0
732,"Dickinson, Michigan",0.0
733,"Dickson, Tennessee",0.0
734,"Dillingham, Alaska",0.0
735,"Dillon, South Carolina",0.0
736,"Dimmit, Texas",0.0
737,"Dinwiddie, Virginia",0.0
738,"District of columbia, District of Columbia",0.0
739,"Dixie, Florida",0.0
740,"Dixon, Nebraska",0.0
741,"Doddridge, West Virginia",0.0
742,"Dodge, Minnesota",0.0
743,"Dodge, Nebraska",0.0
744,"Dodge, Wisconsin",0.011424418604651163
745,"Dona ana, New Mexico",0.009307272727272727
746,"Doniphan, Kansas",0.0
747,"Donley, Texas",0.0
748,"Door, Wisconsin",0.0
749,"Dorchester, Maryland",0.03975903614457831
750,"Dorchester, South Carolina",0.1096190476190476
751,"Douglas, Illinois",0.0
752,"Douglas, Kansas",0.0
753,"Douglas, Minnesota",0.005714285714285714
754,"Douglas, Missouri",0.0
755,"Douglas, Nebraska",0.03511347517730497
756,"Douglas, Nevada",0.0
757,"Douglas, Oregon",0.0
758,"Douglas, South Dakota",0.0
759,"Douglas, Washington",0.0
760,"Douglas, Wisconsin",0.0
761,"Drew, Arkansas",0.0
762,"Du page, Illinois",0.0
763,"Dubois, Indiana",0.0
764,"Dubuque, Iowa",0.0
765,"Duchesne, Utah",0.0
766,"Dukes, Massachusetts",0.0
767,"Dundy, Nebraska",0.0
768,"Dunklin, Missouri",0.0
769,"Dunn, North Dakota",0.0
770,"Dunn, Wisconsin",0.0
