,county,uranium_combined
160,"Butler, Missouri",0.0
161,"Butler, Nebraska",39.74575
162,"Butler, Pennsylvania",0.016721111111111114
163,"Butte, California",0.16379357142857148
164,"Butte, South Dakota",0.0
165,"Cabarrus, North Carolina",4.335602000000001
166,"Caddo parish, Louisiana",0.0
167,"Caddo, Louisiana",0.014326923076923077
168,"Caddo, Oklahoma",6.509777777777774
169,"Calaveras, California",4.171448148148149
170,"Calcasieu, Louisiana",0.0
171,"Caldwell, Kentucky",0.5646666666666668
172,"Caldwell, Louisiana",0.00298
173,"Caldwell, North Carolina",5.811
174,"Caledonia, Vermont",1.0
175,"Calhoun, Iowa",5.96
176,"Calhoun, South Carolina",0.5
177,"Callaway, Missouri",0.48763636363636365
178,"Calloway, Kentucky",0.3725
179,"Calumet, Wisconsin",0.7659333333333332
180,"Calvert, Maryland",0.0
181,"Cambria, Pennsylvania",0.0
182,"Camden, Missouri",0.09085365853658536
183,"Camden, New Jersey",2.617521411602204
184,"Cameron, Louisiana",0.0
185,"Campbell, Kentucky",0.894
186,"Campbell, Virginia",36.666000000000004
187,"Campbell, Wyoming",0.4444444444444444
188,"Canadian, Oklahoma",17.083783783783783
189,"Canyon, Idaho",21.98374774774774
190,"Cape girardeau, Missouri",0.43955
191,"Cape may, New Jersey",1.0231771473354228
192,"Carbon, Montana",8.25
193,"Carbon, Pennsylvania",0.0050118181818181815
194,"Carbon, Wyoming",1.0
195,"Caribou, Idaho",0.91005
196,"Carlisle, Kentucky",0.045
197,"Caroline, Virginia",0.12416666666666666
198,"Carroll, Illinois",0.149
199,"Carroll, Kentucky",0.433
200,"Carroll, Maryland",10.706826315789472
201,"Carroll, New Hampshire",19.366188314176245
202,"Carroll, Virginia",2.04
203,"Carson city, Nevada",18.036794900662255
204,"Carter, Oklahoma",0.7383838383838385
205,"Carteret, North Carolina",0.0447
206,"Carver, Minnesota",0.0
207,"Cascade, Montana",1.4348446153846153
208,"Cass, Indiana",0.0447
209,"Cass, Minnesota",0.0
210,"Cass, North Dakota",2.7593636363636365
211,"Cassia, Idaho",7.191000000000001
212,"Caswell, North Carolina",5.811000000000001
213,"Catahoula, Louisiana",0.05458235294117647
214,"Catawba, North Carolina",2.9297814814814815
215,"Catron, New Mexico",26.392569777777776
216,"Cattaraugus, New York",0.0
217,"Cecil, Maryland",1.5964285714285715
218,"Cedar, Missouri",0.0
219,"Cedar, Nebraska",17.543370370370372
220,"Centre county, Pennsylvania",0.0
221,"Centre, Pennsylvania",0.11565238095238095
222,"Champaign, Illinois",0.0
223,"Charles mix, South Dakota",0.0
224,"Charles, Maryland",1.55705
225,"Charleston, South Carolina",0.0
226,"Charlotte, Florida",0.12558571428571427
227,"Charlotte, Virginia",12.133333333333333
228,"Chatham, North Carolina",1.2913333333333332
229,"Chautauqua, New York",0.5016333333333333
230,"Chaves, New Mexico",1.3008333333333333
231,"Chemung, New York",1.5014785714285712
232,"Cherokee, North Carolina",0.0
233,"Cherokee, Oklahoma",0.14146341463414633
234,"Cherokee, South Carolina",0.0
235,"Chesapeake, Virginia",0.0
236,"Cheshire, New Hampshire",8.831554639175256
237,"Chester county, Pennsylvania",2.5777
238,"Chester, Pennsylvania",0.23385904761904763
239,"Chester, South Carolina",0.0
240,"Chesterfield, South Carolina",2.1631578947368424
241,"Cheyenne, Nebraska",14.395055555555551
242,"Chickasaw, Iowa",0.0
243,"Chippewa, Michigan",15.1
244,"Chippewa, Minnesota",5.066
245,"Chippewa, Wisconsin",0.0005
246,"Chisago, Minnesota",2.8407714285714287
247,"Chittenden, Vermont",5.291727272727273
248,"Choctaw, Oklahoma",0.03019703125
249,"Chouteau, Montana",1.3333333333333333
250,"Chowan, North Carolina",0.0
251,"Christian, Kentucky",0.149
252,"Christian, Missouri",1.8758888888888887
253,"Churchill, Nevada",18.380238805970148
254,"Cibola, New Mexico",4.547112727272728
255,"Cimarron, Oklahoma",9.503846153846153
256,"Citrus, Florida",0.10633396825396824
257,"Clackamas, Oregon",0.007216494845360824
258,"Claiborne, Louisiana",0.1429690476190476
259,"Clarendon, South Carolina",1.0923076923076922
260,"Clarion, Pennsylvania",0.0
261,"Clark, Illinois",0.0
262,"Clark, Indiana",0.5666666666666668
263,"Clark, Nevada",4.561141449275365
264,"Clark, Ohio",0.0
265,"Clark, South Dakota",0.0
266,"Clark, Washington",0.0
267,"Clark, Wisconsin",2.7606666666666664
268,"Clatsop, Oregon",0.13432866666666668
269,"Clay, Florida",0.0
270,"Clay, Illinois",0.0
271,"Clay, Indiana",0.27139375
272,"Clay, Kansas",33.87027027027027
273,"Clay, Nebraska",21.038800000000002
274,"Clay, North Carolina",0.4768
275,"Clay, South Dakota",0.0
276,"Clayton, Iowa",0.0
277,"Clearfield county, Pennsylvania",0.0
278,"Clearfield, Pennsylvania",0.614625
279,"Clearwater, Idaho",0.0
280,"Cleveland, North Carolina",0.1849655172413793
281,"Cleveland, Oklahoma",9.164028776978421
282,"Clinton, Illinois",0.0
283,"Clinton, Indiana",0.0
284,"Clinton, New York",0.0
285,"Clinton, Pennsylvania",0.0
286,"Cloud, Kansas",7.4799999999999995
287,"Coal, Oklahoma",0.0
288,"Cochise, Arizona",2.6198275862068963
289,"Coconino, Arizona",4.828153846153845
290,"Codington, South Dakota",0.0
291,"Cole, Missouri",0.0
292,"Colfax, Nebraska",19.46933333333334
293,"Colfax, New Mexico",4.846153846153846
294,"Colleton, South Carolina",3.6999999999999997
295,"Collier, Florida",0.26399294117647054
