,county,combinded_radium
158,"Bristol bay, Alaska",0.0
159,"Bristol, Rhode Island",0.907
160,"Broadwater, Montana",0.0
161,"Brookings, South Dakota",0.0
162,"Brooks, Texas",0.41200000000000003
163,"Broome, New York",1.010612903225806
164,"Brown, Illinois",1.3
165,"Brown, Kansas",0.11000000000000001
166,"Brown, Nebraska",0.68
167,"Brown, South Dakota",0.0
168,"Brown, Texas",2.5999999999999996
169,"Brown, Wisconsin",1.761058823529412
170,"Brule, South Dakota",0.0
171,"Brunswick, North Carolina",0.0625
172,"Bryan, Oklahoma",0.35191150442477875
173,"Buchanan, Iowa",2.138
174,"Buena vista, Iowa",0.7333333333333334
175,"Buffalo, Nebraska",0.7466666666666666
176,"Buffalo, Wisconsin",1.6842500000000002
177,"Buncombe, North Carolina",0.39155279503105583
178,"Bureau, Illinois",5.2897428571428575
179,"Burke, North Carolina",0.09090909090909091
180,"Burke, North Dakota",2.2762499999999997
181,"Burleigh, North Dakota",0.7386666666666667
182,"Burleson, Texas",1.0
183,"Burlington, New Jersey",1.7514315789473682
184,"Burnet, Texas",5.945199999999999
185,"Burnett, Wisconsin",1.1684444444444444
186,"Burt, Nebraska",1.5999999999999999
187,"Butler, Iowa",0.1275
188,"Butler, Kansas",0.46666666666666656
189,"Butler, Missouri",0.32
190,"Butler, Nebraska",0.8799999999999999
191,"Butte, California",0.365
192,"Butte, South Dakota",0.0
193,"Cabarrus, North Carolina",2.0215
194,"Cabell, West Virginia",0.0
195,"Cache, Utah",1.5547619047619048
196,"Caddo parish, Louisiana",0.0
197,"Caddo, Louisiana",0.755
198,"Caddo, Oklahoma",0.7699285714285712
199,"Calcasieu, Louisiana",0.0
200,"Caldwell, Kentucky",0.7333333333333334
201,"Caldwell, Louisiana",1.33
202,"Caldwell, Missouri",0.1
203,"Caldwell, North Carolina",1.02
204,"Caldwell, Texas",1.0
205,"Caledonia, Vermont",0.4209090909090909
206,"Calhoun, Illinois",1.1057142857142856
207,"Calhoun, Iowa",0.9263157894736843
208,"Calhoun, South Carolina",1.242857142857143
209,"Calhoun, Texas",1.55
210,"Callahan, Texas",2.6666666666666665
211,"Callaway, Missouri",2.251968503937008
212,"Calloway, Kentucky",0.7
213,"Calumet, Wisconsin",1.5606818181818185
214,"Calvert, Maryland",0.1282051282051282
215,"Camden, Missouri",1.031147540983606
216,"Camden, New Jersey",2.542290388548058
217,"Camden, North Carolina",0.0
218,"Cameron, Texas",1.0
219,"Campbell, Kentucky",0.1
220,"Campbell, Virginia",1.95
221,"Campbell, Wyoming",4.161206896551722
222,"Canadian, Oklahoma",0.2927954545454545
223,"Canyon, Idaho",0.7494672897196263
224,"Cape girardeau, Missouri",3.921052631578947
225,"Cape may, New Jersey",1.4442268041237116
226,"Carbon, Montana",0.35
227,"Carbon, Wyoming",1.7750000000000001
228,"Caribou, Idaho",0.982857142857143
229,"Carlisle, Kentucky",1.6500000000000001
230,"Caroline, Maryland",0.18333333333333335
231,"Caroline, Virginia",1.1827586206896548
232,"Carroll, Illinois",3.588166666666667
233,"Carroll, Iowa",0.8690000000000001
234,"Carroll, Kentucky",0.45
235,"Carroll, Maryland",0.8880645161290324
236,"Carroll, Missouri",0.02
237,"Carroll, New Hampshire",0.2913178294573644
238,"Carroll, Virginia",3.896666666666667
239,"Carson city, Nevada",0.3832146507666099
240,"Carson, Texas",0.19230769230769232
241,"Carter, Missouri",0.10000000000000002
242,"Carter, Oklahoma",0.7555739130434782
243,"Carteret, North Carolina",0.027564102564102563
244,"Cascade, Montana",1.4485714285714286
245,"Casey, Kentucky",0.275
246,"Cass, Illinois",1.1066666666666667
247,"Cass, Indiana",0.7075
248,"Cass, Iowa",0.6
249,"Cass, Minnesota",0.6977777777777776
250,"Cass, Missouri",0.5
251,"Cass, Nebraska",0.6545454545454544
252,"Cass, North Dakota",0.9591636363636364
253,"Cass, Texas",0.3333333333333333
254,"Cassia, Idaho",0.605
255,"Castro, Texas",0.0
256,"Caswell, North Carolina",1.63
257,"Catahoula, Louisiana",1.58
258,"Catawba, North Carolina",0.9171428571428569
259,"Catron, New Mexico",0.31730769230769224
260,"Cattaraugus, New York",0.5399615384615385
261,"Cayuga, New York",0.23
262,"Cecil, Maryland",2.5188800000000002
263,"Cedar, Iowa",0.6900000000000001
264,"Cedar, Missouri",1.4935483870967743
265,"Cedar, Nebraska",1.95
266,"Cerro gordo, Iowa",2.1103571428571426
267,"Chambers, Texas",1.5
268,"Champaign, Illinois",0.9953589743589742
269,"Chariton, Missouri",0.2
270,"Charles mix, South Dakota",0.0
271,"Charles, Maryland",0.4168316831683167
272,"Charleston county, South Carolina",0.2
273,"Charleston, South Carolina",0.15
274,"Charlotte, Virginia",1.0250000000000001
275,"Chase, Kansas",0.96
276,"Chase, Nebraska",0.08
277,"Chatham, North Carolina",0.11578947368421054
278,"Chautauqua, Kansas",0.0
279,"Chautauqua, New York",1.014
280,"Chaves, New Mexico",0.24134782608695649
281,"Chelan, Washington",1.326
282,"Chemung, New York",0.9536842105263157
283,"Chenango, New York",0.45482888888888895
284,"Cherokee, Iowa",1.9428571428571426
285,"Cherokee, Kansas",2.8965517241379306
286,"Cherokee, North Carolina",1.1816666666666669
287,"Cherokee, Oklahoma",0.3925
288,"Cherokee, South Carolina",0.0
289,"Cherokee, Texas",1.0
290,"Cherry, Nebraska",0.30000000000000004
291,"Chesapeake city, Virginia",0.245
292,"Chesapeake, Virginia",0.66
293,"Cheshire, New Hampshire",0.3621428571428571
294,"Chester, South Carolina",0.0
295,"Chesterfield, South Carolina",2.648387096774193
296,"Chesterfield, Virginia",1.8333333333333333
297,"Cheyenne, Kansas",0.425
298,"Cheyenne, Nebraska",0.6583333333333333
299,"Chickasaw, Iowa",2.757142857142857
300,"Chilton, Alabama",2.1
301,"Chippewa, Wisconsin",1.42812
302,"Chittenden, Vermont",2.5675862068965527
303,"Choctaw, Oklahoma",3.600159420289855
304,"Chouteau, Montana",0.6799999999999999
305,"Chowan, North Carolina",0.0
306,"Christian, Illinois",0.8487500000000001
307,"Christian, Kentucky",0.0
308,"Christian, Missouri",0.2835820895522388
309,"Churchill, Nevada",0.11196183098591551
310,"Cibola, New Mexico",0.3068421052631579
311,"Cimarron, Oklahoma",0.019884615384615386
312,"Clackamas, Oregon",0.15102272727272728
313,"Claiborne, Louisiana",0.97
314,"Clarendon, South Carolina",0.15333333333333332
315,"Clark, Illinois",0.9605454545454546
316,"Clark, Kansas",0.7538461538461539
317,"Clark, Kentucky",0.2
318,"Clark, Nevada",0.35648315098468286
319,"Clark, Ohio",2.377058823529412
320,"Clark, South Dakota",0.0
321,"Clark, Washington",1.4825
322,"Clark, Wisconsin",1.2788148148148148
323,"Clarke, Alabama",0.05
324,"Clarke, Iowa",0.0
325,"Clarke, Virginia",1.8333333333333333
326,"Clatsop, Oregon",0.05714285714285715
327,"Clay, Illinois",3.3
328,"Clay, Indiana",2.3054166666666664
329,"Clay, Iowa",0.0
330,"Clay, Kansas",0.5457142857142857
331,"Clay, Missouri",0.21333333333333335
332,"Clay, Nebraska",1.5666666666666667
333,"Clay, North Carolina",0.20533333333333334
334,"Clay, South Dakota",0.0
335,"Clayton, Iowa",3.140655737704918
336,"Clearwater, Idaho",0.4441992857142857
337,"Cleveland, North Carolina",1.1157575757575757
338,"Cleveland, Oklahoma",0.5234668918918916
339,"Clinton, Illinois",0.8051363636363639
340,"Clinton, Iowa",2.998051948051949
341,"Clinton, Missouri",0.7
342,"Clinton, New York",0.6764285714285714
343,"Clinton, Ohio",0.0
344,"Cloud, Kansas",2.5527777777777776
345,"Coal, Oklahoma",0.7476666666666667
346,"Cochise, Arizona",0.029411764705882353
347,"Cochran, Texas",0.0
348,"Coconino, Arizona",1.0343283582089553
349,"Codington, South Dakota",0.0
350,"Coffee, Alabama",0.6
351,"Coffey, Kansas",0.0
352,"Coke, Texas",0.68
353,"Cole, Missouri",1.4296296296296296
354,"Coles, Illinois",0.8160000000000001
355,"Colfax, Nebraska",2.808695652173913
356,"Colfax, New Mexico",0.7246153846153847
357,"Colleton, South Carolina",0.142
358,"Collin, Texas",1.0
359,"Collingsworth, Texas",0.8333333333333334
360,"Colorado, Texas",2.471428571428571
361,"Columbia, New York",0.28956521739130436
362,"Columbia, Oregon",0.30766666666666664
363,"Columbia, Wisconsin",1.3651562499999998
364,"Columbiana, Ohio",4.75
365,"Columbus, North Carolina",0.19793814432989693
366,"Colusa, California",0.30666666666666664
367,"Comal, Texas",1.6437142857142855
368,"Comanche, Kansas",0.2818181818181818
369,"Comanche, Oklahoma",0.3859764705882352
370,"Comanche, Texas",0.5
371,"Concho, Texas",40.42745098039216
372,"Contra costa, California",0.724777777777778
373,"Converse, Wyoming",1.14
374,"Cook, Illinois",4.112890070921988
375,"Cooke, Texas",1.0
376,"Cooper, Missouri",0.9914285714285713
377,"Coos, New Hampshire",0.02456140350877193
378,"Coos, Oregon",0.3555555555555555
379,"Corson, South Dakota",0.0
380,"Cortland, New York",0.44173333333333337
381,"Coryell, Texas",1.0
382,"Cottle, Texas",0.3
383,"Cotton, Oklahoma",0.02144230769230769
384,"Cowley, Kansas",0.4916666666666667
385,"Cowlitz, Washington",1.3399999999999999
386,"Craig, Oklahoma",5.527862068965517
387,"Crane, Texas",0.0
388,"Craven, North Carolina",0.6222222222222223
389,"Crawford, Illinois",0.7031999999999998
390,"Crawford, Iowa",2.3
391,"Crawford, Kansas",3.4235294117647053
392,"Crawford, Missouri",0.30400000000000005
393,"Crawford, Wisconsin",0.79
394,"Creek, Oklahoma",1.2287560975609757
395,"Crenshaw, Alabama",0.03333333333333333
396,"Crook, Oregon",0.4444444444444444
397,"Crook, Wyoming",2.4333333333333336
398,"Crosby, Texas",0.03333333333333333
399,"Culberson, Texas",0.55
400,"Culpeper, Virginia",4.5446153846153825
401,"Cumberland, Illinois",0.6433333333333333
402,"Cumberland, Maine",0.866157142857143
403,"Cumberland, New Jersey",3.8438059701492557
404,"Cumberland, North Carolina",5.386458333333331
405,"Cumberland, Virginia",2.8176923076923073
406,"Cuming, Nebraska",1.0
407,"Currituck, North Carolina",0.0
408,"Curry, New Mexico",0.196767158516129
409,"Curry, Oregon",0.1111111111111111
410,"Custer, Idaho",0.26833333333333337
411,"Custer, Montana",0.0
412,"Custer, Nebraska",0.8347826086956521
413,"Custer, Oklahoma",0.5091034482758621
414,"Custer, South Dakota",0.0
415,"Cuyahoga, Ohio",2.0
416,"Dade, Missouri",0.72
417,"Daggett, Utah",1.5
418,"Dakota, Nebraska",3.7285714285714286
419,"Dale, Alabama",0.338
420,"Dallam, Texas",1.5333333333333334
421,"Dallas, Iowa",1.6553846153846155
422,"Dallas, Missouri",0.09
423,"Dallas, Texas",1.28
424,"Dane, Wisconsin",1.8238354430379746
