,county,selenium
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.036893203883495145
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",1.2939285714285713
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",12.97152173913043
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.29266055045871564
14,"Adams, Washington",4.142857142857143
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.0
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.8724137931034484
20,"Alamance, North Carolina",0.0
21,"Alameda, California",0.48012577833125786
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.02564102564102564
24,"Albemarle, Virginia",0.0
25,"Alcona, Michigan",0.0
26,"Aleutians east borough, Alaska",0.0
27,"Aleutians east, Alaska",1.06025
28,"Aleutians west census area, Alaska",1.93125
29,"Aleutians west, Alaska",0.2773333333333333
30,"Alexander, Illinois",0.8307692307692308
31,"Alexander, North Carolina",0.0
32,"Alfalfa, Oklahoma",0.39999999999999997
33,"Alger, Michigan",0.0
34,"Allamakee, Iowa",0.0
35,"Allegan, Michigan",0.3
36,"Allegany, Maryland",0.0
37,"Allegany, New York",0.09666666666666666
38,"Alleghany, North Carolina",0.0
39,"Alleghany, Virginia",0.0
40,"Allegheny county, Pennsylvania",0.0
41,"Allegheny, Pennsylvania",0.0
42,"Allen, Indiana",0.0
43,"Allen, Kansas",0.9166666666666665
44,"Allen, Kentucky",0.0
45,"Allen, Louisiana",0.0
46,"Allen, Ohio",0.30540540540540545
47,"Allendale, South Carolina",0.0
48,"Alpena, Michigan",0.2857142857142857
49,"Alpine, California",0.0
50,"Amador, California",0.0
51,"Amelia, Virginia",0.0
52,"American samoa, American Samoa",0.2012987012987013
53,"Amherst, Virginia",0.0
54,"Anchorage municipality, Alaska",0.0
55,"Anchorage, Alaska",0.08522047244094487
56,"Anderson, Kansas",1.1111111111111112
57,"Anderson, Kentucky",0.0
58,"Anderson, South Carolina",0.0
59,"Anderson, Tennessee",0.0
60,"Anderson, Texas",0.6914444444444445
61,"Andrew, Missouri",0.0
62,"Andrews, Texas",8.724285714285715
63,"Androscoggin, Maine",0.043859649122807015
64,"Angelina, Texas",1.8112749999999997
65,"Anne arundel, Maryland",0.0
66,"Anoka, Minnesota",0.06094736842105263
67,"Anson, North Carolina",0.0
68,"Antelope, Nebraska",4.944285714285714
69,"Antrim, Michigan",0.0
70,"Apache, Arizona",1.3838235294117647
71,"Appomattox, Virginia",0.0
72,"Aransas, Texas",3.2800000000000002
73,"Archer, Texas",1.5966666666666667
74,"Arenac, Michigan",0.0
75,"Arkansas, Arkansas",0.0
76,"Armstrong, Pennsylvania",0.0
77,"Armstrong, Texas",6.3500000000000005
78,"Aroostook, Maine",0.3134020618556701
79,"Arthur, Nebraska",0.0
80,"Ascension, Louisiana",0.0
81,"Ashe, North Carolina",0.0
82,"Ashland, Ohio",0.9722222222222222
83,"Ashland, Wisconsin",0.14242424242424243
84,"Ashley, Arkansas",0.0
85,"Ashtabula, Ohio",0.12307692307692308
86,"Asotin, Washington",0.17142857142857143
87,"Assumption, Louisiana",0.0
88,"Atascosa county, Texas",2.61
89,"Atascosa, Texas",0.30437931034482757
90,"Atchison, Kansas",2.9000000000000004
91,"Atchison, Missouri",0.0
92,"Athens, Ohio",1.0437500000000002
93,"Atlantic, New Jersey",0.29608414239482206
94,"Atoka, Oklahoma",0.0
95,"Audrain, Missouri",0.2857142857142857
96,"Auglaize, Ohio",0.0
97,"Augusta, Virginia",0.0
98,"Austin, Texas",0.30000000000000004
99,"Autauga, Alabama",0.0
100,"Avery, North Carolina",0.0
101,"Avoyelles, Louisiana",0.0
102,"B, Oklahoma",1.5714285714285714
103,"Bailey, Texas",17.316
104,"Baker county, Florida",0.6
105,"Baker, Florida",0.2888888888888889
106,"Baker, Oregon",0.42888888888888893
107,"Baldwin, Alabama",0.0
108,"Ballard, Kentucky",0.21052631578947367
109,"Baltimore, Maryland",0.014925373134328358
110,"Bamberg, South Carolina",0.0
111,"Bandera, Texas",0.1705925925925926
112,"Banner, Nebraska",0.0
113,"Bannock, Idaho",1.0263888888888888
114,"Baraga, Michigan",0.0625
115,"Barber, Kansas",5.578947368421052
116,"Barbour, Alabama",0.012758620689655172
117,"Barbour, West Virginia",0.0
118,"Barnes, North Dakota",2.045
119,"Barnstable, Massachusetts",0.0
120,"Barnwell, South Carolina",0.0
121,"Barren, Kentucky",0.0
122,"Barron, Wisconsin",0.4827272727272727
123,"Barry, Michigan",0.0
124,"Barry, Missouri",0.5771653543307086
125,"Bartholomew, Indiana",0.0
126,"Barton, Kansas",4.884375000000001
127,"Barton, Missouri",0.0
128,"Bastrop, Texas",0.9655172413793104
129,"Bates, Missouri",0.0
130,"Bath, Virginia",0.0
131,"Baxter, Arkansas",0.26046511627906976
132,"Bay, Florida",0.0
133,"Bay, Michigan",1.2727272727272727
134,"Bayfield, Wisconsin",0.0
135,"Baylor, Texas",7.8
136,"Beadle, South Dakota",0.0
137,"Bear lake, Idaho",0.29250000000000004
138,"Beaufort, North Carolina",0.0
139,"Beaufort, South Carolina",0.11170212765957446
140,"Beauregard, Louisiana",0.0
141,"Beaver, Oklahoma",2.53
142,"Beaver, Pennsylvania",0.0
143,"Beaver, Utah",2.902857142857142
144,"Beaverhead, Montana",0.7252631578947369
145,"Becker, Minnesota",0.0
146,"Beckham, Oklahoma",0.0
147,"Bedford county, Pennsylvania",1.1
148,"Bedford, Pennsylvania",0.12285714285714285
149,"Bedford, Tennessee",0.0
150,"Bedford, Virginia",0.0
151,"Bee, Texas",3.6139999999999994
152,"Belknap, New Hampshire",0.002066115702479339
153,"Bell, Kentucky",0.0
154,"Bell, Texas",1.0269230769230768
155,"Belmont, Ohio",0.0
156,"Beltrami county, Minnesota",0.0
157,"Beltrami, Minnesota",0.7892307692307693
158,"Benewah, Idaho",0.0
159,"Bennett, South Dakota",0.43333333333333335
160,"Bennington, Vermont",0.10606060606060606
161,"Benson, North Dakota",0.876
162,"Benton county, Arkansas",0.0
163,"Benton, Arkansas",0.0
164,"Benton, Indiana",0.0
165,"Benton, Iowa",0.6222222222222222
166,"Benton, Minnesota",0.0
167,"Benton, Missouri",0.0
168,"Benton, Oregon",0.07179487179487179
169,"Benton, Tennessee",0.0
170,"Benton, Washington",0.5090277777777777
171,"Benzie, Michigan",0.0
172,"Bergen, New Jersey",0.18571748878923763
173,"Berkeley, South Carolina",0.11692307692307692
174,"Berkeley, West Virginia",0.041025641025641026
175,"Berks county, Pennsylvania",0.0
176,"Berks, Pennsylvania",0.12075471698113208
177,"Berkshire, Massachusetts",0.0
178,"Bernalillo, New Mexico",7.472997785123968
179,"Berrien, Michigan",0.25
180,"Bertie, North Carolina",0.0
181,"Bethel census area, Alaska",0.0
182,"Bethel, Alaska",0.1789791666666667
183,"Bexar, Texas",0.6823299999999999
184,"Bibb, Alabama",0.0
185,"Bienville, Louisiana",0.0
186,"Big horn, Montana",0.16749999999999998
187,"Big horn, Wyoming",41.57692307692308
188,"Big stone, Minnesota",0.0
189,"Billings, North Dakota",1.6700000000000002
190,"Bingham, Idaho",0.07239130434782609
191,"Black hawk, Iowa",0.0
192,"Blackford, Indiana",0.0
193,"Bladen, North Carolina",0.0
194,"Blaine, Idaho",0.42181818181818187
195,"Blaine, Montana",0.9166666666666666
196,"Blaine, Nebraska",0.0
197,"Blaine, Oklahoma",0.0
198,"Blair, Pennsylvania",0.0
199,"Blanco, Texas",1.9818181818181815
200,"Bland, Virginia",0.0
201,"Bledsoe, Tennessee",0.0
202,"Blount, Alabama",0.035555555555555556
203,"Blount, Tennessee",0.0
204,"Blue earth, Minnesota",0.0
205,"Boise, Idaho",0.0
206,"Bollinger, Missouri",0.0
207,"Bon homme, South Dakota",1.5
208,"Bond, Illinois",0.0
209,"Bonner, Idaho",0.0
210,"Bonneville, Idaho",0.011764705882352941
211,"Boone, Arkansas",0.0
212,"Boone, Illinois",0.19045454545454543
213,"Boone, Indiana",0.0
214,"Boone, Kentucky",0.68125
215,"Boone, Missouri",0.01708860759493671
216,"Boone, Nebraska",73.404
217,"Boone, West Virginia",0.6972941176470587
218,"Bosque, Texas",0.18703703703703703
219,"Bossier, Louisiana",0.3614457831325301
220,"Botetourt, Virginia",0.0
221,"Bottineau, North Dakota",2.3242857142857143
222,"Boundary, Idaho",0.0
223,"Bourbon, Kansas",0.5083333333333334
224,"Bourbon, Kentucky",0.0
225,"Bowie, Texas",0.6818181818181819
226,"Bowman, North Dakota",2.3850000000000002
227,"Box butte, Nebraska",2.0890909090909093
228,"Box elder, Utah",1.8895454545454553
229,"Boyd, Kentucky",0.5
230,"Boyd, Nebraska",0.0
231,"Boyle, Kentucky",0.0
232,"Bracken, Kentucky",0.0
233,"Bradford, Florida",0.4566666666666666
234,"Bradford, Pennsylvania",0.13404255319148936
235,"Bradley, Arkansas",0.0
236,"Bradley, Tennessee",0.0
237,"Branch, Michigan",0.0
238,"Braxton, West Virginia",0.0
239,"Brazoria, Texas",1.3807493261455526
240,"Brazos, Texas",1.3428571428571427
241,"Breathitt, Kentucky",0.3
242,"Breckinridge, Kentucky",0.0
243,"Bremer, Iowa",0.0
244,"Brevard, Florida",2.012
245,"Brewster, Texas",3.128181818181818
246,"Briscoe, Texas",6.836666666666667
247,"Bristol bay, Alaska",0.491
248,"Bristol, Massachusetts",0.0
249,"Bristol, Rhode Island",0.027777777777777776
250,"Bristol, Virginia",0.0
251,"Broadwater, Montana",0.0
252,"Brooke, West Virginia",0.21785714285714283
253,"Brookings, South Dakota",2.0200000000000005
254,"Brooks, Texas",11.150000000000002
255,"Broome, New York",0.7075757575757576
256,"Broward county, Florida",0.275
257,"Broward, Florida",0.4284946236559139
258,"Brown, Illinois",1.45
259,"Brown, Indiana",0.0
260,"Brown, Kansas",2.8700000000000006
261,"Brown, Minnesota",0.0
262,"Brown, Nebraska",0.0
263,"Brown, Ohio",0.0
264,"Brown, South Dakota",3.3444444444444446
265,"Brown, Texas",4.119999999999999
266,"Brown, Wisconsin",0.8721917808219176
267,"Brule, South Dakota",2.0
268,"Brunswick, North Carolina",0.0
269,"Brunswick, Virginia",0.0
270,"Bryan, Oklahoma",0.0
271,"Buchanan, Iowa",1.65
272,"Buchanan, Virginia",0.0
273,"Buckingham, Virginia",0.0
274,"Bucks county, Pennsylvania",2.0999999999999996
275,"Bucks, Pennsylvania",0.5387341772151899
276,"Buena vista, Iowa",0.0
277,"Buena vista, Virginia",0.0
278,"Buffalo, Nebraska",2.057758620689655
279,"Buffalo, Wisconsin",0.09032258064516129
280,"Bullock, Alabama",0.0
281,"Buncombe, North Carolina",66.66666666666667
282,"Bureau, Illinois",0.6642857142857144
283,"Burke, North Carolina",0.0
284,"Burke, North Dakota",9.841999999999999
285,"Burleigh, North Dakota",0.0
286,"Burleson, Texas",2.8545454545454545
287,"Burlington, New Jersey",0.21502463054187185
288,"Burnet, Texas",1.0508196721311476
289,"Burnett, Wisconsin",0.0
290,"Burt, Nebraska",0.901
291,"Butler county, Pennsylvania",0.0
292,"Butler, Alabama",0.0
293,"Butler, Iowa",1.15
294,"Butler, Kansas",1.6227272727272728
295,"Butler, Kentucky",0.0
296,"Butler, Missouri",0.0
297,"Butler, Nebraska",35.76511627906977
298,"Butler, Ohio",0.12439024390243904
299,"Butler, Pennsylvania",0.5625
300,"Butte, California",0.17775378787878787
301,"Butte, Idaho",1.0
302,"Butte, South Dakota",1.811111111111111
303,"Cabarrus, North Carolina",0.07874015748031496
304,"Cabell, West Virginia",0.15
305,"Cache, Utah",2.4971544715447136
306,"Caddo parish, Louisiana",0.0
307,"Caddo, Louisiana",0.03007518796992481
308,"Caddo, Oklahoma",1.34
309,"Calaveras, California",0.13647798742138365
310,"Calcasieu, Louisiana",0.0
311,"Caldwell, Kentucky",0.0
312,"Caldwell, Louisiana",0.0
313,"Caldwell, Missouri",0.0
314,"Caldwell, North Carolina",0.0
315,"Caldwell, Texas",0.0
316,"Caledonia, Vermont",0.0
317,"Calhoun, Alabama",0.0
318,"Calhoun, Arkansas",0.0
319,"Calhoun, Florida",1.738888888888889
320,"Calhoun, Illinois",0.0
321,"Calhoun, Iowa",0.0
322,"Calhoun, Michigan",0.2857142857142857
323,"Calhoun, South Carolina",0.3
324,"Calhoun, Texas",1.4842105263157894
325,"Calhoun, West Virginia",0.14545454545454548
326,"Callahan, Texas",2.625
327,"Callaway, Missouri",0.0
328,"Calloway, Kentucky",0.0
329,"Calumet, Wisconsin",0.0805263157894737
330,"Calvert, Maryland",0.028494623655913976
331,"Cambria county, Pennsylvania",0.0
332,"Cambria, Pennsylvania",0.0
333,"Camden, Missouri",0.0
334,"Camden, New Jersey",0.32131979695431473
335,"Camden, North Carolina",2.5
336,"Cameron, Louisiana",0.0
337,"Cameron, Pennsylvania",0.0
338,"Cameron, Texas",1.7710769230769234
339,"Camp, Texas",0.927962962962963
340,"Campbell, Kentucky",0.0
341,"Campbell, Tennessee",0.12
342,"Campbell, Virginia",0.0
343,"Campbell, Wyoming",0.1308411214953271
344,"Canadian, Oklahoma",3.9779166666666668
345,"Cannon, Tennessee",0.0
346,"Canyon, Idaho",0.013124999999999998
347,"Cape girardeau, Missouri",0.08390243902439025
348,"Cape may, New Jersey",0.5880864197530864
349,"Carbon county, Pennsylvania",0.0
350,"Carbon, Montana",0.3157894736842105
351,"Carbon, Pennsylvania",0.45499999999999996
352,"Carbon, Utah",0.8466666666666668
353,"Carbon, Wyoming",1.3636363636363635
354,"Caribou, Idaho",18.236666666666665
355,"Carlisle, Kentucky",0.0
356,"Carlton, Minnesota",0.0064516129032258064
357,"Caroline, Maryland",0.0
358,"Caroline, Virginia",0.0
359,"Carroll, Arkansas",0.0
360,"Carroll, Illinois",0.05289473684210527
361,"Carroll, Indiana",0.0
362,"Carroll, Iowa",2.0
363,"Carroll, Kentucky",0.0
364,"Carroll, Maryland",0.18
365,"Carroll, Missouri",2.44375
366,"Carroll, New Hampshire",0.008333333333333333
367,"Carroll, Ohio",0.31190476190476196
368,"Carroll, Tennessee",0.0
369,"Carroll, Virginia",0.0
370,"Carson city, Nevada",0.0
371,"Carson, Texas",1.3875
372,"Carter, Kentucky",0.0
373,"Carter, Missouri",0.0
374,"Carter, Montana",0.0
375,"Carter, Oklahoma",0.4596153846153846
376,"Carter, Tennessee",0.0
377,"Carteret, North Carolina",0.0
378,"Carver, Minnesota",0.0
379,"Cascade, Montana",0.8769230769230769
380,"Casey, Kentucky",0.0
381,"Cass, Illinois",0.13333333333333333
382,"Cass, Indiana",0.0
383,"Cass, Iowa",0.8
384,"Cass, Michigan",0.10526315789473684
385,"Cass, Minnesota",0.0
386,"Cass, Missouri",0.0
387,"Cass, Nebraska",2.095405405405405
388,"Cass, North Dakota",3.417333333333333
389,"Cass, Texas",0.6987142857142857
390,"Cassia, Idaho",0.46235294117647063
391,"Castro, Texas",3.811111111111111
392,"Caswell, North Carolina",0.0
393,"Catahoula, Louisiana",0.0
394,"Catawba, North Carolina",0.0
395,"Catron, New Mexico",0.9554285714285714
396,"Cattaraugus, New York",0.05039370078740158
397,"Cavalier, North Dakota",2.6
398,"Cayuga county, New York",0.0
399,"Cayuga, New York",0.27887323943661974
400,"Cecil, Maryland",0.4563106796116505
401,"Cedar, Iowa",3.3333333333333335
402,"Cedar, Missouri",0.0
403,"Cedar, Nebraska",35.89833333333335
404,"Centre county, Pennsylvania",0.0
405,"Centre, Pennsylvania",0.0
406,"Cerro gordo, Iowa",0.0
407,"Chambers, Alabama",0.0
408,"Chambers, Texas",0.7000000000000001
409,"Champaign, Illinois",0.0
410,"Champaign, Ohio",0.24186046511627907
411,"Chariton, Missouri",0.0
412,"Charles city, Virginia",0.0
413,"Charles mix, South Dakota",1.3666666666666665
414,"Charles, Maryland",0.0
415,"Charleston county, South Carolina",0.0
416,"Charleston, South Carolina",0.04918032786885246
417,"Charlevoix, Michigan",0.0
418,"Charlotte, Florida",0.5272727272727272
419,"Charlotte, Virginia",0.0
420,"Chase, Kansas",3.227272727272727
421,"Chase, Nebraska",0.0
422,"Chatham, North Carolina",1.1
423,"Chautauqua, Kansas",1.0818181818181818
424,"Chautauqua, New York",0.07521367521367522
425,"Chaves, New Mexico",3.3693285714285715
