,county,toxaphene
475,"Colusa, California",0.0
476,"Comal, Texas",0.0
477,"Comanche, Texas",0.0
478,"Concho, Texas",0.0
479,"Concordia, Louisiana",0.0
480,"Conecuh, Alabama",0.0
481,"Contra costa, California",0.007960199004975126
482,"Converse, Wyoming",0.0
483,"Conway, Arkansas",0.0
484,"Cook, Illinois",0.0
485,"Cook, Minnesota",0.0
486,"Cooke, Texas",0.0
487,"Cooper, Missouri",0.0
488,"Coos, New Hampshire",0.0
489,"Coos, Oregon",0.0
490,"Coosa, Alabama",0.0
491,"Corson, South Dakota",0.0
492,"Cortland, New York",0.0
493,"Coryell, Texas",0.0
494,"Cottle, Texas",0.0
495,"Cotton, Oklahoma",0.0
496,"Cottonwood, Minnesota",0.0
497,"Covington, Alabama",0.0
498,"Covington, Virginia",0.0
499,"Cowley, Kansas",0.0
500,"Cowlitz, Washington",0.0
501,"Craig, Oklahoma",0.0
502,"Craighead, Arkansas",0.0
503,"Crane, Texas",0.0
504,"Craven, North Carolina",0.0
505,"Crawford county, Pennsylvania",0.0
506,"Crawford, Arkansas",0.0
507,"Crawford, Illinois",0.0
508,"Crawford, Indiana",0.0
509,"Crawford, Kansas",0.0
510,"Crawford, Michigan",0.0
511,"Crawford, Missouri",0.0
512,"Crawford, Pennsylvania",0.0
513,"Crawford, Wisconsin",0.0
514,"Creek, Oklahoma",0.0
515,"Crenshaw, Alabama",0.0
516,"Crittenden, Arkansas",0.0
517,"Crittenden, Kentucky",0.0
518,"Crockett, Texas",0.0
519,"Crook, Oregon",0.0
520,"Crook, Wyoming",0.0
521,"Crosby, Texas",0.0
522,"Cross, Arkansas",0.0
523,"Crow wing, Minnesota",0.0
524,"Culberson, Texas",0.0
525,"Cullman, Alabama",0.0
526,"Culpeper, Virginia",0.0
527,"Cumberland county, Pennsylvania",0.0
528,"Cumberland, Illinois",0.0
529,"Cumberland, Kentucky",0.0
530,"Cumberland, Maine",0.0
531,"Cumberland, North Carolina",0.0
532,"Cumberland, Pennsylvania",0.0
533,"Cumberland, Virginia",0.0
534,"Cuming, Nebraska",0.0
535,"Currituck, North Carolina",0.002777777777777778
536,"Curry, New Mexico",0.0
537,"Curry, Oregon",0.0
538,"Custer, Idaho",0.0
539,"Custer, Montana",0.0
540,"Custer, Nebraska",0.0
541,"Custer, South Dakota",0.0
542,"Dade, Florida",0.0
543,"Dade, Missouri",0.0
544,"Daggett, Utah",0.0
545,"Dakota, Minnesota",0.0
546,"Dakota, Nebraska",0.0
547,"Dale, Alabama",0.0
548,"Dallam, Texas",0.0
549,"Dallas, Alabama",0.0
550,"Dallas, Arkansas",0.0
551,"Dallas, Missouri",0.0
552,"Dallas, Texas",0.0
553,"Dane, Wisconsin",0.0
554,"Daniels, Montana",0.0
555,"Danville, Virginia",0.0
556,"Dare, North Carolina",0.0
557,"Darlington, South Carolina",0.0
558,"Dauphin county, Pennsylvania",0.0
559,"Dauphin, Pennsylvania",0.0
560,"Davidson, North Carolina",0.0
561,"Davie, North Carolina",0.0
562,"Daviess, Indiana",0.0
563,"Daviess, Kentucky",0.0
564,"Daviess, Missouri",0.0
565,"Davis, Utah",0.0
566,"Dawes, Nebraska",0.0
567,"Dawson, Montana",0.0
568,"Dawson, Nebraska",0.0
569,"Dawson, Texas",0.0
570,"Day, South Dakota",0.0
571,"De baca, New Mexico",0.0
572,"De kalb, Indiana",0.0
573,"De kalb, Missouri",0.0
574,"De soto, Florida",0.0
575,"De soto, Louisiana",0.0
576,"De witt, Illinois",0.0
577,"Deaf smith, Texas",0.0
578,"Dearborn, Indiana",0.0
579,"Decatur, Indiana",0.0
580,"Deer lodge, Montana",0.0
581,"Defiance, Ohio",0.0
582,"Dekalb, Alabama",0.0
583,"Dekalb, Illinois",0.0
584,"Dekalb, Indiana",0.0
585,"Dekalb, Missouri",0.0
586,"Del norte, California",0.0
587,"Delaware, Indiana",0.0
588,"Delaware, New York",0.0
589,"Delaware, Pennsylvania",0.0
590,"Delta, Michigan",0.0
591,"Delta, Texas",0.0
592,"Dent, Missouri",0.0
593,"Denton, Texas",0.0
594,"Deschutes, Oregon",0.0
595,"Desha, Arkansas",0.0
596,"Desoto, Florida",0.0
597,"Deuel, Nebraska",0.0
598,"Dewey, South Dakota",0.0
599,"Dewitt, Texas",0.0
600,"Dickens, Texas",0.0
601,"Dickey, North Dakota",0.0
602,"Dickinson, Iowa",0.0
603,"Dickinson, Kansas",0.0
604,"Dickinson, Michigan",0.0
605,"Dillon, South Carolina",0.0
606,"Dimmit, Texas",0.0
607,"Dinwiddie, Virginia",0.0
608,"District of columbia, District of Columbia",0.0
609,"Dixie, Florida",0.0
610,"Dixon, Nebraska",0.0
611,"Doddridge, West Virginia",0.0
612,"Dodge, Minnesota",0.0
613,"Dodge, Nebraska",0.0
614,"Dodge, Wisconsin",0.0
615,"Dona ana, New Mexico",0.029885057471264367
616,"Donley, Texas",0.0
617,"Door, Wisconsin",0.0
618,"Dorchester, South Carolina",0.0
619,"Douglas, Illinois",0.0
620,"Douglas, Kansas",0.0
621,"Douglas, Minnesota",0.0
622,"Douglas, Missouri",0.0
623,"Douglas, Nebraska",0.0
624,"Douglas, Nevada",0.0
625,"Douglas, Oregon",0.0
626,"Douglas, Washington",0.0
627,"Douglas, Wisconsin",0.0
628,"Drew, Arkansas",0.0
629,"Du page, Illinois",0.0
630,"Dubois, Indiana",0.0
631,"Duchesne, Utah",0.0
632,"Dukes, Massachusetts",0.0
633,"Dundy, Nebraska",0.0
634,"Dunklin, Missouri",0.0
635,"Dunn, North Dakota",0.0
636,"Dunn, Wisconsin",0.0
637,"Dupage, Illinois",0.0
638,"Duplin, North Carolina",0.0
639,"Durham, North Carolina",22.956521739130434
640,"Dutchess, New York",0.0
641,"Duval county, Florida",0.0
642,"Duval, Florida",0.0
643,"Duval, Texas",0.0
644,"East baton rouge parish, Louisiana",0.0
645,"East baton rouge, Louisiana",0.0
646,"East carroll, Louisiana",0.0
647,"East feliciana, Louisiana",0.0
648,"Eastland, Texas",0.0
649,"Eaton, Michigan",0.0
650,"Eau claire, Wisconsin",0.0
651,"Ector, Texas",0.0
652,"Eddy, New Mexico",0.0
653,"Eddy, North Dakota",0.0
654,"Edgar, Illinois",0.0
655,"Edgecombe, North Carolina",0.0
656,"Edmonson, Kentucky",0.0
657,"Edwards, Illinois",0.0
658,"Edwards, Texas",0.0
659,"Effingham, Illinois",0.0
660,"El dorado, California",0.0
661,"El paso, Texas",0.0
662,"Elk, Kansas",0.0
663,"Elk, Pennsylvania",0.0
664,"Elkhart, Indiana",0.0
665,"Elko, Nevada",0.0
666,"Elliott, Kentucky",0.0
667,"Ellis, Texas",0.0
668,"Ellsworth, Kansas",0.0
669,"Elmore, Alabama",0.0
670,"Elmore, Idaho",0.0
671,"Emery, Utah",0.0
672,"Emmet, Michigan",0.0
673,"Emmons, North Dakota",0.0
674,"Erath, Texas",0.0
675,"Erie county, Pennsylvania",0.0
676,"Erie, New York",0.0
677,"Erie, Pennsylvania",0.02830188679245283
678,"Escambia, Alabama",0.0
679,"Escambia, Florida",0.0
680,"Esmeralda, Nevada",0.0
681,"Essex county, New York",0.0
682,"Essex, Massachusetts",0.0
683,"Essex, New York",0.0
684,"Essex, Vermont",0.0
685,"Estill, Kentucky",0.0
686,"Etowah, Alabama",0.0
687,"Eureka county, Nevada",0.0
688,"Eureka, Nevada",0.0
689,"Evangeline parish, Louisiana",0.0
690,"Evangeline, Louisiana",0.0
691,"Fairbanks north star, Alaska",0.0
692,"Fairfax, Virginia",0.0
693,"Fairfield, Connecticut",0.0
694,"Fairfield, South Carolina",0.0
695,"Fall river, South Dakota",0.0
696,"Fallon, Montana",0.0
697,"Falls, Texas",0.0
698,"Fannin, Texas",0.0
699,"Faulk, South Dakota",0.0
700,"Fauquier, Virginia",0.0
701,"Fayette, Alabama",0.0
702,"Fayette, Illinois",0.0
703,"Fayette, Indiana",0.0
704,"Fayette, Kentucky",0.0
705,"Fayette, Pennsylvania",0.0
706,"Fayette, Texas",0.0
707,"Fayette, West Virginia",0.0
708,"Fergus, Montana",0.0
709,"Ferry, Washington",0.0
710,"Fillmore, Minnesota",0.0
711,"Fillmore, Nebraska",0.0
712,"Finney, Kansas",0.0
713,"Fisher, Texas",0.0
714,"Flagler, Florida",0.0
715,"Flathead, Montana",0.0
716,"Fleming, Kentucky",0.0
717,"Florence, South Carolina",0.0
718,"Florence, Wisconsin",0.0
719,"Floyd, Indiana",0.0
720,"Floyd, Kentucky",0.0
721,"Floyd, Texas",0.0
722,"Fluvanna, Virginia",0.0
723,"Fond du lac, Wisconsin",0.0
724,"Ford, Illinois",0.0
725,"Forest, Pennsylvania",0.0
726,"Forest, Wisconsin",0.0
727,"Forsyth, North Carolina",0.0
728,"Fort bend county, Texas",0.0
729,"Fort bend, Texas",0.0
730,"Foster, North Dakota",0.0
731,"Fountain, Indiana",0.0
732,"Franklin county, Missouri",0.0
733,"Franklin county, New York",0.0
734,"Franklin county, Pennsylvania",0.0
735,"Franklin, Alabama",0.0
736,"Franklin, Arkansas",0.0
737,"Franklin, Florida",0.0
738,"Franklin, Idaho",0.0
739,"Franklin, Illinois",0.0
740,"Franklin, Indiana",0.0
741,"Franklin, Kansas",0.0
742,"Franklin, Kentucky",0.0
743,"Franklin, Louisiana",0.0
744,"Franklin, Maine",0.0
745,"Franklin, Massachusetts",0.0
746,"Franklin, Missouri",0.0
747,"Franklin, Nebraska",0.0
748,"Franklin, New York",0.0
749,"Franklin, North Carolina",0.0
750,"Franklin, Pennsylvania",0.0
751,"Franklin, Texas",0.0
752,"Franklin, Vermont",0.0
753,"Franklin, Virginia",0.0
754,"Franklin, Washington",0.0
755,"Frederick, Maryland",0.031
756,"Frederick, Virginia",0.0
757,"Freeborn, Minnesota",0.0
758,"Freestone, Texas",0.0
759,"Fremont, Idaho",0.0
760,"Fremont, Wyoming",0.0
761,"Fresno, California",0.0
762,"Frio, Texas",0.0
763,"Frontier, Nebraska",0.0
764,"Fulton, Arkansas",0.0
765,"Fulton, Illinois",0.0
766,"Fulton, Indiana",0.0
767,"Fulton, Kentucky",0.0
768,"Fulton, New York",0.0
769,"Fulton, Pennsylvania",0.0
770,"Furnas, Nebraska",0.0
771,"Gadsden, Florida",0.0
772,"Gage, Nebraska",0.0
773,"Gaines, Texas",0.0
774,"Galax, Virginia",0.0
775,"Gallatin, Illinois",0.0
776,"Gallatin, Kentucky",0.0
777,"Gallatin, Montana",0.0
778,"Galveston, Texas",0.0
779,"Garden, Nebraska",0.0
780,"Garfield, Montana",0.0
781,"Garfield, Nebraska",0.0
782,"Garfield, Utah",0.0
783,"Garfield, Washington",0.0
784,"Garland, Arkansas",0.0
785,"Garrard, Kentucky",0.0
786,"Garza, Texas",0.0
787,"Gasconade, Missouri",0.0
788,"Gaston, North Carolina",0.0
789,"Gates, North Carolina",0.0
790,"Geary, Kansas",0.0
791,"Geauga, Ohio",0.0
792,"Gem, Idaho",0.0
793,"Genesee, Michigan",0.0
794,"Genesee, New York",0.0
795,"Geneva, Alabama",0.0
796,"Gentry, Missouri",0.0
797,"Georgetown, South Carolina",0.0
798,"Gibson, Indiana",0.0
799,"Gila, Arizona",0.0
800,"Gilchrist, Florida",0.0
801,"Giles, Tennessee",0.0
802,"Giles, Virginia",0.0
