,county,chromium
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",1.5073170731707317
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.3125
9,"Adams, Illinois",0.4714285714285714
10,"Adams, Indiana",0.46153846153846156
11,"Adams, Nebraska",6.489565217391305
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.7394495412844037
14,"Adams, Washington",0.7371794871794871
15,"Adams, Wisconsin",0.3142857142857143
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.0
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.3894736842105263
20,"Alamance, North Carolina",0.0
21,"Alameda, California",2.269204444444445
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.10256410256410256
24,"Albemarle, Virginia",0.06372549019607843
25,"Alcona, Michigan",0.0
26,"Aleutians east borough, Alaska",1.35
27,"Aleutians east, Alaska",0.64325
28,"Aleutians west census area, Alaska",1.1135000000000002
29,"Aleutians west, Alaska",0.3063333333333333
30,"Alexander, Illinois",0.0
31,"Alexander, North Carolina",0.0
32,"Alfalfa, Oklahoma",0.0
33,"Alger, Michigan",0.0
34,"Allamakee, Iowa",2.0
35,"Allegan, Michigan",0.0
36,"Allegany, Maryland",1.3333333333333333
37,"Allegany, New York",0.4111111111111112
38,"Alleghany, North Carolina",0.0
39,"Alleghany, Virginia",0.0
40,"Allegheny county, Pennsylvania",0.0
41,"Allegheny, Pennsylvania",0.16842105263157894
42,"Allen, Indiana",0.40425531914893614
43,"Allen, Kansas",1.6500000000000001
44,"Allen, Kentucky",0.0
45,"Allen, Louisiana",0.0
46,"Allen, Ohio",0.5263157894736842
47,"Allendale, South Carolina",0.0
48,"Alpena, Michigan",0.0
49,"Alpine, California",1.44375
50,"Amador, California",0.1958904109589041
51,"Amelia, Virginia",0.0
52,"American samoa, American Samoa",2.15064935064935
53,"Amherst, Virginia",0.0
54,"Anchorage municipality, Alaska",2.35
55,"Anchorage, Alaska",0.5451259842519686
56,"Anderson, Kansas",2.1666666666666665
57,"Anderson, Kentucky",0.0
58,"Anderson, South Carolina",0.0
59,"Anderson, Tennessee",0.0
60,"Anderson, Texas",2.3942444444444444
61,"Andrew, Missouri",1.2049999999999998
62,"Andrews, Texas",0.3185714285714286
63,"Androscoggin, Maine",1.0836283185840712
64,"Angelina, Texas",1.438025
65,"Anne arundel, Maryland",0.29915966386554615
66,"Anoka, Minnesota",0.0
67,"Anson, North Carolina",0.0
68,"Antelope, Nebraska",5.983571428571429
69,"Antrim, Michigan",0.0
70,"Apache, Arizona",0.7030769230769232
71,"Appomattox, Virginia",0.0
72,"Aransas, Texas",1.038
73,"Archer, Texas",0.39333333333333337
74,"Arenac, Michigan",0.0
75,"Arkansas, Arkansas",0.0
76,"Armstrong, Pennsylvania",0.0
77,"Armstrong, Texas",3.236666666666667
78,"Aroostook, Maine",2.682343749999999
79,"Arthur, Nebraska",0.925
80,"Ascension, Louisiana",0.0
81,"Ashe, North Carolina",0.0
82,"Ashland, Ohio",0.0
83,"Ashland, Wisconsin",0.6018181818181819
84,"Ashley, Arkansas",0.5833333333333334
85,"Ashtabula, Ohio",0.8076923076923077
86,"Asotin, Washington",0.0
87,"Assumption, Louisiana",0.0
88,"Atascosa county, Texas",4.283333333333333
89,"Atascosa, Texas",0.789655172413793
90,"Atchison, Kansas",1.6333333333333333
91,"Atchison, Missouri",2.2466666666666666
92,"Athens, Ohio",0.0
93,"Atlantic, New Jersey",0.5028155339805825
94,"Atoka, Oklahoma",0.0
95,"Audrain, Missouri",0.7264285714285713
96,"Auglaize, Ohio",0.0
97,"Augusta, Virginia",0.025974025974025976
98,"Austin, Texas",0.0
99,"Autauga, Alabama",0.0
100,"Avery, North Carolina",0.0
101,"Avoyelles, Louisiana",0.0
102,"B, Oklahoma",0.0
103,"Bailey, Texas",1.61
104,"Baker county, Florida",2.8
105,"Baker, Florida",0.8678571428571428
106,"Baker, Oregon",0.8833333333333333
107,"Baldwin, Alabama",0.0051960784313725495
108,"Ballard, Kentucky",0.42105263157894735
109,"Baltimore, Maryland",2.0154228855721392
110,"Bamberg, South Carolina",0.4782608695652174
111,"Bandera, Texas",2.4876296296296294
112,"Banner, Nebraska",1.24
113,"Bannock, Idaho",1.3283333333333334
114,"Baraga, Michigan",0.0
115,"Barber, Kansas",3.0421052631578944
116,"Barbour, Alabama",0.0
117,"Barbour, West Virginia",0.0
118,"Barnes, North Dakota",0.865
119,"Barnstable, Massachusetts",0.007692307692307692
120,"Barnwell, South Carolina",0.0
121,"Barren, Kentucky",0.0
122,"Barron, Wisconsin",0.5468831168831169
123,"Barry, Michigan",0.0
124,"Barry, Missouri",0.9982170542635656
125,"Bartholomew, Indiana",0.0
126,"Barton, Kansas",2.775
127,"Barton, Missouri",0.49714285714285705
128,"Bastrop, Texas",0.0
129,"Bates, Missouri",0.18916666666666668
130,"Bath, Virginia",0.0
131,"Baxter, Arkansas",0.08372093023255814
132,"Bay, Florida",0.28863636363636364
133,"Bay, Michigan",0.0
134,"Bayfield, Wisconsin",1.2006896551724138
135,"Baylor, Texas",1.9833333333333334
136,"Beadle, South Dakota",0.2
137,"Bear lake, Idaho",0.5879166666666668
138,"Beaufort, North Carolina",0.0
139,"Beaufort, South Carolina",0.0
140,"Beauregard, Louisiana",0.0
141,"Beaver, Oklahoma",1.1700000000000002
142,"Beaver, Pennsylvania",0.13333333333333333
143,"Beaver, Utah",2.4352941176470586
144,"Beaverhead, Montana",0.21052631578947367
145,"Becker, Minnesota",0.0
146,"Beckham, Oklahoma",0.0
147,"Bedford county, Pennsylvania",0.0
148,"Bedford, Pennsylvania",0.07714285714285715
149,"Bedford, Tennessee",0.0
150,"Bedford, Virginia",0.049999999999999996
151,"Bee, Texas",2.0266666666666664
152,"Belknap, New Hampshire",0.0603305785123967
153,"Bell, Kentucky",0.11764705882352941
154,"Bell, Texas",0.0
155,"Belmont, Ohio",0.0
156,"Beltrami county, Minnesota",0.7000000000000001
157,"Beltrami, Minnesota",0.0
158,"Benewah, Idaho",0.0
159,"Bennett, South Dakota",1.0166666666666668
160,"Bennington, Vermont",0.16865671641791047
161,"Benson, North Dakota",0.618
162,"Benton county, Arkansas",0.0
163,"Benton, Arkansas",0.05161290322580645
164,"Benton, Indiana",0.125
165,"Benton, Iowa",0.0
166,"Benton, Minnesota",0.0
167,"Benton, Missouri",1.5476595744680848
168,"Benton, Oregon",0.05897435897435897
169,"Benton, Tennessee",0.0
170,"Benton, Washington",0.26805555555555555
171,"Benzie, Michigan",0.0
172,"Bergen, New Jersey",1.965874439461883
173,"Berkeley, South Carolina",0.49230769230769234
174,"Berkeley, West Virginia",1.2334615384615388
175,"Berks county, Pennsylvania",0.0
176,"Berks, Pennsylvania",0.6472049689440994
177,"Berkshire, Massachusetts",0.30660377358490565
178,"Bernalillo, New Mexico",1.331661623931624
179,"Berrien, Michigan",1.1363636363636365
180,"Bertie, North Carolina",0.0
181,"Bethel census area, Alaska",0.6014999999999999
182,"Bethel, Alaska",1.1654166666666665
183,"Bexar, Texas",1.9559310344827578
184,"Bibb, Alabama",0.0
185,"Bienville, Louisiana",0.22388059701492538
186,"Big horn, Montana",0.08785714285714286
187,"Big horn, Wyoming",0.0
188,"Big stone, Minnesota",0.0
189,"Billings, North Dakota",0.0
190,"Bingham, Idaho",1.0844444444444443
191,"Black hawk, Iowa",0.0
192,"Blackford, Indiana",3.0
193,"Bladen, North Carolina",0.0
194,"Blaine, Idaho",0.11136363636363637
195,"Blaine, Montana",0.08333333333333333
196,"Blaine, Nebraska",0.0
197,"Blaine, Oklahoma",0.0
198,"Blair, Pennsylvania",0.13846153846153847
199,"Blanco, Texas",0.0
200,"Bland, Virginia",0.0
201,"Bledsoe, Tennessee",0.0
202,"Blount, Alabama",0.37694444444444447
203,"Blount, Tennessee",1.25
204,"Blue earth, Minnesota",0.0
205,"Boise, Idaho",1.696969696969697
206,"Bollinger, Missouri",1.213684210526316
207,"Bon homme, South Dakota",4.5
208,"Bond, Illinois",0.0
209,"Bonner, Idaho",0.16393442622950818
210,"Bonneville, Idaho",0.1628235294117647
211,"Boone, Arkansas",0.0
212,"Boone, Illinois",0.0
213,"Boone, Indiana",0.09090909090909091
214,"Boone, Kentucky",0.8
215,"Boone, Missouri",1.1562025316455695
216,"Boone, Nebraska",7.163529411764706
217,"Boone, West Virginia",0.4590588235294118
218,"Bosque, Texas",0.0
219,"Bossier, Louisiana",0.0
220,"Botetourt, Virginia",1.0487179487179488
221,"Bottineau, North Dakota",1.5114285714285713
222,"Boundary, Idaho",0.0
223,"Bourbon, Kansas",1.6583333333333332
224,"Bourbon, Kentucky",0.8333333333333334
225,"Bowie, Texas",0.7600000000000001
226,"Bowman, North Dakota",0.625
227,"Box butte, Nebraska",6.487727272727273
228,"Box elder, Utah",1.9013215859030803
229,"Boyd, Kentucky",0.0
230,"Boyd, Nebraska",2.4
231,"Boyle, Kentucky",0.0
232,"Bracken, Kentucky",0.5
233,"Bradford, Florida",0.3466666666666666
234,"Bradford, Pennsylvania",0.22244897959183674
235,"Bradley, Arkansas",0.0
236,"Bradley, Tennessee",0.0
237,"Branch, Michigan",0.0
238,"Braxton, West Virginia",0.06521739130434782
239,"Brazoria, Texas",0.004609164420485175
240,"Brazos, Texas",0.0
241,"Breathitt, Kentucky",0.3
242,"Breckinridge, Kentucky",0.4
243,"Bremer, Iowa",0.0
244,"Brevard, Florida",6.024000000000003
245,"Brewster, Texas",0.43000000000000005
246,"Briscoe, Texas",0.8122222222222222
247,"Bristol bay, Alaska",0.2275
248,"Bristol, Massachusetts",0.09862068965517241
249,"Bristol, Rhode Island",0.3888888888888889
250,"Bristol, Virginia",0.0
251,"Broadwater, Montana",0.0
252,"Brooke, West Virginia",0.28928571428571426
253,"Brookings, South Dakota",2.3999999999999995
254,"Brooks, Texas",2.2875
255,"Broome, New York",0.4479797979797979
256,"Broward county, Florida",0.0
257,"Broward, Florida",0.30053763440860215
258,"Brown, Illinois",0.0
259,"Brown, Indiana",1.5666666666666667
260,"Brown, Kansas",2.25
261,"Brown, Minnesota",0.0
262,"Brown, Nebraska",3.068
263,"Brown, Ohio",0.0
264,"Brown, South Dakota",5.033333333333334
265,"Brown, Texas",0.0
266,"Brown, Wisconsin",2.3198591549295773
267,"Brule, South Dakota",1.7
268,"Brunswick, North Carolina",0.0
269,"Brunswick, Virginia",0.0
270,"Bryan, Oklahoma",1.7958333333333334
271,"Buchanan, Iowa",0.0
272,"Buchanan, Virginia",0.0
273,"Buckingham, Virginia",0.0
274,"Bucks county, Pennsylvania",5.1000000000000005
275,"Bucks, Pennsylvania",0.8590625
276,"Buena vista, Iowa",6.666666666666667
277,"Buena vista, Virginia",0.0
278,"Buffalo, Nebraska",5.824482758620688
279,"Buffalo, Wisconsin",0.4112903225806452
280,"Bullock, Alabama",0.0
281,"Buncombe, North Carolina",0.0
282,"Bureau, Illinois",0.8564814814814815
283,"Burke, North Carolina",0.0
284,"Burke, North Dakota",0.0
285,"Burleigh, North Dakota",0.0
286,"Burleson, Texas",0.0
287,"Burlington, New Jersey",0.3301228501228501
288,"Burnet, Texas",0.0
289,"Burnett, Wisconsin",0.37448275862068964
290,"Burt, Nebraska",8.308
291,"Butler county, Pennsylvania",0.0
292,"Butler, Alabama",0.0
293,"Butler, Iowa",0.0
294,"Butler, Kansas",1.9772727272727273
295,"Butler, Kentucky",0.25
296,"Butler, Missouri",1.052777777777778
297,"Butler, Nebraska",6.491428571428571
298,"Butler, Ohio",0.0
299,"Butler, Pennsylvania",0.40212765957446805
300,"Butte, California",1.8193754646840148
301,"Butte, Idaho",6.766666666666667
302,"Butte, South Dakota",1.1777777777777778
303,"Cabarrus, North Carolina",0.0
304,"Cabell, West Virginia",0.16666666666666666
305,"Cache, Utah",0.7860655737704915
306,"Caddo parish, Louisiana",0.0
307,"Caddo, Louisiana",0.08270676691729323
308,"Caddo, Oklahoma",0.298
309,"Calaveras, California",0.013750000000000002
310,"Calcasieu, Louisiana",0.0
311,"Caldwell, Kentucky",0.0
312,"Caldwell, Louisiana",2.5848484848484854
313,"Caldwell, Missouri",0.4005263157894737
314,"Caldwell, North Carolina",0.0
315,"Caldwell, Texas",0.0
316,"Caledonia, Vermont",0.0
317,"Calhoun, Alabama",0.33975
318,"Calhoun, Arkansas",0.0
319,"Calhoun, Florida",0.0
320,"Calhoun, Illinois",0.0
321,"Calhoun, Iowa",0.0
322,"Calhoun, Michigan",0.0
323,"Calhoun, South Carolina",0.0
324,"Calhoun, Texas",1.279105263157895
325,"Calhoun, West Virginia",0.6272727272727273
326,"Callahan, Texas",0.0
327,"Callaway, Missouri",1.987457627118644
328,"Calloway, Kentucky",3.0588235294117645
329,"Calumet, Wisconsin",0.9689473684210527
330,"Calvert, Maryland",0.16451612903225807
331,"Cambria county, Pennsylvania",0.0
332,"Cambria, Pennsylvania",0.7108108108108109
333,"Camden, Missouri",1.5678787878787885
334,"Camden, New Jersey",0.8635025380710659
335,"Camden, North Carolina",0.0
336,"Cameron, Louisiana",0.0
337,"Cameron, Pennsylvania",0.0
338,"Cameron, Texas",0.5246538461538461
339,"Camp, Texas",1.265074074074074
340,"Campbell, Kentucky",0.75
341,"Campbell, Tennessee",1.04
342,"Campbell, Virginia",0.0
343,"Campbell, Wyoming",0.0
344,"Canadian, Oklahoma",9.979166666666666
345,"Cannon, Tennessee",0.0
346,"Canyon, Idaho",1.6287500000000001
347,"Cape girardeau, Missouri",1.642439024390244
348,"Cape may, New Jersey",0.4554938271604938
349,"Carbon county, Pennsylvania",0.0
350,"Carbon, Montana",0.06708333333333333
351,"Carbon, Pennsylvania",0.48055555555555557
352,"Carbon, Utah",1.5206666666666668
353,"Carbon, Wyoming",0.030303030303030304
354,"Caribou, Idaho",0.5383333333333334
355,"Carlisle, Kentucky",0.0
356,"Carlton, Minnesota",1.3740740740740742
357,"Caroline, Maryland",0.8137931034482759
358,"Caroline, Virginia",0.015189873417721518
359,"Carroll, Arkansas",0.2
360,"Carroll, Illinois",0.0
361,"Carroll, Indiana",0.19285714285714287
362,"Carroll, Iowa",0.0
363,"Carroll, Kentucky",0.0
364,"Carroll, Maryland",0.9824999999999999
365,"Carroll, Missouri",1.6037500000000002
366,"Carroll, New Hampshire",0.03494318181818182
367,"Carroll, Ohio",0.5
368,"Carroll, Tennessee",0.0
369,"Carroll, Virginia",0.0
370,"Carson city, Nevada",0.09705882352941177
371,"Carson, Texas",0.78
372,"Carter, Kentucky",0.0
373,"Carter, Missouri",1.0945454545454545
374,"Carter, Montana",0.0
375,"Carter, Oklahoma",0.0
376,"Carter, Tennessee",0.0
377,"Carteret, North Carolina",0.0
378,"Carver, Minnesota",0.0
379,"Cascade, Montana",0.046153846153846156
380,"Casey, Kentucky",0.0
381,"Cass, Illinois",0.0
382,"Cass, Indiana",0.0
383,"Cass, Iowa",0.0
384,"Cass, Michigan",0.0
385,"Cass, Minnesota",0.09565217391304348
386,"Cass, Missouri",0.17038461538461538
387,"Cass, Nebraska",6.5699999999999985
388,"Cass, North Dakota",0.40066666666666667
389,"Cass, Texas",1.366952380952381
390,"Cassia, Idaho",0.7576923076923077
391,"Castro, Texas",0.17444444444444446
392,"Caswell, North Carolina",0.0
393,"Catahoula, Louisiana",0.0
394,"Catawba, North Carolina",0.0
395,"Catron, New Mexico",0.8547691428571428
396,"Cattaraugus, New York",0.38911764705882357
397,"Cavalier, North Dakota",0.0
398,"Cayuga county, New York",11.0
399,"Cayuga, New York",0.5591549295774648
400,"Cecil, Maryland",0.7999999999999999
401,"Cedar, Iowa",0.0
402,"Cedar, Missouri",0.5722727272727274
403,"Cedar, Nebraska",7.308888888888889
404,"Centre county, Pennsylvania",0.08666666666666667
405,"Centre, Pennsylvania",0.4333333333333333
406,"Cerro gordo, Iowa",0.0
407,"Chambers, Alabama",0.26666666666666666
408,"Chambers, Texas",0.0
409,"Champaign, Illinois",0.0
410,"Champaign, Ohio",0.14093023255813955
411,"Chariton, Missouri",0.634
412,"Charles city, Virginia",0.0
413,"Charles mix, South Dakota",0.09999999999999999
414,"Charles, Maryland",0.11830985915492959
415,"Charleston county, South Carolina",0.0
416,"Charleston, South Carolina",0.2786885245901639
417,"Charlevoix, Michigan",0.0
418,"Charlotte, Florida",0.16363636363636364
