,county,ethylene_dibromide
181,"Bonneville, Idaho",0.0
182,"Boone, Arkansas",0.0
183,"Boone, Illinois",0.0
184,"Boone, Indiana",0.0
185,"Boone, Kentucky",0.0006666666666666666
186,"Boone, Missouri",0.0
187,"Boone, Nebraska",0.0
188,"Boone, West Virginia",0.0
189,"Bosque, Texas",0.0
190,"Bossier, Louisiana",0.0
191,"Botetourt, Virginia",0.0
192,"Boundary, Idaho",0.0
193,"Bourbon, Kansas",0.0
194,"Bourbon, Kentucky",0.0
195,"Bowie, Texas",0.0
196,"Box butte, Nebraska",0.0
197,"Boyd, Kentucky",0.0
198,"Boyd, Nebraska",0.0
199,"Boyle, Kentucky",0.0
200,"Bracken, Kentucky",0.0
201,"Bradford, Florida",0.0
202,"Bradford, Pennsylvania",0.0
203,"Bradley, Arkansas",0.0
204,"Braxton, West Virginia",0.0
205,"Brazoria, Texas",0.0
206,"Brazos, Texas",0.0
207,"Breathitt, Kentucky",0.0
208,"Breckinridge, Kentucky",0.0
209,"Brevard, Florida",0.0
210,"Brewster, Texas",0.0
211,"Briscoe, Texas",0.0
212,"Bristol, Massachusetts",0.0
213,"Bristol, Rhode Island",0.0
214,"Bristol, Virginia",0.0
215,"Broadwater, Montana",0.0
216,"Brooke, West Virginia",0.0
217,"Brookings, South Dakota",0.0
218,"Brooks, Texas",0.0
219,"Broome, New York",0.0
220,"Broward county, Florida",0.0
221,"Broward, Florida",0.0
222,"Brown, Illinois",0.0
223,"Brown, Indiana",0.0
224,"Brown, Kansas",0.0
225,"Brown, Minnesota",0.0
226,"Brown, Nebraska",0.0
227,"Brown, Ohio",0.0
228,"Brown, South Dakota",0.0
229,"Brown, Texas",0.0
230,"Brown, Wisconsin",0.0
231,"Brule, South Dakota",0.0
232,"Brunswick, North Carolina",0.0
233,"Brunswick, Virginia",0.0
234,"Bryan, Oklahoma",0.0
235,"Buchanan, Virginia",0.0
236,"Buckingham, Virginia",0.0
237,"Bucks county, Pennsylvania",0.0
238,"Bucks, Pennsylvania",0.0
239,"Buena vista, Virginia",0.0
240,"Buffalo, Nebraska",0.0
241,"Buffalo, Wisconsin",0.0
242,"Bullock, Alabama",0.0
243,"Buncombe, North Carolina",0.0
244,"Bureau, Illinois",0.0002586206896551724
245,"Burke, North Carolina",0.0
246,"Burleson, Texas",0.0
247,"Burlington, New Jersey",0.0
248,"Burnet, Texas",0.0
249,"Burnett, Wisconsin",0.0
250,"Burt, Nebraska",0.0
251,"Butler, Alabama",0.0
252,"Butler, Kansas",0.0
253,"Butler, Kentucky",0.0
254,"Butler, Missouri",0.0
255,"Butler, Nebraska",0.0
256,"Butler, Ohio",0.0
257,"Butler, Pennsylvania",0.0
258,"Butte, California",0.0
259,"Butte, Idaho",0.0
260,"Butte, South Dakota",0.0
261,"Cabarrus, North Carolina",0.0
262,"Cabell, West Virginia",0.0
263,"Caddo parish, Louisiana",0.0
264,"Caddo, Louisiana",0.0008333333333333334
265,"Caddo, Oklahoma",0.0
266,"Calaveras, California",0.0
267,"Calcasieu, Louisiana",0.0
268,"Caldwell, Kentucky",0.0
269,"Caldwell, Louisiana",0.0
270,"Caldwell, Missouri",0.0
271,"Caldwell, North Carolina",0.0
272,"Caldwell, Texas",0.0
273,"Caledonia, Vermont",0.0
274,"Calhoun, Alabama",0.0
275,"Calhoun, Arkansas",0.0
276,"Calhoun, Florida",0.0
277,"Calhoun, Illinois",0.0
278,"Calhoun, Michigan",0.0
279,"Calhoun, South Carolina",0.0
280,"Calhoun, Texas",0.0
281,"Calhoun, West Virginia",0.0
282,"Callahan, Texas",0.0
283,"Callaway, Missouri",0.0
284,"Calloway, Kentucky",0.0
285,"Calumet, Wisconsin",0.0
286,"Cambria county, Pennsylvania",0.0
287,"Cambria, Pennsylvania",0.0
288,"Camden, Missouri",0.0
289,"Camden, New Jersey",0.00010175438596491227
290,"Camden, North Carolina",0.0
291,"Cameron, Louisiana",0.0
292,"Cameron, Pennsylvania",0.0
293,"Cameron, Texas",0.0
294,"Camp, Texas",0.0
295,"Campbell, Kentucky",0.0
296,"Campbell, Virginia",0.0
297,"Campbell, Wyoming",0.0
298,"Canadian, Oklahoma",0.0
299,"Canyon, Idaho",0.0
300,"Cape girardeau, Missouri",0.0
301,"Cape may, New Jersey",0.0
302,"Carbon, Montana",0.0
303,"Carbon, Pennsylvania",0.0
304,"Carbon, Wyoming",0.0
305,"Caribou, Idaho",0.0
306,"Carlisle, Kentucky",0.0
307,"Carlton, Minnesota",0.0
308,"Caroline, Virginia",0.0
309,"Carroll, Arkansas",0.0
310,"Carroll, Illinois",0.0
311,"Carroll, Indiana",0.0
312,"Carroll, Kentucky",0.0
313,"Carroll, Missouri",0.0
314,"Carroll, New Hampshire",0.0
315,"Carroll, Virginia",0.0
316,"Carson city, Nevada",0.0
317,"Carson, Texas",0.0
318,"Carter, Kentucky",0.0
319,"Carter, Missouri",0.0
320,"Carter, Oklahoma",0.0
321,"Carteret, North Carolina",0.0
322,"Carver, Minnesota",0.0
323,"Cascade, Montana",0.0
324,"Casey, Kentucky",0.0
325,"Cass, Illinois",0.0
326,"Cass, Indiana",0.0
327,"Cass, Minnesota",0.0
328,"Cass, Missouri",0.0
329,"Cass, Nebraska",0.0
330,"Cass, North Dakota",0.0
331,"Cass, Texas",0.0
332,"Cassia, Idaho",0.0
333,"Castro, Texas",0.0
334,"Caswell, North Carolina",0.0
335,"Catahoula, Louisiana",0.0
336,"Catawba, North Carolina",0.00021245421245421248
337,"Catron, New Mexico",0.0
338,"Cattaraugus, New York",0.0
339,"Cayuga county, New York",0.0
340,"Cayuga, New York",0.0
341,"Cedar, Missouri",0.0
342,"Cedar, Nebraska",0.0
343,"Centre county, Pennsylvania",0.0
344,"Centre, Pennsylvania",0.0
345,"Chambers, Alabama",0.0
346,"Chambers, Texas",0.0
347,"Champaign, Illinois",0.0
348,"Champaign, Ohio",0.0
349,"Chariton, Missouri",0.0
350,"Charles city, Virginia",0.0
351,"Charles mix, South Dakota",0.0
352,"Charleston county, South Carolina",0.0
353,"Charleston, South Carolina",0.0
354,"Charlotte, Florida",0.0
355,"Charlotte, Virginia",0.0
356,"Chase, Kansas",0.0
357,"Chase, Nebraska",0.0
358,"Chatham, North Carolina",0.0
359,"Chautauqua, Kansas",0.0
360,"Chautauqua, New York",0.0
361,"Chaves, New Mexico",0.0
362,"Chelan, Washington",0.0
363,"Chemung, New York",0.0
364,"Chenango, New York",0.0
365,"Cherokee, Alabama",0.0
366,"Cherokee, Kansas",0.0
367,"Cherokee, North Carolina",0.0
368,"Cherokee, Oklahoma",0.0
369,"Cherokee, South Carolina",0.0
370,"Cherokee, Texas",0.0
371,"Cherry, Nebraska",0.0
372,"Chesapeake city, Virginia",0.0
373,"Chesapeake, Virginia",0.0
374,"Cheshire, New Hampshire",0.0
375,"Chester county, Pennsylvania",0.0
376,"Chester, Pennsylvania",0.0
377,"Chester, South Carolina",0.0
378,"Chesterfield, South Carolina",0.008987951807228913
379,"Chesterfield, Virginia",0.0
380,"Cheyenne, Kansas",0.0
381,"Cheyenne, Nebraska",0.0
382,"Chicot, Arkansas",0.0
383,"Chilton, Alabama",0.0
384,"Chippewa, Michigan",0.0
385,"Chippewa, Minnesota",0.0
386,"Chippewa, Wisconsin",0.0
387,"Chisago, Minnesota",0.0
388,"Chittenden, Vermont",0.0005555555555555556
389,"Choctaw, Alabama",0.0
390,"Choctaw, Oklahoma",0.0
391,"Chouteau, Montana",0.0
392,"Chowan, North Carolina",0.0
393,"Christian, Illinois",0.0
394,"Christian, Kentucky",0.0
395,"Christian, Missouri",0.0
396,"Churchill, Nevada",0.0
397,"Cibola, New Mexico",0.0
398,"Cimarron, Oklahoma",0.0
399,"Citrus county, Florida",0.0
400,"Citrus, Florida",0.0
401,"Clackamas, Oregon",0.0
402,"Claiborne, Louisiana",0.0
403,"Clallam, Washington",0.0
404,"Clarendon, South Carolina",0.0
405,"Clarion, Pennsylvania",0.0
406,"Clark county, Nevada",0.0
407,"Clark, Arkansas",0.0
408,"Clark, Idaho",0.0
409,"Clark, Illinois",0.0
410,"Clark, Indiana",0.0
411,"Clark, Kansas",0.0
412,"Clark, Kentucky",0.0
413,"Clark, Missouri",0.0
414,"Clark, Nevada",3.8333333333333334e-05
415,"Clark, Ohio",0.0
416,"Clark, South Dakota",0.0
417,"Clark, Washington",0.0
418,"Clark, Wisconsin",0.0051081081081081085
419,"Clarke, Alabama",0.0
420,"Clarke, Virginia",0.0
421,"Clatsop, Oregon",0.0
422,"Clay, Alabama",0.0
423,"Clay, Arkansas",0.0
424,"Clay, Florida",0.0
425,"Clay, Illinois",0.0
426,"Clay, Indiana",0.0
427,"Clay, Kansas",0.0
428,"Clay, Kentucky",0.0
429,"Clay, Minnesota",0.0
430,"Clay, Missouri",0.0
431,"Clay, Nebraska",0.0
432,"Clay, North Carolina",0.0
433,"Clay, South Dakota",0.0
434,"Clay, Texas",0.0
435,"Clay, West Virginia",0.0
436,"Clearfield county, Pennsylvania",0.0
437,"Clearfield, Pennsylvania",0.0
438,"Clearwater, Idaho",0.0
439,"Clearwater, Minnesota",0.0
440,"Cleburne, Alabama",0.0
441,"Cleburne, Arkansas",0.0
442,"Clermont, Ohio",0.0
443,"Cleveland, Arkansas",0.0
444,"Cleveland, North Carolina",0.0
445,"Cleveland, Oklahoma",0.0
446,"Clinton, Illinois",0.0
447,"Clinton, Indiana",0.0
448,"Clinton, Iowa",0.0
449,"Clinton, Kentucky",0.0
450,"Clinton, Missouri",0.0
451,"Clinton, New York",0.0
452,"Clinton, Ohio",0.0
453,"Clinton, Pennsylvania",0.0
454,"Cloud, Kansas",0.0
455,"Coal, Oklahoma",0.0
456,"Cochise, Arizona",0.0001639344262295082
457,"Cochran, Texas",0.0
458,"Coconino, Arizona",0.0
459,"Codington, South Dakota",0.0
460,"Coffee, Alabama",0.0
461,"Coffey, Kansas",0.0
462,"Coke, Texas",0.0
463,"Colbert, Alabama",0.0
464,"Cole, Missouri",0.0
465,"Coleman, Texas",0.0
466,"Coles, Illinois",0.0
467,"Colfax, Nebraska",0.0
468,"Colfax, New Mexico",0.0
469,"Colleton, South Carolina",0.0
470,"Collier, Florida",0.0
471,"Collin, Texas",0.0
472,"Collingsworth, Texas",0.0
473,"Colorado, Texas",0.0
474,"Columbia, Arkansas",0.00020080321285140563
475,"Columbia, Florida",0.0
476,"Columbia, New York",0.0
477,"Columbia, Oregon",0.0
478,"Columbia, Pennsylvania",0.0
479,"Columbia, Washington",0.0
480,"Columbia, Wisconsin",0.0
481,"Columbiana, Ohio",0.0
482,"Columbus county, North Carolina",0.0
483,"Columbus, North Carolina",0.0
484,"Comal, Texas",0.0
485,"Comanche, Kansas",0.0
486,"Comanche, Oklahoma",0.0
487,"Comanche, Texas",0.0
488,"Concho, Texas",0.0
489,"Concordia, Louisiana",0.0
490,"Conecuh, Alabama",0.0
491,"Contra costa, California",0.0
492,"Converse, Wyoming",0.0
493,"Conway, Arkansas",0.0
494,"Cook, Illinois",0.0
495,"Cook, Minnesota",0.0
496,"Cooke, Texas",0.0
497,"Cooper, Missouri",0.0
498,"Coos, New Hampshire",0.0
499,"Coos, Oregon",0.0
500,"Coosa, Alabama",0.0
501,"Corson, South Dakota",0.0
502,"Cortland, New York",0.0
503,"Coryell, Texas",0.0
504,"Cottle, Texas",0.0
505,"Cotton, Oklahoma",0.0
506,"Cottonwood county, Minnesota",0.0
507,"Cottonwood, Minnesota",0.0
508,"Covington, Alabama",0.0
509,"Covington, Virginia",0.0
510,"Cowley, Kansas",0.0
511,"Cowlitz, Washington",0.0
512,"Craig, Oklahoma",0.0
513,"Craighead, Arkansas",0.0
514,"Crane, Texas",0.0
515,"Craven, North Carolina",0.0
516,"Crawford county, Pennsylvania",0.0
517,"Crawford, Arkansas",0.0
518,"Crawford, Illinois",0.0
519,"Crawford, Indiana",0.0
520,"Crawford, Kansas",0.0
521,"Crawford, Missouri",0.0
522,"Crawford, Pennsylvania",0.0
523,"Crawford, Wisconsin",0.0
524,"Creek, Oklahoma",0.0
525,"Crenshaw, Alabama",0.0
526,"Crittenden, Arkansas",0.0
527,"Crittenden, Kentucky",0.0
528,"Crockett, Texas",0.0
529,"Crook, Oregon",0.0
530,"Crook, Wyoming",0.0
531,"Crosby, Texas",0.0
532,"Cross, Arkansas",0.0
533,"Crow wing, Minnesota",0.0
534,"Culberson, Texas",0.0
535,"Cullman, Alabama",0.0
536,"Culpeper, Virginia",0.0
537,"Cumberland county, Pennsylvania",0.0
538,"Cumberland, Illinois",0.0
539,"Cumberland, Kentucky",0.0
540,"Cumberland, New Jersey",9.925558312655087e-05
541,"Cumberland, North Carolina",0.0
542,"Cumberland, Pennsylvania",0.0
543,"Cumberland, Virginia",0.0
544,"Cuming, Nebraska",0.0
545,"Currituck, North Carolina",0.0
546,"Curry, New Mexico",0.0007379679144385027
