,county,cyanide
175,"Boone, West Virginia",0.7176470588235294
176,"Bosque, Texas",2.5
177,"Bossier, Louisiana",0.0
178,"Botetourt, Virginia",0.0
179,"Boundary, Idaho",0.0
180,"Bourbon, Kentucky",0.0
181,"Bowie, Texas",0.0
182,"Box butte, Nebraska",0.0
183,"Box elder, Utah",0.0594059405940594
184,"Boyd, Kentucky",0.0
185,"Boyd, Nebraska",0.0
186,"Boyle, Kentucky",0.0
187,"Bracken, Kentucky",5.0
188,"Bradford, Florida",0.3892857142857143
189,"Bradford, Pennsylvania",0.125
190,"Bradley, Arkansas",0.0
191,"Bradley, Tennessee",0.0
192,"Branch, Michigan",0.0
193,"Braxton, West Virginia",0.0
194,"Brazoria, Texas",2.8947368421052633
195,"Brazos, Texas",0.0
196,"Breathitt, Kentucky",0.0
197,"Breckinridge, Kentucky",0.0
198,"Brevard, Florida",3.3560000000000003
199,"Brewster, Texas",0.0
200,"Bristol bay, Alaska",0.0
201,"Bristol, Massachusetts",27.724137931034484
202,"Bristol, Rhode Island",0.0
203,"Brooke, West Virginia",0.0
204,"Broome, New York",2.1262626262626263
205,"Broward county, Florida",0.0
206,"Broward, Florida",0.33513513513513515
207,"Brown, Illinois",0.0
208,"Brown, Indiana",0.0
209,"Brown, Minnesota",15.0
210,"Brown, Nebraska",0.0
211,"Brown, Ohio",0.0
212,"Brown, Wisconsin",1.3846153846153846
213,"Brunswick, North Carolina",6.25
214,"Brunswick, Virginia",0.0
215,"Buchanan, Virginia",0.0
216,"Buckingham, Virginia",0.0
217,"Bucks county, Pennsylvania",0.0
218,"Bucks, Pennsylvania",0.043209876543209874
219,"Buffalo, Nebraska",0.0
220,"Bullock, Alabama",0.0
221,"Buncombe, North Carolina",3.7037037037037037
222,"Bureau, Illinois",0.6285714285714286
223,"Burke, North Carolina",0.0
224,"Burleson, Texas",0.0
225,"Burlington, New Jersey",0.3080684596577017
226,"Burnet, Texas",1.8181818181818181
227,"Burnett, Wisconsin",12.25
228,"Burt, Nebraska",0.0
229,"Butler county, Pennsylvania",0.0
230,"Butler, Alabama",0.0
231,"Butler, Kentucky",0.0
232,"Butler, Missouri",0.0
233,"Butler, Nebraska",0.0
234,"Butler, Ohio",0.0
235,"Butler, Pennsylvania",0.10416666666666667
236,"Butte, California",0.034782608695652174
237,"Cabarrus, North Carolina",0.0
238,"Cabell, West Virginia",0.0
239,"Cache, Utah",0.0
240,"Caddo parish, Louisiana",0.0
241,"Caddo, Louisiana",0.0
242,"Caddo, Oklahoma",0.0
243,"Calaveras, California",0.0
244,"Calcasieu, Louisiana",0.0
245,"Caldwell, Kentucky",0.0
246,"Caldwell, Louisiana",0.0
247,"Caldwell, North Carolina",0.0
248,"Caledonia, Vermont",0.0
249,"Calhoun, Alabama",0.0
250,"Calhoun, Arkansas",0.0
251,"Calhoun, Florida",0.0
252,"Calhoun, Illinois",0.0
253,"Calhoun, Michigan",0.0
254,"Calhoun, West Virginia",0.0
255,"Callaway, Missouri",0.0
256,"Calloway, Kentucky",0.0
257,"Calumet, Wisconsin",19.0
258,"Calvert, Maryland",0.0
259,"Cambria county, Pennsylvania",0.0
260,"Cambria, Pennsylvania",0.0
261,"Camden, Missouri",0.0907142857142857
262,"Camden, New Jersey",0.36633663366336633
263,"Camden, North Carolina",0.0
264,"Cameron, Louisiana",0.0
265,"Cameron, Pennsylvania",0.0
266,"Cameron, Texas",29.0
267,"Campbell, Kentucky",0.0
268,"Campbell, Tennessee",0.0
269,"Campbell, Virginia",0.0
270,"Campbell, Wyoming",0.0
271,"Canadian, Oklahoma",0.0
272,"Cannon, Tennessee",0.0
273,"Canyon, Idaho",0.20512820512820512
274,"Cape girardeau, Missouri",0.17391304347826086
275,"Cape may, New Jersey",0.30246913580246915
276,"Carbon county, Pennsylvania",0.0
277,"Carbon, Pennsylvania",0.11428571428571428
278,"Carbon, Utah",0.0
279,"Carbon, Wyoming",0.0
280,"Caribou, Idaho",0.0
281,"Carlisle, Kentucky",0.0
282,"Carlton, Minnesota",0.0
283,"Caroline, Maryland",0.0
284,"Caroline, Virginia",0.0
285,"Carroll, Arkansas",0.0
286,"Carroll, Illinois",0.0
287,"Carroll, Indiana",0.0
288,"Carroll, Kentucky",0.0
289,"Carroll, New Hampshire",0.01485148514851485
290,"Carroll, Ohio",0.0
291,"Carroll, Tennessee",0.0
292,"Carroll, Virginia",0.0
293,"Carson city, Nevada",0.49019607843137253
294,"Carter, Kentucky",0.0
295,"Carter, Missouri",0.0
296,"Carter, Oklahoma",0.0
297,"Carter, Tennessee",0.0
298,"Carteret, North Carolina",0.6686440677966102
299,"Carver, Minnesota",4.545454545454546
300,"Cascade, Montana",0.0
301,"Casey, Kentucky",0.0
302,"Cass, Illinois",0.0
303,"Cass, Indiana",0.0
304,"Cass, Michigan",0.0
305,"Cass, Minnesota",3.111111111111111
306,"Cass, Missouri",0.0
307,"Cass, Nebraska",0.0
308,"Cass, North Dakota",9.0
309,"Cass, Texas",3.6666666666666665
310,"Cassia, Idaho",0.0
311,"Castro, Texas",0.0
312,"Caswell, North Carolina",0.0
