,county,heptachlor
474,"Columbia, Arkansas",0.0
475,"Columbia, Florida",0.0
476,"Columbia, New York",0.0
477,"Columbia, Oregon",0.0
478,"Columbia, Pennsylvania",0.0
479,"Columbia, Washington",0.0
480,"Columbia, Wisconsin",0.0
481,"Columbus county, North Carolina",0.0
482,"Columbus, North Carolina",0.0
483,"Colusa, California",0.0
484,"Comal, Texas",0.0
485,"Comanche, Oklahoma",0.0
486,"Comanche, Texas",0.0
487,"Concho, Texas",0.0
488,"Concordia, Louisiana",0.0
489,"Conecuh, Alabama",0.0
490,"Contra costa, California",0.0
491,"Converse, Wyoming",0.0
492,"Conway, Arkansas",0.0
493,"Cook, Illinois",0.0
494,"Cook, Minnesota",0.0
495,"Cooke, Texas",0.002380952380952381
496,"Cooper, Missouri",0.0
497,"Coos, New Hampshire",0.0
498,"Coos, Oregon",0.0
499,"Coosa, Alabama",0.0
500,"Corson, South Dakota",0.0
501,"Cortland, New York",0.0
502,"Coryell, Texas",0.0
503,"Cottle, Texas",0.0
504,"Cottonwood, Minnesota",0.0
505,"Covington, Alabama",0.0
506,"Covington, Virginia",0.0
507,"Cowley, Kansas",0.0
508,"Cowlitz, Washington",0.0
509,"Craig, Oklahoma",0.0
510,"Craighead, Arkansas",0.0
511,"Crane, Texas",0.0
512,"Craven, North Carolina",0.0
513,"Crawford county, Pennsylvania",0.0
514,"Crawford, Arkansas",0.0
515,"Crawford, Illinois",0.0
516,"Crawford, Indiana",0.0
517,"Crawford, Kansas",0.0
518,"Crawford, Michigan",0.0
519,"Crawford, Missouri",0.0
520,"Crawford, Pennsylvania",0.0
521,"Crawford, Wisconsin",0.0
522,"Creek, Oklahoma",0.0
523,"Crenshaw, Alabama",0.0
524,"Crittenden, Arkansas",0.0
525,"Crittenden, Kentucky",0.0
526,"Crockett, Texas",0.0
527,"Crook, Oregon",0.0
528,"Crook, Wyoming",0.0
529,"Crosby, Texas",0.0
530,"Cross, Arkansas",0.0
531,"Crow wing, Minnesota",0.0
532,"Culberson, Texas",0.0
533,"Cullman, Alabama",0.0
534,"Culpeper, Virginia",0.0
535,"Cumberland county, Pennsylvania",0.0
536,"Cumberland, Illinois",0.0
537,"Cumberland, Kentucky",0.0
538,"Cumberland, Maine",0.0
539,"Cumberland, New Jersey",0.0
540,"Cumberland, North Carolina",0.0
541,"Cumberland, Pennsylvania",0.0
542,"Cumberland, Virginia",0.0
543,"Cuming, Nebraska",0.0
544,"Currituck, North Carolina",0.0
545,"Curry, New Mexico",0.0
546,"Curry, Oregon",0.0
547,"Custer, Idaho",0.0
548,"Custer, Montana",0.0
549,"Custer, Nebraska",0.0
550,"Custer, South Dakota",0.0
551,"Dade, Florida",0.0
552,"Dade, Missouri",0.0
553,"Daggett, Utah",0.0
554,"Dakota, Minnesota",0.0
555,"Dakota, Nebraska",0.0
556,"Dale, Alabama",0.0
557,"Dallam, Texas",0.0
558,"Dallas, Alabama",0.0
559,"Dallas, Arkansas",0.0
560,"Dallas, Missouri",0.0
561,"Dallas, Texas",0.0006896551724137932
562,"Dane, Wisconsin",0.0
563,"Daniels, Montana",0.0
564,"Danville, Virginia",0.0
565,"Dare, North Carolina",0.0
566,"Darlington, South Carolina",0.0
567,"Dauphin county, Pennsylvania",0.0
568,"Dauphin, Pennsylvania",0.0
569,"Davidson, North Carolina",0.0
570,"Davie, North Carolina",0.0
571,"Daviess, Indiana",0.0
572,"Daviess, Kentucky",0.0
573,"Daviess, Missouri",0.0
574,"Davis, Utah",0.0
575,"Dawes, Nebraska",0.0
576,"Dawson, Montana",0.0
577,"Dawson, Nebraska",0.0
578,"Dawson, Texas",0.0
579,"Day, South Dakota",0.0
580,"De baca, New Mexico",0.0
581,"De kalb, Indiana",0.0
582,"De kalb, Missouri",0.0
583,"De soto, Florida",0.0
584,"De soto, Louisiana",0.0
585,"De witt, Illinois",0.0
586,"Deaf smith, Texas",0.0
587,"Dearborn, Indiana",0.0
588,"Decatur, Indiana",0.0
589,"Deer lodge, Montana",0.0
590,"Defiance, Ohio",0.0
591,"Dekalb, Alabama",0.0
592,"Dekalb, Illinois",0.0
593,"Dekalb, Indiana",0.0
594,"Dekalb, Missouri",0.0
595,"Delaware, Indiana",0.0
596,"Delaware, New York",0.0
597,"Delaware, Pennsylvania",0.0
598,"Delta, Michigan",0.0
599,"Delta, Texas",0.0
600,"Dent, Missouri",0.0
601,"Denton, Texas",0.0
602,"Deschutes, Oregon",0.0
603,"Desha, Arkansas",0.0
604,"Desoto, Florida",0.0
605,"Deuel, Nebraska",0.0
606,"Dewey, South Dakota",0.0
607,"Dewitt, Texas",0.0
608,"Dickens, Texas",0.0
609,"Dickey, North Dakota",0.0
610,"Dickinson, Iowa",0.0
611,"Dickinson, Kansas",0.0
612,"Dickinson, Michigan",0.0
613,"Dillon, South Carolina",0.0
614,"Dimmit, Texas",0.0
615,"Dinwiddie, Virginia",0.0
616,"District of columbia, District of Columbia",0.0
617,"Dixie, Florida",0.0
618,"Dixon, Nebraska",0.0
619,"Doddridge, West Virginia",0.0
620,"Dodge, Minnesota",0.0
621,"Dodge, Nebraska",0.0
622,"Dodge, Wisconsin",0.0
623,"Dona ana, New Mexico",0.009195402298850575
624,"Donley, Texas",0.0
625,"Door, Wisconsin",0.0
626,"Dorchester, Maryland",0.0
627,"Dorchester, South Carolina",0.0
628,"Douglas, Illinois",0.0
629,"Douglas, Kansas",0.0
630,"Douglas, Minnesota",0.0
631,"Douglas, Missouri",0.0
632,"Douglas, Nebraska",0.0
633,"Douglas, Nevada",0.0
634,"Douglas, Oregon",0.0
635,"Douglas, Washington",0.0
636,"Douglas, Wisconsin",0.0
637,"Drew, Arkansas",0.0
638,"Du page, Illinois",0.0
639,"Dubois, Indiana",0.0
640,"Duchesne, Utah",0.0
641,"Dukes, Massachusetts",0.0
642,"Dundy, Nebraska",0.0
643,"Dunklin, Missouri",0.0
644,"Dunn, North Dakota",0.0
645,"Dunn, Wisconsin",0.0
646,"Dupage, Illinois",0.0003504043126684636
647,"Duplin, North Carolina",0.0
648,"Durham, North Carolina",0.0
649,"Dutchess, New York",0.0
650,"Duval county, Florida",0.0
651,"Duval, Florida",0.0
652,"Duval, Texas",0.0
653,"East baton rouge parish, Louisiana",0.0
654,"East baton rouge, Louisiana",0.0
655,"East carroll, Louisiana",0.0
656,"East feliciana, Louisiana",0.0
657,"Eastland, Texas",0.0
658,"Eaton, Michigan",0.0
659,"Eau claire, Wisconsin",0.0
660,"Ector, Texas",0.0
661,"Eddy, New Mexico",0.0
662,"Eddy, North Dakota",0.0
663,"Edgar, Illinois",0.0
664,"Edgecombe, North Carolina",0.0
665,"Edmonson, Kentucky",0.0
666,"Edwards, Illinois",0.0
667,"Edwards, Texas",0.0
668,"Effingham, Illinois",0.0
669,"El dorado, California",0.0
670,"El paso, Texas",0.0
671,"Elk, Kansas",0.0
672,"Elk, Pennsylvania",0.0
673,"Elkhart, Indiana",0.0
674,"Elko, Nevada",0.0
675,"Elliott, Kentucky",0.0
676,"Ellis, Texas",0.0
677,"Ellsworth, Kansas",0.0
678,"Elmore, Alabama",0.0
679,"Elmore, Idaho",0.0
680,"Emery, Utah",0.0
681,"Emmet, Michigan",0.0
682,"Emmons, North Dakota",0.0
683,"Erath, Texas",0.0
684,"Erie county, Pennsylvania",0.0
685,"Erie, New York",0.0
686,"Erie, Pennsylvania",0.0
687,"Escambia, Alabama",0.0
688,"Escambia, Florida",3.933333333333333e-05
689,"Esmeralda, Nevada",0.0
690,"Essex county, New York",0.0
691,"Essex, Massachusetts",0.0
692,"Essex, New Jersey",0.0
693,"Essex, New York",0.0
694,"Essex, Vermont",0.0
695,"Estill, Kentucky",0.0
696,"Etowah, Alabama",0.0
697,"Eureka county, Nevada",0.0
698,"Eureka, Nevada",0.0
699,"Evangeline parish, Louisiana",0.0
700,"Evangeline, Louisiana",0.0
701,"Fairbanks north star, Alaska",0.0
702,"Fairfax, Virginia",0.0
703,"Fairfield, Connecticut",0.0
704,"Fairfield, South Carolina",0.0
705,"Fall river, South Dakota",0.0
706,"Fallon, Montana",0.0
707,"Falls, Texas",0.0
708,"Fannin, Texas",0.0
709,"Faulk, South Dakota",0.0
710,"Fauquier, Virginia",0.0
711,"Fayette, Alabama",0.0
712,"Fayette, Illinois",0.0
713,"Fayette, Indiana",0.0
714,"Fayette, Kentucky",0.0
715,"Fayette, Pennsylvania",0.0
716,"Fayette, Texas",0.0
717,"Fayette, West Virginia",0.0
718,"Fergus, Montana",0.0
719,"Ferry, Washington",0.0
720,"Fillmore, Minnesota",0.0
721,"Fillmore, Nebraska",0.0
722,"Finney, Kansas",0.0
723,"Fisher, Texas",0.0
724,"Flagler, Florida",0.0
725,"Flathead, Montana",0.0
726,"Fleming, Kentucky",0.0
727,"Florence, South Carolina",0.0
728,"Florence, Wisconsin",0.0
729,"Floyd, Indiana",0.0
730,"Floyd, Kentucky",0.0
731,"Floyd, Texas",0.0
732,"Fluvanna, Virginia",0.0
733,"Foard, Texas",0.0
734,"Fond du lac, Wisconsin",0.0
735,"Ford, Illinois",0.0
736,"Forest, Pennsylvania",0.0
737,"Forest, Wisconsin",0.0
738,"Forsyth, North Carolina",0.0
739,"Fort bend county, Texas",0.0
740,"Fort bend, Texas",0.0
741,"Foster, North Dakota",0.0
742,"Fountain, Indiana",0.0
743,"Franklin county, Missouri",0.0
744,"Franklin county, New York",0.0
745,"Franklin county, Pennsylvania",0.0
746,"Franklin, Alabama",0.0
747,"Franklin, Arkansas",0.0
748,"Franklin, Florida",0.0
749,"Franklin, Idaho",0.0
750,"Franklin, Illinois",0.0
751,"Franklin, Indiana",0.0
752,"Franklin, Kansas",0.0
753,"Franklin, Kentucky",0.0
754,"Franklin, Louisiana",0.0
755,"Franklin, Maine",0.0
756,"Franklin, Massachusetts",0.0
757,"Franklin, Missouri",0.0
758,"Franklin, Nebraska",0.0
759,"Franklin, New York",0.0
760,"Franklin, North Carolina",0.0
761,"Franklin, Ohio",0.0
762,"Franklin, Pennsylvania",0.0
763,"Franklin, Texas",0.0
764,"Franklin, Vermont",0.0
765,"Franklin, Virginia",0.0
766,"Franklin, Washington",0.0
767,"Frederick, Maryland",0.0
768,"Frederick, Virginia",0.0
769,"Freeborn, Minnesota",0.0
770,"Freestone, Texas",0.0
771,"Fremont, Idaho",0.0
772,"Fremont, Wyoming",0.0
773,"Fresno, California",0.0
774,"Frio, Texas",0.0
775,"Frontier, Nebraska",0.0
776,"Fulton, Arkansas",0.0
777,"Fulton, Illinois",0.0
778,"Fulton, Indiana",0.0
779,"Fulton, Kentucky",0.0
780,"Fulton, New York",0.0
781,"Fulton, Pennsylvania",0.0
782,"Furnas, Nebraska",0.0
783,"Gadsden, Florida",0.0
784,"Gage, Nebraska",0.0
785,"Gaines, Texas",0.0
786,"Galax, Virginia",0.0
787,"Gallatin, Illinois",0.0
788,"Gallatin, Kentucky",0.0
789,"Gallatin, Montana",0.0
790,"Galveston, Texas",0.0
791,"Garden, Nebraska",0.0
792,"Garfield, Montana",0.0
793,"Garfield, Nebraska",0.0
794,"Garfield, Utah",0.0
795,"Garfield, Washington",0.0
796,"Garland, Arkansas",0.0
797,"Garrard, Kentucky",0.0
798,"Garrett, Maryland",0.0
799,"Garza, Texas",0.0
