,county,dinoseb
470,"Clinton, Kentucky",0.0
471,"Clinton, Michigan",0.0
472,"Clinton, Missouri",0.0
473,"Clinton, New York",0.0
474,"Clinton, Pennsylvania",0.0
475,"Cochise, Arizona",0.0
476,"Cochran, Texas",0.0
477,"Coconino, Arizona",0.0
478,"Codington, South Dakota",0.0
479,"Coffee, Alabama",0.0
480,"Coke, Texas",0.0
481,"Colbert, Alabama",0.0
482,"Cole, Missouri",0.0
483,"Coleman, Texas",0.0
484,"Coles, Illinois",0.0
485,"Colfax, Nebraska",0.17705882352941174
486,"Colfax, New Mexico",0.0
487,"Colleton, South Carolina",0.0
488,"Collier, Florida",0.0
489,"Collin, Texas",0.0
490,"Collingsworth, Texas",0.0
491,"Colorado, Texas",0.0
492,"Columbia, Arkansas",0.0
493,"Columbia, Florida",0.0
494,"Columbia, New York",0.0
495,"Columbia, Oregon",0.0
496,"Columbia, Pennsylvania",0.0
497,"Columbia, Washington",0.0
498,"Columbia, Wisconsin",0.0
499,"Columbus county, North Carolina",0.0
500,"Columbus, North Carolina",0.0
501,"Colusa, California",0.0
502,"Comal, Texas",0.011351351351351352
503,"Comanche, Oklahoma",0.0
504,"Comanche, Texas",0.0
505,"Concho, Texas",0.0
506,"Concordia, Louisiana",0.0
507,"Conecuh, Alabama",0.0
508,"Contra costa, California",0.0
509,"Converse, Wyoming",0.0
510,"Conway, Arkansas",0.0
511,"Cook, Illinois",0.0
512,"Cook, Minnesota",0.0
513,"Cooke, Texas",0.0
514,"Cooper, Missouri",0.0
515,"Coos, New Hampshire",0.0
516,"Coos, Oregon",0.0
517,"Coosa, Alabama",0.0
518,"Corson, South Dakota",0.0
519,"Cortland, New York",0.0
520,"Coryell, Texas",0.0
521,"Cottle, Texas",0.0
522,"Cotton, Oklahoma",0.0
523,"Cottonwood, Minnesota",0.0
524,"Covington, Alabama",0.0
525,"Covington, Virginia",0.0
526,"Cowlitz, Washington",0.0
527,"Craig, Oklahoma",0.0
528,"Craighead, Arkansas",0.0
529,"Crane, Texas",0.0
530,"Craven, North Carolina",0.0
531,"Crawford county, Pennsylvania",0.0
532,"Crawford, Arkansas",0.0
533,"Crawford, Illinois",0.0
534,"Crawford, Indiana",0.0
535,"Crawford, Iowa",0.0
536,"Crawford, Michigan",0.0
537,"Crawford, Missouri",0.0
538,"Crawford, Pennsylvania",0.0
539,"Crawford, Wisconsin",0.0
540,"Creek, Oklahoma",0.0
541,"Crenshaw, Alabama",0.0
542,"Crittenden, Arkansas",0.0
543,"Crittenden, Kentucky",0.0
544,"Crockett, Texas",0.0
545,"Crook, Oregon",0.0
546,"Crook, Wyoming",0.0
547,"Crosby, Texas",0.0
548,"Cross, Arkansas",0.0
549,"Crow wing, Minnesota",0.0
550,"Culberson, Texas",0.0
551,"Cullman, Alabama",0.0
552,"Culpeper, Virginia",0.0
553,"Cumberland county, Pennsylvania",0.0
554,"Cumberland, Illinois",0.0
555,"Cumberland, Kentucky",0.0
556,"Cumberland, Maine",0.0
557,"Cumberland, New Jersey",0.0
558,"Cumberland, North Carolina",0.0
559,"Cumberland, Pennsylvania",0.0
560,"Cumberland, Virginia",0.0
561,"Cuming, Nebraska",0.0
562,"Currituck, North Carolina",0.0
563,"Curry, New Mexico",0.012461538461538461
564,"Curry, Oregon",0.0
565,"Custer, Idaho",0.0
566,"Custer, Montana",0.0
567,"Custer, Nebraska",0.0325
568,"Custer, Oklahoma",0.0
569,"Custer, South Dakota",0.0
570,"Dade, Florida",0.0
571,"Dade, Missouri",0.0
572,"Daggett, Utah",0.0
573,"Dakota, Minnesota",0.0
574,"Dakota, Nebraska",0.0
575,"Dale, Alabama",0.0
576,"Dallam, Texas",0.0
577,"Dallas, Alabama",0.0
578,"Dallas, Arkansas",0.0
579,"Dallas, Iowa",0.0
580,"Dallas, Missouri",0.0
581,"Dallas, Texas",0.0
582,"Dane, Wisconsin",0.0
583,"Daniels, Montana",0.0
584,"Danville, Virginia",0.0
585,"Dare, North Carolina",0.0
586,"Darlington, South Carolina",0.0
587,"Dauphin county, Pennsylvania",0.0
588,"Dauphin, Pennsylvania",0.0
589,"Davidson, North Carolina",0.0
590,"Davie, North Carolina",0.0
591,"Daviess, Indiana",0.0
592,"Daviess, Kentucky",0.0
593,"Daviess, Missouri",0.0
594,"Davis, Iowa",0.0
595,"Davis, Utah",0.0
596,"Dawes, Nebraska",0.0
597,"Dawson, Montana",0.0
598,"Dawson, Nebraska",0.0
599,"Dawson, Texas",0.0
600,"Day, South Dakota",0.0
601,"De baca, New Mexico",0.0
602,"De kalb, Indiana",0.0
603,"De kalb, Missouri",0.0
604,"De soto, Florida",0.0
605,"De soto, Louisiana",0.0
606,"De witt, Illinois",0.0
607,"Deaf smith, Texas",0.0
608,"Dearborn, Indiana",0.0
609,"Decatur, Indiana",0.0
610,"Decatur, Iowa",0.0
611,"Deer lodge, Montana",0.0
612,"Dekalb, Alabama",0.0
613,"Dekalb, Illinois",0.0
614,"Dekalb, Indiana",0.0
615,"Dekalb, Missouri",0.0
616,"Delaware, Indiana",0.0
617,"Delaware, Iowa",0.0
618,"Delaware, New York",0.0
619,"Delaware, Pennsylvania",0.0
620,"Delta, Michigan",0.0
621,"Delta, Texas",0.0
622,"Dent, Missouri",0.0
623,"Denton, Texas",0.0
624,"Des moines, Iowa",0.0
625,"Deschutes, Oregon",0.0
626,"Desha, Arkansas",0.0
627,"Desoto, Florida",0.0
628,"Deuel, Nebraska",0.0
629,"Dewey, Oklahoma",0.0
630,"Dewey, South Dakota",0.0
631,"Dewitt, Texas",0.0
632,"Dickey, North Dakota",0.0
633,"Dickinson, Iowa",0.0
634,"Dickinson, Michigan",0.0
635,"Dillon, South Carolina",0.0
636,"Dimmit, Texas",0.0
637,"Dinwiddie, Virginia",0.0
638,"District of columbia, District of Columbia",0.0
639,"Dixie, Florida",0.0
640,"Dixon, Nebraska",0.0
641,"Doddridge, West Virginia",0.0
642,"Dodge, Minnesota",0.0
643,"Dodge, Nebraska",0.04699999999999999
644,"Dodge, Wisconsin",0.0
645,"Dona ana, New Mexico",0.0748383620689655
646,"Donley, Texas",0.0
647,"Door, Wisconsin",0.0
648,"Dorchester, Maryland",0.08473684210526317
649,"Dorchester, South Carolina",0.0
650,"Douglas, Illinois",0.0
651,"Douglas, Minnesota",0.0
652,"Douglas, Missouri",0.0
653,"Douglas, Nebraska",0.023272727272727275
654,"Douglas, Nevada",0.0
655,"Douglas, Oregon",0.0
656,"Douglas, Washington",0.0
657,"Douglas, Wisconsin",0.0
658,"Drew, Arkansas",0.0
659,"Du page, Illinois",0.0
660,"Dubois, Indiana",0.0
661,"Dubuque, Iowa",0.0
662,"Duchesne, Utah",0.0
663,"Dukes, Massachusetts",0.0
664,"Dundy, Nebraska",0.0
665,"Dunklin, Missouri",0.0
666,"Dunn, North Dakota",0.0
667,"Dunn, Wisconsin",0.0
668,"Dupage, Illinois",0.0
669,"Duplin, North Carolina",0.0
670,"Durham, North Carolina",0.05081967213114754
671,"Dutchess, New York",0.0
672,"Duval county, Florida",0.0
673,"Duval, Florida",0.0
674,"Duval, Texas",0.0
675,"East baton rouge parish, Louisiana",0.0
676,"East baton rouge, Louisiana",0.0
677,"East carroll, Louisiana",0.0
678,"East feliciana, Louisiana",0.0
679,"Eastland, Texas",0.0
680,"Eaton, Michigan",0.0
681,"Eau claire, Wisconsin",0.0
682,"Ector, Texas",0.0
683,"Eddy, New Mexico",0.014939024390243904
684,"Eddy, North Dakota",0.0
685,"Edgar, Illinois",0.0
686,"Edgecombe, North Carolina",0.0
687,"Edmonson, Kentucky",0.0
688,"Edwards, Illinois",0.0
689,"Effingham, Illinois",0.0
690,"El dorado, California",0.0
691,"El paso, Texas",0.0
692,"Elk, Pennsylvania",0.0
693,"Elkhart, Indiana",0.0
694,"Elko, Nevada",0.0
695,"Elliott, Kentucky",0.0
696,"Ellis, Oklahoma",0.0
697,"Ellis, Texas",0.01945945945945946
698,"Elmore, Alabama",0.0
699,"Elmore, Idaho",0.0
700,"Emery, Utah",0.0
701,"Emmet, Iowa",0.0
702,"Emmet, Michigan",0.0
703,"Emmons, North Dakota",0.0
704,"Erath, Texas",0.0
705,"Erie county, Pennsylvania",0.0
706,"Erie, New York",0.0
707,"Erie, Pennsylvania",0.0
708,"Escambia, Alabama",0.0
709,"Escambia, Florida",0.0
710,"Esmeralda, Nevada",0.0
711,"Essex county, New York",0.0
712,"Essex, Massachusetts",0.0
713,"Essex, New Jersey",0.0
714,"Essex, New York",0.0
715,"Essex, Vermont",0.0
716,"Estill, Kentucky",0.0
717,"Etowah, Alabama",0.0
718,"Eureka county, Nevada",0.0
719,"Eureka, Nevada",0.0
720,"Evangeline parish, Louisiana",0.0
721,"Evangeline, Louisiana",0.0
722,"Fairbanks north star, Alaska",0.0
723,"Fairfax, Virginia",0.0
724,"Fairfield, Connecticut",0.0
725,"Fairfield, South Carolina",0.0
726,"Fall river, South Dakota",0.0
727,"Fallon, Montana",0.0
728,"Falls, Texas",0.0
729,"Fannin, Texas",0.0
730,"Faulk, South Dakota",0.0
731,"Fauquier, Virginia",0.0
732,"Fayette, Alabama",0.0
733,"Fayette, Illinois",0.0
734,"Fayette, Indiana",0.0
735,"Fayette, Iowa",0.0
736,"Fayette, Kentucky",0.0
737,"Fayette, Pennsylvania",0.0
738,"Fayette, Texas",0.0
739,"Fayette, West Virginia",0.0
740,"Fergus, Montana",0.0
741,"Ferry, Washington",0.0
742,"Fillmore, Minnesota",0.0
743,"Fillmore, Nebraska",0.0
744,"Fisher, Texas",0.0
745,"Flagler, Florida",0.0
746,"Flathead, Montana",0.0
747,"Fleming, Kentucky",0.0
748,"Florence, South Carolina",0.0
749,"Florence, Wisconsin",0.0
750,"Floyd, Indiana",0.0
751,"Floyd, Iowa",0.0
752,"Floyd, Kentucky",0.0
753,"Floyd, Texas",0.0
754,"Fluvanna, Virginia",0.0
755,"Fond du lac, Wisconsin",0.0
756,"Ford, Illinois",0.0
757,"Forest, Pennsylvania",0.0
758,"Forest, Wisconsin",0.0
759,"Forsyth, North Carolina",0.0
760,"Fort bend, Texas",0.0
761,"Foster, North Dakota",0.0
762,"Fountain, Indiana",0.0
763,"Franklin county, Missouri",0.0
764,"Franklin county, New York",0.0
765,"Franklin county, Pennsylvania",0.0
766,"Franklin, Alabama",0.0
767,"Franklin, Arkansas",0.0
768,"Franklin, Florida",0.0
769,"Franklin, Idaho",0.0
770,"Franklin, Illinois",0.0
771,"Franklin, Indiana",0.0
772,"Franklin, Iowa",0.0
773,"Franklin, Kentucky",0.0
774,"Franklin, Louisiana",0.0
775,"Franklin, Maine",0.0
776,"Franklin, Massachusetts",0.002380952380952381
777,"Franklin, Missouri",0.0
778,"Franklin, Nebraska",0.0
779,"Franklin, New York",0.0
780,"Franklin, North Carolina",0.0
781,"Franklin, Pennsylvania",0.0
782,"Franklin, Texas",0.0
783,"Franklin, Vermont",0.0
784,"Franklin, Virginia",0.0
785,"Franklin, Washington",0.0
786,"Frederick, Maryland",0.0
787,"Frederick, Virginia",0.0
788,"Freeborn, Minnesota",0.0
789,"Freestone, Texas",0.0
790,"Fremont, Idaho",0.0
791,"Fremont, Iowa",0.0
792,"Fremont, Wyoming",0.0
793,"Fresno, California",0.0
794,"Frio, Texas",0.0
