,county,E_coli
167,"Bland, Virginia",0.0
168,"Blount, Alabama",0.0
169,"Blue earth, Minnesota",0.0
170,"Boise, Idaho",0.0
171,"Bollinger, Missouri",0.0
172,"Bond, Illinois",0.0
173,"Bonner, Idaho",0.0
174,"Bonneville, Idaho",0.0
175,"Boone, Arkansas",0.0
176,"Boone, Illinois",0.0
177,"Boone, Indiana",0.0
178,"Boone, Iowa",0.0
179,"Boone, Kentucky",0.0
180,"Boone, Missouri",0.0
181,"Boone, Nebraska",0.0
182,"Boone, West Virginia",0.0
183,"Bosque, Texas",0.0
184,"Bossier parish, Louisiana",0.0
185,"Bossier, Louisiana",0.0
186,"Botetourt, Virginia",0.0
187,"Bottineau, North Dakota",0.0
188,"Boundary, Idaho",0.0
189,"Bourbon, Kansas",0.0
190,"Bourbon, Kentucky",0.0
191,"Bowie, Texas",0.0
192,"Box butte, Nebraska",0.0
193,"Box elder, Utah",0.0
194,"Boyd, Kentucky",0.0
195,"Boyd, Nebraska",0.0
196,"Boyle, Kentucky",0.0
197,"Bracken, Kentucky",0.0
198,"Bradford, Pennsylvania",0.0
199,"Bradley, Arkansas",0.0
200,"Braxton, West Virginia",0.0
201,"Brazoria, Texas",0.0
202,"Brazos, Texas",0.0
203,"Breathitt, Kentucky",0.0
204,"Breckinridge, Kentucky",0.0
205,"Bremer, Iowa",0.0
206,"Brewster, Texas",0.0
207,"Briscoe, Texas",0.0
208,"Bristol bay borough, Alaska",0.0
209,"Bristol bay, Alaska",0.0
210,"Bristol, Rhode Island",0.0
211,"Bristol, Virginia",0.0
212,"Broadwater, Montana",0.0
213,"Brooke, West Virginia",0.0
214,"Brooks, Texas",0.0
215,"Broome, New York",0.0
216,"Brown, Illinois",0.0
217,"Brown, Indiana",0.0
218,"Brown, Kansas",0.0
219,"Brown, Nebraska",0.0
220,"Brown, Ohio",0.0
221,"Brown, Texas",0.0
222,"Brunswick, North Carolina",0.0
223,"Brunswick, Virginia",0.0
224,"Bryan, Oklahoma",0.0
225,"Buchanan, Iowa",0.0
226,"Buchanan, Missouri",0.0
227,"Buchanan, Virginia",0.0
228,"Buckingham, Virginia",0.0
229,"Bucks county, Pennsylvania",0.0
230,"Bucks, Pennsylvania",0.0
231,"Buena vista, Iowa",0.0
232,"Buena vista, Virginia",0.0
233,"Buffalo, Nebraska",0.0
234,"Bullitt, Kentucky",0.0
235,"Bullock, Alabama",0.0
236,"Buncombe, North Carolina",0.0
237,"Bureau, Illinois",0.0
238,"Burke, North Carolina",0.0
239,"Burke, North Dakota",0.0
240,"Burleigh, North Dakota",0.0
241,"Burleson, Texas",0.0
242,"Burlington, New Jersey",0.0
243,"Burnet, Texas",0.0
244,"Burnett, Wisconsin",0.0
245,"Burt, Nebraska",0.0
246,"Butler county, Pennsylvania",0.0
247,"Butler, Alabama",0.0
248,"Butler, Iowa",0.0
249,"Butler, Kansas",0.0
250,"Butler, Kentucky",0.0
251,"Butler, Missouri",0.0
252,"Butler, Nebraska",0.0
253,"Butler, Ohio",0.0
254,"Butler, Pennsylvania",0.0
255,"Butte, Idaho",0.0
256,"Cabarrus, North Carolina",0.0
257,"Cabell, West Virginia",0.0
258,"Cache, Utah",0.0
259,"Caddo, Louisiana",0.0
260,"Caddo, Oklahoma",0.0
261,"Calcasieu, Louisiana",0.0
262,"Caldwell, Kentucky",0.0
263,"Caldwell, Louisiana",0.0
264,"Caldwell, Missouri",0.0
265,"Caldwell, North Carolina",0.0
266,"Caldwell, Texas",0.0
267,"Caledonia, Vermont",0.0
268,"Calhoun, Alabama",0.0
269,"Calhoun, Arkansas",0.0
270,"Calhoun, Illinois",0.0
271,"Calhoun, Iowa",0.0
272,"Calhoun, Texas",0.0
273,"Calhoun, West Virginia",0.0
274,"Callahan, Texas",0.0
275,"Callaway, Missouri",0.0
276,"Calloway, Kentucky",0.0
277,"Camas, Idaho",0.0
278,"Cambria county, Pennsylvania",0.0
279,"Cambria, Pennsylvania",0.0
280,"Camden, Missouri",0.0
281,"Camden, New Jersey",0.0
282,"Cameron, Louisiana",0.0
283,"Cameron, Pennsylvania",0.0
284,"Cameron, Texas",0.0
285,"Camp, Texas",0.0
286,"Campbell, Kentucky",0.0
287,"Campbell, Virginia",0.0
288,"Campbell, Wyoming",0.0
289,"Canadian, Oklahoma",0.0
290,"Canyon county, Idaho",0.0
291,"Canyon, Idaho",0.0
292,"Cape girardeau, Missouri",0.0
293,"Cape may, New Jersey",0.0
294,"Carbon county, Pennsylvania",0.0
295,"Carbon, Montana",0.0
296,"Carbon, Pennsylvania",0.0
297,"Carbon, Utah",0.0
298,"Carbon, Wyoming",0.0
299,"Caribou, Idaho",0.0
300,"Carlisle, Kentucky",0.0
301,"Carlton, Minnesota",0.0
302,"Caroline, Virginia",0.0
303,"Carroll, Arkansas",0.0
304,"Carroll, Illinois",0.0
305,"Carroll, Indiana",0.0
306,"Carroll, Iowa",0.0
307,"Carroll, Kentucky",0.0
308,"Carroll, Missouri",0.0
309,"Carroll, Ohio",0.0
310,"Carroll, Virginia",0.0
311,"Carson city, Nevada",0.0
312,"Carson, Texas",0.0
313,"Carter, Kentucky",0.0
314,"Carter, Missouri",0.0
315,"Carter, Montana",0.0
316,"Carter, Oklahoma",0.0
317,"Carteret, North Carolina",0.0
318,"Cascade, Montana",0.0
319,"Casey, Kentucky",0.0
320,"Cass, Illinois",0.0
321,"Cass, Indiana",0.0
322,"Cass, Iowa",0.0
323,"Cass, Minnesota",0.0
324,"Cass, Missouri",0.0
325,"Cass, Nebraska",0.0
326,"Cass, North Dakota",0.0
327,"Cass, Texas",0.0
328,"Cassia, Idaho",0.0
329,"Castro, Texas",0.0
330,"Caswell, North Carolina",0.0
331,"Catahoula, Louisiana",0.0
332,"Catawba, North Carolina",0.0
333,"Catron, New Mexico",0.0
334,"Cattaraugus, New York",0.0
335,"Cavalier, North Dakota",0.0
336,"Cayuga, New York",0.0
337,"Cedar, Iowa",0.0
338,"Cedar, Missouri",0.0
339,"Cedar, Nebraska",0.0
340,"Centre county, Pennsylvania",0.0
341,"Centre, Pennsylvania",0.0
342,"Cerro gordo, Iowa",0.0
343,"Chambers, Alabama",0.0
344,"Chambers, Texas",0.0
345,"Champaign, Illinois",0.0
346,"Champaign, Ohio",0.0
347,"Chariton, Missouri",0.0
348,"Charles city, Virginia",0.0
349,"Charleston, South Carolina",0.0
350,"Charlotte, Virginia",0.0
351,"Charlottesville, Virginia",0.0
352,"Chase, Kansas",0.0
353,"Chase, Nebraska",0.0
354,"Chatham, North Carolina",0.0
355,"Chautauqua, Kansas",0.0
356,"Chautauqua, New York",0.0
357,"Chaves, New Mexico",0.0
358,"Chelan, Washington",0.0
359,"Chemung, New York",0.0
360,"Chenango, New York",0.0
361,"Cherokee, Alabama",0.0
362,"Cherokee, Iowa",0.0
363,"Cherokee, Kansas",0.0
364,"Cherokee, North Carolina",0.0
365,"Cherokee, Oklahoma",0.0
366,"Cherokee, Texas",0.0
367,"Cherry, Nebraska",0.0
368,"Chesapeake city, Virginia",0.0
369,"Chesapeake, Virginia",0.0
370,"Chester county, Pennsylvania",0.0
371,"Chester, Pennsylvania",0.0
372,"Chester, South Carolina",0.0
373,"Chesterfield, South Carolina",0.0
374,"Chesterfield, Virginia",0.0
375,"Cheyenne, Kansas",0.0
376,"Cheyenne, Nebraska",0.0
377,"Chickasaw, Iowa",0.0
378,"Chicot, Arkansas",0.0
379,"Childress, Texas",0.0
380,"Chilton, Alabama",0.0
381,"Chittenden, Vermont",0.0
382,"Choctaw, Alabama",0.0
383,"Choctaw, Oklahoma",0.0
384,"Chouteau, Montana",0.0
385,"Chowan, North Carolina",0.0
386,"Christian, Illinois",0.0
387,"Christian, Kentucky",0.0
388,"Christian, Missouri",0.0
389,"Churchill, Nevada",0.0
390,"Cibola, New Mexico",0.0
391,"Cimarron, Oklahoma",0.0
392,"Clackamas, Oregon",0.0
393,"Claiborne, Louisiana",0.0
394,"Clallam, Washington",0.0
395,"Clarendon, South Carolina",0.0
396,"Clarion, Pennsylvania",0.0
397,"Clark, Arkansas",0.0
398,"Clark, Idaho",0.0
399,"Clark, Illinois",0.0
400,"Clark, Indiana",0.0
401,"Clark, Kansas",0.0
402,"Clark, Kentucky",0.0
403,"Clark, Missouri",0.0
404,"Clark, Nevada",0.0
405,"Clark, Ohio",0.0
406,"Clark, Washington",0.0
407,"Clarke, Alabama",0.0
408,"Clarke, Iowa",0.0
409,"Clarke, Virginia",0.0
410,"Clatsop, Oregon",0.0
411,"Clay, Alabama",0.0
412,"Clay, Arkansas",0.0
413,"Clay, Illinois",0.0
414,"Clay, Indiana",0.0
415,"Clay, Iowa",0.0
416,"Clay, Kansas",0.0
417,"Clay, Minnesota",0.0
418,"Clay, Missouri",0.0
419,"Clay, Nebraska",0.0
420,"Clay, North Carolina",0.0
421,"Clay, Texas",0.0
422,"Clay, West Virginia",0.0
423,"Clayton, Iowa",0.0
424,"Clearfield county, Pennsylvania",0.0
425,"Clearfield, Pennsylvania",0.0
426,"Clearwater, Idaho",0.0
427,"Cleburne county, Arkansas",0.0
428,"Cleburne, Alabama",0.0
429,"Cleburne, Arkansas",0.0
430,"Clermont, Ohio",0.0
431,"Cleveland, Arkansas",0.0
432,"Cleveland, North Carolina",0.0
433,"Cleveland, Oklahoma",0.0
434,"Clinton, Illinois",0.0
435,"Clinton, Indiana",0.0
436,"Clinton, Iowa",0.0
437,"Clinton, Kentucky",0.0
438,"Clinton, Missouri",0.0
439,"Clinton, New York",0.0
440,"Clinton, Ohio",0.0
441,"Clinton, Pennsylvania",0.0
442,"Cloud, Kansas",0.0
443,"Coal, Oklahoma",0.0
444,"Cochise, Arizona",0.0
445,"Cochran, Texas",0.0
446,"Coconino, Arizona",0.0
447,"Coffee, Alabama",0.0
448,"Coffey, Kansas",0.0
449,"Coke, Texas",0.0
450,"Colbert, Alabama",0.0
451,"Cole, Missouri",0.0
452,"Coleman, Texas",0.0
453,"Coles, Illinois",0.0
454,"Colfax, Nebraska",0.0
455,"Colfax, New Mexico",0.0
456,"Colleton, South Carolina",0.0
457,"Collin, Texas",0.0
458,"Collingsworth, Texas",0.0
459,"Colonial heights city, Virginia",0.0
460,"Colorado, Texas",0.0
461,"Columbia, Arkansas",0.0
462,"Columbia, New York",0.0
463,"Columbia, Oregon",0.0
464,"Columbia, Pennsylvania",0.0
465,"Columbia, Washington",0.0
466,"Columbiana, Ohio",0.0
467,"Columbus county, North Carolina",0.0
468,"Columbus, North Carolina",0.0
469,"Comal, Texas",0.0
470,"Comanche, Kansas",0.0
471,"Comanche, Oklahoma",0.0
472,"Comanche, Texas",0.0
473,"Concho, Texas",0.0
474,"Concordia, Louisiana",0.0
475,"Conecuh, Alabama",0.0
476,"Converse, Wyoming",0.0
477,"Conway, Arkansas",0.0
478,"Cook, Illinois",0.0
479,"Cook, Minnesota",0.0
480,"Cooke, Texas",0.0
481,"Cooper, Missouri",0.0
482,"Coos, Oregon",0.0
483,"Coosa, Alabama",0.0
484,"Cortland, New York",0.0
485,"Coryell, Texas",0.0
486,"Coshocton, Ohio",0.0
487,"Cottle, Texas",0.0
488,"Cotton, Oklahoma",0.0
489,"Covington, Alabama",0.0
490,"Covington, Virginia",0.0
491,"Cowley, Kansas",0.0
492,"Cowlitz, Washington",0.0
493,"Craig, Oklahoma",0.0
494,"Craig, Virginia",0.0
495,"Craighead, Arkansas",0.0
496,"Craven, North Carolina",0.0
497,"Crawford county, Pennsylvania",0.0
498,"Crawford, Arkansas",0.0
499,"Crawford, Illinois",0.0
500,"Crawford, Indiana",0.0
501,"Crawford, Iowa",0.0
502,"Crawford, Kansas",0.0
503,"Crawford, Missouri",0.0
504,"Crawford, Ohio",0.0
505,"Crawford, Pennsylvania",0.0
506,"Creek, Oklahoma",0.0
507,"Crenshaw, Alabama",0.0
508,"Crittenden, Arkansas",0.0
509,"Crittenden, Kentucky",0.0
510,"Crockett, Texas",0.0
511,"Crook, Oregon",0.0
512,"Crook, Wyoming",0.0
513,"Crosby, Texas",0.0
514,"Cross, Arkansas",0.0
515,"Culberson, Texas",0.0
516,"Cullman, Alabama",0.0
517,"Culpeper, Virginia",0.0
518,"Cumberland county, Pennsylvania",0.0
519,"Cumberland, Illinois",0.0
520,"Cumberland, Kentucky",0.0
521,"Cumberland, Maine",0.0
522,"Cumberland, New Jersey",0.0
523,"Cumberland, North Carolina",0.0
524,"Cumberland, Pennsylvania",0.0
525,"Cumberland, Virginia",0.0
526,"Cuming, Nebraska",0.0
527,"Currituck, North Carolina",0.0
528,"Curry, New Mexico",0.0
529,"Curry, Oregon",0.0
530,"Custer, Idaho",0.0
531,"Custer, Montana",0.0
532,"Custer, Nebraska",0.0
533,"Custer, Oklahoma",0.0
534,"Cuyahoga, Ohio",0.0
535,"Dade, Missouri",0.0
536,"Daggett, Utah",0.0
537,"Dakota, Minnesota",0.0
538,"Dakota, Nebraska",0.0
539,"Dale, Alabama",0.0
540,"Dallam, Texas",0.0
541,"Dallas, Alabama",0.0
542,"Dallas, Arkansas",0.0
543,"Dallas, Iowa",0.0
544,"Dallas, Missouri",0.0
545,"Dallas, Texas",0.0
546,"Daniels, Montana",0.0
547,"Danville, Virginia",0.0
548,"Dare, North Carolina",0.0
549,"Darke, Ohio",0.0
550,"Dauphin county, Pennsylvania",0.0
551,"Dauphin, Pennsylvania",0.0
552,"Davidson, North Carolina",0.0
553,"Davie, North Carolina",0.0
554,"Daviess, Indiana",0.0
555,"Daviess, Kentucky",0.0
556,"Daviess, Missouri",0.0
557,"Davis, Iowa",0.0
558,"Davis, Utah",0.0
559,"Dawes, Nebraska",0.0
560,"Dawson, Montana",0.0
561,"Dawson, Nebraska",0.0
562,"Dawson, Texas",0.0
563,"De baca, New Mexico",0.0
564,"De kalb, Indiana",0.0
565,"De kalb, Missouri",0.0
566,"De soto, Louisiana",0.0
567,"De witt, Illinois",0.0
568,"Deaf smith, Texas",0.0
569,"Dearborn, Indiana",0.0
570,"Decatur, Indiana",0.0
571,"Decatur, Iowa",0.0
572,"Deer lodge, Montana",0.0
573,"Defiance, Ohio",0.0
574,"Dekalb, Alabama",0.0
575,"Dekalb, Illinois",0.0
576,"Dekalb, Indiana",0.0
577,"Dekalb, Missouri",0.0
578,"Delaware, Indiana",0.0
579,"Delaware, Iowa",0.0
580,"Delaware, New York",0.0
581,"Delaware, Ohio",0.0
582,"Delaware, Oklahoma",0.0
583,"Delaware, Pennsylvania",0.0
584,"Denali borough, Alaska",0.0
585,"Denali, Alaska",0.0
586,"Dent, Missouri",0.0
587,"Denton, Texas",0.0
588,"Des moines, Iowa",0.0
589,"Deschutes, Oregon",0.0
590,"Desha, Arkansas",0.0
591,"Deuel, Nebraska",0.0
592,"Dewey, Oklahoma",0.0
593,"Dewitt, Texas",0.0
594,"Dickens, Texas",0.0
595,"Dickenson, Virginia",0.0
596,"Dickey, North Dakota",0.0
597,"Dickinson, Iowa",0.0
598,"Dickinson, Kansas",0.0
599,"Dillingham, Alaska",0.0
600,"Dillon, South Carolina",0.0
601,"Dimmit, Texas",0.0
602,"Dinwiddie, Virginia",0.0
603,"Dixon, Nebraska",0.0
604,"Dodge, Nebraska",0.0
605,"Dona ana, New Mexico",0.0
606,"Doniphan, Kansas",0.0
607,"Donley, Texas",0.0
608,"Dorchester, South Carolina",0.0
609,"Douglas, Illinois",0.0
610,"Douglas, Kansas",0.0
611,"Douglas, Missouri",0.0
612,"Douglas, Nebraska",0.0
613,"Douglas, Nevada",0.0
614,"Douglas, Oregon",0.0
615,"Douglas, Washington",0.0
616,"Drew, Arkansas",0.0
617,"Du page, Illinois",0.0
618,"Dubois, Indiana",0.0
619,"Dubuque, Iowa",0.0
620,"Duchesne, Utah",0.0
621,"Dundy, Nebraska",0.0
622,"Dunklin, Missouri",0.0
623,"Dunn, North Dakota",0.0
624,"Dupage, Illinois",0.0
625,"Duplin, North Carolina",0.0
626,"Durham, North Carolina",0.0
627,"Dutchess, New York",0.0
628,"Duval, Texas",0.0
629,"East baton rouge parish, Louisiana",0.0
630,"East baton rouge, Louisiana",0.0
631,"East carroll, Louisiana",0.0
632,"East feliciana, Louisiana",0.0
633,"Eastland, Texas",0.0
634,"Ector, Texas",0.0
635,"Eddy, New Mexico",0.0
636,"Eddy, North Dakota",0.0
637,"Edgar, Illinois",0.0
638,"Edgecombe, North Carolina",0.0
639,"Edmonson, Kentucky",0.0
640,"Edwards, Illinois",0.0
641,"Edwards, Kansas",0.0
642,"Edwards, Texas",0.0
643,"Effingham, Illinois",0.0
644,"El paso, Texas",0.0
645,"Elk, Kansas",0.0
646,"Elk, Pennsylvania",0.0
647,"Elkhart, Indiana",0.0
648,"Elko, Nevada",0.0
649,"Ellis, Kansas",0.0
650,"Ellis, Oklahoma",0.0
651,"Ellis, Texas",0.0
652,"Ellsworth, Kansas",0.0
653,"Elmore, Alabama",0.0
654,"Elmore, Idaho",0.0
655,"Emery, Utah",0.0
656,"Emmet, Iowa",0.0
657,"Emmet, Michigan",0.0
658,"Emmons, North Dakota",0.0
659,"Erath, Texas",0.0
660,"Erie, New York",0.0
661,"Erie, Ohio",0.0
662,"Erie, Pennsylvania",0.0
663,"Escambia, Alabama",0.0
664,"Esmeralda, Nevada",0.0
665,"Essex county, New York",0.0
666,"Essex, New Jersey",0.0
667,"Essex, New York",0.0
668,"Essex, Vermont",0.0
669,"Essex, Virginia",0.0
670,"Estill, Kentucky",0.0
671,"Etowah, Alabama",0.0
672,"Eureka county, Nevada",0.0
673,"Eureka, Nevada",0.0
674,"Evangeline parish, Louisiana",0.0
675,"Evangeline, Louisiana",0.0
676,"Fairbanks north star borough, Alaska",0.0
677,"Fairbanks north star, Alaska",0.0
678,"Fairfax, Virginia",0.0
679,"Fairfield, Connecticut",0.0
680,"Fairfield, Ohio",0.0
681,"Fairfield, South Carolina",0.0
682,"Fallon, Montana",0.0
683,"Falls church, Virginia",0.0
684,"Falls, Texas",0.0
685,"Fannin, Texas",0.0
686,"Faulkner, Arkansas",0.0
687,"Fauquier, Virginia",0.0
688,"Fayette, Alabama",0.0
689,"Fayette, Illinois",0.0
690,"Fayette, Indiana",0.0
691,"Fayette, Iowa",0.0
692,"Fayette, Kentucky",0.0
693,"Fayette, Ohio",0.0
694,"Fayette, Pennsylvania",0.0
695,"Fayette, Texas",0.0
696,"Fayette, West Virginia",0.0
697,"Fergus, Montana",0.0
698,"Ferry, Washington",0.0
699,"Fillmore, Nebraska",0.0
700,"Finney, Kansas",0.0
701,"Fisher, Texas",0.0
702,"Flathead, Montana",0.0
703,"Fleming, Kentucky",0.0
704,"Florence, South Carolina",0.0
705,"Floyd, Indiana",0.0
706,"Floyd, Iowa",0.0
707,"Floyd, Kentucky",0.0
708,"Floyd, Texas",0.0
709,"Floyd, Virginia",0.0
710,"Fluvanna, Virginia",0.0
711,"Foard, Texas",0.0
712,"Ford, Illinois",0.0
713,"Ford, Kansas",0.0
714,"Forest, Pennsylvania",0.0
715,"Forest, Wisconsin",0.0
716,"Forsyth, North Carolina",0.0
717,"Fort bend county, Texas",0.0
718,"Fort bend, Texas",0.0
719,"Fountain, Indiana",0.0
720,"Franklin county, New York",0.0
721,"Franklin county, Ohio",0.0
722,"Franklin county, Pennsylvania",0.0
723,"Franklin, Alabama",0.0
724,"Franklin, Arkansas",0.0
725,"Franklin, Idaho",0.0
726,"Franklin, Illinois",0.0
727,"Franklin, Indiana",0.0
728,"Franklin, Iowa",0.0
729,"Franklin, Kansas",0.0
730,"Franklin, Kentucky",0.0
731,"Franklin, Louisiana",0.0
732,"Franklin, Maine",0.0
733,"Franklin, Missouri",0.0
734,"Franklin, Nebraska",0.0
735,"Franklin, New York",0.0
736,"Franklin, North Carolina",0.0
737,"Franklin, Ohio",0.0
738,"Franklin, Pennsylvania",0.0
739,"Franklin, Texas",0.0
740,"Franklin, Vermont",0.0
741,"Franklin, Virginia",0.0
742,"Franklin, Washington",0.0
743,"Frederick, Virginia",0.0
744,"Fredericksburg, Virginia",0.0
745,"Freestone, Texas",0.0
746,"Fremont, Idaho",0.0
747,"Fremont, Iowa",0.0
748,"Fremont, Wyoming",0.0
749,"Frio, Texas",0.0
750,"Frontier, Nebraska",0.0
751,"Fulton, Arkansas",0.0
752,"Fulton, Illinois",0.0
753,"Fulton, Indiana",0.0
754,"Fulton, Kentucky",0.0
755,"Fulton, New York",0.0
756,"Fulton, Ohio",0.0
757,"Fulton, Pennsylvania",0.0
758,"Furnas, Nebraska",0.0
759,"Gage, Nebraska",0.0
760,"Gaines, Texas",0.0
761,"Galax, Virginia",0.0
762,"Gallatin, Illinois",0.0
763,"Gallatin, Kentucky",0.0
764,"Gallatin, Montana",0.0
765,"Gallia, Ohio",0.0
766,"Galveston, Texas",0.0
767,"Garden, Nebraska",0.0
768,"Garfield, Montana",0.0
769,"Garfield, Nebraska",0.0
770,"Garfield, Oklahoma",0.0
771,"Garfield, Utah",0.0
772,"Garfield, Washington",0.0
773,"Garland, Arkansas",0.0
774,"Garrard, Kentucky",0.0
775,"Garvin, Oklahoma",0.0
776,"Garza, Texas",0.0
777,"Gasconade, Missouri",0.0
778,"Gaston, North Carolina",0.0
779,"Gates, North Carolina",0.0
780,"Geary, Kansas",0.0
781,"Geauga county, Ohio",0.0
782,"Geauga, Ohio",0.0
783,"Gem, Idaho",0.0
784,"Genesee, New York",0.0
785,"Geneva, Alabama",0.0
786,"Gentry, Missouri",0.0
787,"Georgetown, South Carolina",0.0
788,"Gibson, Indiana",0.0
789,"Gila, Arizona",0.0
790,"Giles, Virginia",0.0
791,"Gillespie, Texas",0.0
792,"Gilliam, Oregon",0.0
793,"Gilmer, West Virginia",0.0
794,"Glacier, Montana",0.0
795,"Glasscock, Texas",0.0
796,"Gloucester, New Jersey",0.0
797,"Gloucester, Virginia",0.0
798,"Golden valley, Montana",0.0
799,"Golden valley, North Dakota",0.0
800,"Goliad, Texas",0.0
