,county,alkalinity
154,"Brown, Kansas",163314.13043478262
155,"Brown, Texas",159200.0
156,"Brunswick, North Carolina",33025.0
157,"Brunswick, Virginia",32384.591836734693
158,"Bryan, Oklahoma",185950.92261904763
159,"Buchanan, Virginia",163144.44444444444
160,"Buckingham, Virginia",27148.051948051947
161,"Bucks, Pennsylvania",59783.81294964029
162,"Buena vista, Iowa",344285.71428571426
163,"Buena vista, Virginia",43550.0
164,"Bullock, Alabama",82733.33333333333
165,"Buncombe, North Carolina",22637.450171821307
166,"Bureau, Illinois",293848.202247191
167,"Burke, North Carolina",36482.5
168,"Burke, North Dakota",710500.0
169,"Burleigh, North Dakota",154477.52808988764
170,"Burleson, Texas",283019.23076923075
171,"Burlington, New Jersey",62335.076660988074
172,"Burnet, Texas",245625.0
173,"Butler, Alabama",219129.03225806452
174,"Butler, Iowa",245076.92307692306
175,"Butler, Kansas",118833.76623376623
176,"Butler, Kentucky",109445.94594594595
177,"Butler, Missouri",130177.77777777778
178,"Butler, Pennsylvania",48449.07407407407
179,"Cabarrus, North Carolina",43009.90610328638
180,"Cabell, West Virginia",60549.73262032086
181,"Cache, Utah",130375.0
182,"Caddo parish, Louisiana",236100.0
183,"Caddo, Louisiana",171523.83720930232
184,"Caddo, Oklahoma",129222.97297297297
185,"Calcasieu, Louisiana",166526.14379084966
186,"Caldwell, Kentucky",92513.15789473684
187,"Caldwell, Louisiana",168565.0
188,"Caldwell, Missouri",120912.75167785234
189,"Caldwell, North Carolina",17805.714285714286
190,"Caldwell, Texas",224718.75
191,"Caledonia, Vermont",103375.0
192,"Calhoun, Alabama",71549.84567901235
193,"Calhoun, Illinois",383333.3333333333
194,"Calhoun, Texas",178769.23076923078
195,"Calhoun, West Virginia",39392.207792207795
196,"Callahan, Texas",149533.33333333334
197,"Callaway, Missouri",307296.2962962963
198,"Calloway, Kentucky",45560.0
199,"Cambria, Pennsylvania",40662.39015817223
200,"Camden, Missouri",331627.9069767442
201,"Camden, New Jersey",76281.78571428571
202,"Cameron, Louisiana",262510.5263157895
203,"Cameron, Pennsylvania",16000.0
204,"Cameron, Texas",98400.0
205,"Camp, Texas",191151.51515151514
206,"Campbell, Kentucky",276000.0
207,"Campbell, Virginia",46728.0442804428
208,"Campbell, Wyoming",577750.0
209,"Canadian, Oklahoma",168057.93103448275
210,"Canyon, Idaho",257000.0
211,"Cape girardeau, Missouri",192119.65811965812
212,"Cape may, New Jersey",75662.71428571429
213,"Carbon, Montana",151636.36363636365
214,"Carbon, Pennsylvania",25650.0
215,"Carbon, Utah",238004.09836065574
216,"Carbon, Wyoming",100658.53658536586
217,"Carlisle, Kentucky",46750.0
218,"Caroline, Virginia",69534.23423423423
219,"Carroll, Illinois",270000.0
220,"Carroll, Iowa",430000.0
221,"Carroll, Ohio",51818.181818181816
222,"Carroll, Virginia",47004.46428571428
223,"Carson city, Nevada",93837.03703703704
224,"Carson, Texas",223181.81818181818
225,"Carter, Kentucky",37936.36363636364
226,"Carter, Missouri",241200.0
227,"Carter, Montana",404583.3333333333
228,"Carter, Oklahoma",146131.92612137203
229,"Carteret, North Carolina",264232.2580645161
230,"Cascade, Montana",135423.28042328043
231,"Casey, Kentucky",29355.263157894737
232,"Cass, Illinois",207661.53846153847
233,"Cass, Indiana",327250.0
234,"Cass, Missouri",123716.20879120879
235,"Cass, Nebraska",176829.78723404257
236,"Cass, North Dakota",244336.73469387754
237,"Cass, Texas",208714.2857142857
238,"Castro, Texas",251250.0
239,"Caswell, North Carolina",29252.432432432433
240,"Catahoula, Louisiana",167054.54545454544
241,"Catawba, North Carolina",31398.757763975154
242,"Catron, New Mexico",187333.33333333334
243,"Cavalier, North Dakota",202561.64383561644
244,"Cedar, Iowa",340000.0
245,"Cedar, Missouri",198222.22222222222
246,"Cedar, Nebraska",155823.5294117647
247,"Centre county, Pennsylvania",189804.8780487805
248,"Centre, Pennsylvania",21769.736842105263
249,"Cerro gordo, Iowa",342800.0
250,"Chambers, Alabama",24706.802721088436
251,"Chambers, Texas",310678.8990825688
252,"Champaign, Illinois",236131.08695652173
253,"Charles city, Virginia",151142.3076923077
254,"Charleston, South Carolina",203802.98507462686
255,"Charlotte, Virginia",43717.59259259259
256,"Chase, Kansas",355764.70588235295
257,"Chatham, North Carolina",42987.36842105263
258,"Chautauqua, Kansas",134062.65060240965
259,"Chemung, New York",199800.0
260,"Cherokee, Alabama",59400.0
261,"Cherokee, Kansas",134826.92307692306
262,"Cherokee, North Carolina",15543.333333333334
263,"Cherokee, Oklahoma",89324.26095820591
264,"Cherokee, South Carolina",15112.244897959185
265,"Cherokee, Texas",283882.35294117645
266,"Chesapeake city, Virginia",35876.71232876712
267,"Chesapeake, Virginia",372100.0
268,"Chester, Pennsylvania",55082.03125
269,"Chester, South Carolina",33385.91549295775
270,"Chesterfield, South Carolina",24755.555555555555
271,"Chesterfield, Virginia",40481.35593220339
272,"Cheyenne, Kansas",166333.33333333334
273,"Chickasaw, Iowa",278700.0
274,"Chilton, Alabama",61471.30434782609
275,"Chittenden, Vermont",119142.85714285714
276,"Choctaw, Alabama",248888.88888888888
277,"Choctaw, Oklahoma",24663.169014084506
278,"Chouteau, Montana",154000.0
279,"Christian, Illinois",123462.2641509434
280,"Christian, Kentucky",131857.8947368421
281,"Christian, Missouri",179761.90476190476
282,"Churchill, Nevada",120666.66666666667
283,"Cibola, New Mexico",306000.0
284,"Clackamas, Oregon",23406.611570247933
285,"Claiborne, Louisiana",103360.60606060606
286,"Clarendon, South Carolina",9900.0
287,"Clarion, Pennsylvania",34245.9375
288,"Clark, Illinois",288350.0
289,"Clark, Indiana",29220.58823529412
290,"Clark, Kansas",238692.3076923077
291,"Clark, Kentucky",87740.74074074074
292,"Clark, Missouri",85750.0
293,"Clark, Nevada",150677.4193548387
294,"Clark, Ohio",290000.0
295,"Clarke, Alabama",71956.92307692308
296,"Clarke, Iowa",93015.38461538461
297,"Clarke, Virginia",135661.17647058822
298,"Clatsop, Oregon",13752.0
299,"Clay, Alabama",12619.607843137255
300,"Clay, Illinois",160937.5
301,"Clay, Kansas",289921.73913043475
302,"Clay, Kentucky",43208.333333333336
303,"Clay, Minnesota",234794.5205479452
304,"Clay, Missouri",95324.32432432432
305,"Clay, North Carolina",47000.0
306,"Clay, Texas",198700.0
307,"Clay, West Virginia",29875.172413793105
308,"Clayton, Iowa",280428.5714285714
309,"Clearfield, Pennsylvania",11954.551282051281
310,"Clearwater, Idaho",6300.0
311,"Cleburne, Alabama",14094.252873563219
312,"Cleveland, North Carolina",14840.721649484536
313,"Cleveland, Oklahoma",148157.8947368421
314,"Clinton, Illinois",152702.4886877828
315,"Clinton, Indiana",299000.0
316,"Clinton, Iowa",260000.0
317,"Clinton, Kentucky",64587.15596330275
318,"Clinton, Missouri",107581.08108108108
319,"Clinton, New York",0.0
320,"Clinton, Pennsylvania",21223.863636363636
321,"Cloud, Kansas",311064.51612903224
322,"Coal, Oklahoma",39826.38888888889
323,"Cochran, Texas",204000.0
324,"Coconino, Arizona",131812.5
325,"Coffee, Alabama",146827.14285714287
326,"Coffey, Kansas",169066.23376623375
327,"Coke, Texas",185866.66666666666
328,"Colbert, Alabama",76788.671875
329,"Cole, Missouri",177436.95652173914
330,"Coleman, Texas",116285.71428571429
331,"Coles, Illinois",149087.5
332,"Colfax, New Mexico",106323.35106382979
333,"Collin, Texas",286641.5094339623
334,"Collingsworth, Texas",247222.22222222222
335,"Colorado, Texas",240873.2394366197
336,"Columbia, New York",44800.0
337,"Columbia, Oregon",44040.0
338,"Columbiana, Ohio",356000.0
339,"Columbus county, North Carolina",20464.933333333334
340,"Columbus, North Carolina",64125.0
341,"Comal, Texas",256669.4560669456
342,"Comanche, Kansas",171142.85714285713
343,"Comanche, Oklahoma",125462.71186440678
344,"Comanche, Texas",221222.22222222222
345,"Concho, Texas",251214.2857142857
346,"Concordia, Louisiana",193973.91304347827
347,"Conecuh, Alabama",137206.66666666666
348,"Converse, Wyoming",122092.72727272728
349,"Cook, Illinois",108774.56479690522
350,"Cooke, Texas",328311.6883116883
351,"Cooper, Missouri",182267.60563380283
352,"Coos, Oregon",24241.975308641977
353,"Coosa, Alabama",170666.66666666666
354,"Cortland, New York",210000.0
355,"Coryell, Texas",256173.91304347827
356,"Cottle, Texas",205250.0
357,"Cotton, Oklahoma",137412.4293785311
358,"Covington, Alabama",152309.0909090909
359,"Covington, Virginia",64157.692307692305
360,"Cowley, Kansas",187233.33333333334
361,"Craig, Oklahoma",98082.19178082192
362,"Craig, Virginia",91866.66666666667
363,"Crane, Texas",171666.66666666666
364,"Craven, North Carolina",265267.01570680627
365,"Crawford, Illinois",227500.0
366,"Crawford, Iowa",293333.3333333333
367,"Crawford, Kansas",126970.09345794392
368,"Crawford, Missouri",194923.07692307694
369,"Crawford, Pennsylvania",75934.4262295082
370,"Creek, Oklahoma",63831.47699757869
