,county,nitrate
0,"-, Arizona",400.0
1,"Abbeville, South Carolina",811.2818181818182
2,"Accomack, Virginia",890.9090909090909
3,"Ada, Idaho",1609.5637829912023
4,"Adair, Iowa",482.4583333333333
5,"Adair, Kentucky",533.1818181818181
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",1586.6666666666667
8,"Adams, Idaho",403.5704697986577
9,"Adams, Illinois",5227.3266233766235
10,"Adams, Indiana",380.7059701492537
11,"Adams, Iowa",266.6666666666667
12,"Adams, Ohio",1059.0812500000002
13,"Adams, Pennsylvania",2891.360453648915
14,"Adams, Washington",2950.6560636182903
15,"Adams, Wisconsin",2322.4990059642146
16,"Addison, Vermont",551.609375
17,"Aiken, South Carolina",1345.9597315436242
18,"Aitkin, Minnesota",125.28969957081546
19,"Alachua, Florida",466.12106382978726
20,"Alamance, North Carolina",946.6252592592592
21,"Alameda, California",2530.280841463415
22,"Albany, New York",425.67473611111114
23,"Albany, Wyoming",842.3469387755102
24,"Albemarle, Virginia",22.4
25,"Alcona, Michigan",116.27906976744185
26,"Aleutians east borough, Alaska",141.0
27,"Aleutians east, Alaska",110.0952380952381
28,"Aleutians west census area, Alaska",179.625
29,"Aleutians west, Alaska",13.636363636363637
30,"Alexander, Illinois",1287.5862068965516
31,"Alexander, North Carolina",415.1010101010101
32,"Alfalfa, Oklahoma",8311.5
33,"Alger, Michigan",1200.0
34,"Allamakee county, Iowa",0.0
35,"Allamakee, Iowa",2128.116504854369
36,"Allegan, Michigan",868.7338501291989
37,"Allegany, Maryland",511.4339622641509
38,"Allegany, New York",832.0855704697987
39,"Alleghany, North Carolina",525.265306122449
40,"Alleghany, Virginia",59.333333333333336
41,"Allegheny county, Pennsylvania",914.2857142857143
42,"Allegheny, Pennsylvania",844.5522388059702
43,"Allen, Indiana",228.1030508474576
44,"Allen, Kansas",319.1666666666667
45,"Allen, Kentucky",930.8695652173913
46,"Allen, Louisiana",0.0
47,"Allen, Ohio",249.73034405940592
48,"Allendale, South Carolina",21.054794520547944
49,"Alpena, Michigan",0.0
50,"Alpine, California",72.07202777777779
51,"Amador, California",961.5278717201168
52,"American samoa, American Samoa",505.0147058823529
53,"Anchorage municipality, Alaska",436.25
54,"Anchorage, Alaska",1878.942507986111
55,"Anderson, Kansas",3584.0
56,"Anderson, Kentucky",426.47058823529414
57,"Anderson, South Carolina",911.8172043010753
58,"Anderson, Tennessee",575.3636363636364
59,"Anderson, Texas",30.53979238754325
60,"Andrew, Missouri",0.0
61,"Andrews, Texas",1393.2857142857142
62,"Androscoggin, Maine",463.5735294117647
63,"Angelina, Texas",98.05701754385964
64,"Anne arundel, Maryland",1226.625514403292
65,"Anoka, Minnesota",113.97460018814675
66,"Anson, North Carolina",186.66666666666666
67,"Antrim, Michigan",391.6666666666667
68,"Apache, Arizona",303.84090909090907
69,"Appanoose, Iowa",257.14285714285717
70,"Aransas, Texas",32.05882352941177
71,"Archer, Texas",196.11111111111111
72,"Archuleta, Colorado",1050.0
73,"Arenac, Michigan",1750.0
74,"Arkansas, Arkansas",728.1818181818181
75,"Armstrong county, Pennsylvania",0.0
76,"Armstrong, Pennsylvania",467.81368821292773
77,"Armstrong, Texas",1828.235294117647
78,"Aroostook, Maine",1614.0552913198574
79,"Ascension, Louisiana",10.0
80,"Ashe, North Carolina",909.8886414253898
81,"Ashland, Ohio",176.768018018018
82,"Ashland, Wisconsin",668.7831715210356
83,"Ashley, Arkansas",564.2857142857143
84,"Ashtabula, Ohio",166.90208333333334
85,"Asotin, Washington",413.0821917808219
86,"Atascosa county, Texas",126.66666666666667
87,"Atascosa, Texas",63.85245901639344
88,"Atchison, Kansas",1263.4615384615386
89,"Atchison, Missouri",0.0
90,"Athens, Ohio",142.95238095238096
91,"Atlantic, New Jersey",1629.365418118467
92,"Audrain, Missouri",45.925925925925924
93,"Audubon, Iowa",2896.061224489796
94,"Auglaize, Ohio",184.81500000000003
95,"Augusta, Virginia",1159.1953125
96,"Austin, Texas",498.42364532019707
97,"Autauga, Alabama",102.65060240963855
98,"Avery, North Carolina",1226.7450980392157
99,"B, Oklahoma",457.00888888888886
100,"Bailey, Texas",5857.450980392156
101,"Baker county, Florida",3.6666666666666665
102,"Baker, Florida",22.41888111888112
103,"Baker, Oregon",1453.1507936507937
104,"Baldwin, Alabama",1882.254658385093
105,"Ballard, Kentucky",2300.488888888889
106,"Baltimore, Maryland",3964.6452702702704
107,"Bamberg, South Carolina",38.02777777777778
108,"Bandera, Texas",181.7861111111111
109,"Bannock, Idaho",2507.0270793036752
110,"Baraga, Michigan",97.61904761904762
111,"Barber, Kansas",3530.0
112,"Barbour, Alabama",265.56055555555554
113,"Barbour, West Virginia",331.0
114,"Barnstable, Massachusetts",1743.3652822151225
115,"Barnwell, South Carolina",1339.351851851852
116,"Barren, Kentucky",1264.2708333333333
117,"Barron, Wisconsin",2938.8650137741047
118,"Barry, Michigan",307.5
119,"Barry, Missouri",0.34946236559139787
120,"Bartholomew, Indiana",4835.449295774648
121,"Barton, Kansas",2539.0036900369005
122,"Barton, Missouri",0.0
123,"Bastrop, Texas",356.1744966442953
124,"Bates, Missouri",0.0
125,"Bath, Virginia",1300.0
126,"Baxter, Arkansas",1037.5206611570247
127,"Bay county, Florida",0.0
128,"Bay, Florida",32.02447552447553
129,"Bay, Michigan",532.0
130,"Bayfield, Wisconsin",406.509900990099
131,"Baylor, Texas",5921.666666666667
132,"Beadle, South Dakota",200.0
133,"Bear lake, Idaho",967.2246376811594
134,"Beaufort, North Carolina",7.936507936507937
135,"Beaufort, South Carolina",24.64923076923077
136,"Beaver county, Pennsylvania",3461.1428571428573
137,"Beaver, Oklahoma",2457.1428571428573
138,"Beaver, Pennsylvania",499.98721590909093
139,"Beaver, Utah",340.13654618473896
140,"Beaverhead, Montana",25.09090909090909
141,"Becker, Minnesota",348.98054996646545
142,"Beckham, Oklahoma",8510.0
143,"Bedford county, Pennsylvania",2168.0
144,"Bedford, Pennsylvania",2226.136460554371
145,"Bedford, Tennessee",851.6666666666666
146,"Bedford, Virginia",1900.0
147,"Bee, Texas",5203.738805970149
148,"Belknap, New Hampshire",327.61685319289006
